gene	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	fraction_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_in_AllRepeats_gt_10kb	fraction_in_AllRepeats_gt_10kb	bp_in_reference_gaps_stratification	fraction_in_reference_gaps_stratification	bp_in_Tier1andTier2_SV_0.6_slop150_stratification	fraction_in_Tier1andTier2_SV_0.6_slop150_stratification	bp_in_illumina_ccs_ont_cnv_stratification	fraction_in_illumina_ccs_ont_cnv_stratification	bp_in_ccs_ont_elliptical_outlier_cnv_stratification	fraction_in_ccs_ont_elliptical_outlier_cnv_stratification	bp_in_assembly_cnv_stratification	fraction_in_assembly_cnv_stratification	bp_in_vdj_stratification	fraction_in_vdj_stratification	bp_in_inversions_stratification	fraction_in_inversions_stratification	bp_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	fraction_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	bp_in_segmental_duplications_stratification	fraction_in_segmental_duplications_stratification	bp_in_low_mappability_and_segmental_duplications_stratification	fraction_in_low_mappability_and_segmental_duplications_stratification	num_v0.6_SVs_in_gene	num_MRG_SV_v0.1_in_gene	num_MRG_small_variant_v0.2_variants_in_gene	num_v4.2.1_small_variants_in_gene	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	mandelker	cosmic	high_priority	num_v4.2.1_variants_in_exons	num_MRG_SV_v0.1_benchmark_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_exons	num_MRG_small_variant_v0.03_variants_in_gene	bp_MRG_small_variant_v0.03	fraction_MRG_small_variant_v0.03	num_MRG_SV_v0.02_SVs_in_gene	bp_exon_covered_MRG_small_variant_v0.03_benchmark	fraction_exon_covered_MRG_small_variant_v0.03_benchmark	num_MRG_small_variant_v0.03_variants_in_exons	num_MRG_SV_v0.02_variants_in_exons	bp_in_HG002_GIABv4.1_CNVsandSVs_stratification	fraction_in_HG002_GIABv4.1_CNVsandSVs_stratification	bp_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	fraction_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	num_breaks_in_hifiasm_dip.bed_plus_segdups_plus_flanking
TP73	76006	0.908282645	123681	1	1	3569084	3652765	3549084	3672765	0	0	0	0	0	0	3650	0.043618026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1414	0.016897504	2	0	0	154	5437	0.981585124	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	3650	0.043618026	3650	0.043618	0
NPHP4	125670	0.96921226	169662	1	1	5922871	6052533	5902871	6072533	0	0	0	0	0	0	2518	0.019419722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1366	0.010535084	0	0	0	145	4964	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	2518	0.019419722	2518	0.0194197	0
KCNAB2	101430	0.924385065	149727	1	1	6051526	6161253	6031526	6181253	0	0	0	0	0	0	4596	0.041885771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830	0.007564228	0	0	0	155	5151	0.959217877	0	0	yes	no	no	12	0	0	0	0	0	0	0	0	0	0	4596	0.041885771	4596	0.0418858	0
RPL22	25646	0.912019915	68120	1	1	6241329	6269449	6221329	6289449	27344	0.972403983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1790	0.063655761	2138	0.076031294	0	0	26	23	2052	0.989392478	2074	1	no	yes	no	0	0	0	26	27344	0.972403983	0	2074	1	0	0	0	0	0	0	0
ESPN	15678	0.428571429	76582	1	1	6484848	6521430	6464848	6541430	34623	0.946449073	0	0	0	0	19791	0.541003772	0	0	0	0	0	0	0	0	0	0	0	0	31757	0.868104532	31757	0.868104532	0	0	5	3	1689	0.480102331	3518	1	yes	no	yes	1	0	1	4	34575	0.945136953	0	3518	1	1	0	19791	0.541003772	19791	0.5410038	0
PLEKHG5	52406	0.97103893	112401	1	1	6526152	6580121	6487720	6600121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0.008671645	0	0	0	71	5801	0.98305372	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS1R1	23477	0.955281576	64576	1	1	6615241	6639817	6595241	6659817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803	0.032674154	0	0	0	54	2886	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1	941137	0.956068884	1024022	0.999648569	1	6845384	7829766	6825384	7849766	0	0	0	0	0	0	17341	0.017616129	0	0	2000	0.002031732	0	0	0	0	0	0	0	0	0	0	18794	0.019092182	9	0	0	1588	8708	0.976999888	0	0	yes	yes	no	6	0	0	0	0	0	0	0	0	0	0	19341	0.01964786	19341	0.0196479	1
TNFRSF9	20566	0.978448071	61019	1	1	7979907	8000926	7959907	8020926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0.00570912	0	0	0	12	1813	0.946736292	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARK7	29621	0.948965208	71214	1	1	8014351	8045565	7994351	8065565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0.011821619	0	0	0	31	1372	0.997818182	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERRFI1	21518	0.982377648	61904	1	1	8064464	8086368	8044464	8106368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3100	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H6PD	35424	0.968874788	76562	1	1	9294834	9331396	9274834	9351396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0.007138559	0	0	0	64	8892	0.972760092	0	0	yes	no	no	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD	74221	0.959150707	117382	1	1	9711790	9789172	9691790	9809172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1969	0.025445194	2953	0.03816133	0	0	0	56	5045	0.974126279	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMNAT1	39099	0.929313336	82073	1	1	10003486	10045559	9983486	10065559	0	0	0	0	0	0	921	0.021890524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242	0.02952012	1	0	0	46	3674	0.972987288	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	921	0.021890524	921	0.0218905	0
KIF1B	165970	0.97173269	210798	1	1	10270863	10441661	10250863	10461661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2071	0.012125435	0	0	0	22	12378	0.995336121	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX14	153206	0.966782356	198470	1	1	10532345	10690815	10512345	10710815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	0.005685619	1	0	0	234	1976	1	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARDBP	13119	0.980346734	53382	1	1	11072414	11085796	11052414	11105796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1919	0.143401584	2140	0.159916305	0	0	0	24	2716	0.99051787	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASP2	15258	0.736745534	60710	1	1	11086580	11107290	11066580	11127290	18133	0.875567359	0	0	0	0	3492	0.168614196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0.024577499	0	0	39	27	2446	0.943308909	2593	1	yes	no	no	3	0	3	39	18133	0.875567359	0	2593	1	3	0	3492	0.168614196	3492	0.1686142	0
MTOR	151622	0.972110379	195972	1	1	11166592	11322564	11146592	11342564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5187	0.033255969	0	0	0	130	8619	1	0	0	no	yes	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBIAD1	22195	0.971632448	62843	1	1	11333263	11356106	11313263	11376106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0.005909907	0	0	0	2	3644	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFR	20658	0.974571873	61197	1	1	11845780	11866977	11825780	11886977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.42E-04	0	0	0	31	7109	0.98517184	0	0	yes	no	yes	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPPA	1967	0.746206373	42636	1	1	11905766	11908402	11885766	11928402	2636	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0.026176024	0	0	14	4	852	1	852	1	yes	no	no	4	0	4	14	2636	1	0	852	1	4	0	0	0	0	0	0
PLOD1	38851	0.939951129	81333	1	1	11994262	12035595	11974262	12055595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0.009798466	0	0	0	74	2921	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFN2	31903	0.957099571	73333	1	1	12040238	12073571	12020238	12093571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1289	0.038670387	0	0	0	63	4656	0.999785269	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	41019	0.971438721	82225	1	1	12227060	12269285	12207060	12289285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0.003883955	0	0	0	27	3673	1	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM2	122878	0.983960731	164881	1	1	14026693	14151574	14006693	14171574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	0.009304858	0	0	0	171	9626	1	0	0	no	yes	no	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTRC	10136	0.938344751	39289	0.727641448	1	15764935	15775737	15744935	15798930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0.015552675	0	0	0	13	890	1	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP9	33317	0.93319702	76165	0.823503336	1	15817327	15853029	15780540	15873029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0.026189009	1610	0.045095513	0	0	0	84	2205	1	0	0	no	yes	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RSC1A1	1853	1	41853	1	1	15986364	15988217	15966364	16008217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1853	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEN	89998	0.971942633	132596	1	1	16174359	16266955	16154359	16286955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	0.01059441	0	0	0	39	12142	0.993861013	0	0	no	yes	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPB7	5566	1	46554	1	1	16340523	16346089	16320523	16367077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	2889	1	0	0	yes	no	no	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCNKA	14977	0.986952224	64215	1	1	16345370	16360545	16325370	16389585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13613	0.897067545	13613	0.897067545	0	0	0	35	2563	1	0	0	yes	no	no	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCNKB	12579	0.929643042	56871	1	1	16370272	16383803	16346932	16403803	0	0	0	0	0	0	302	0.022319119	0	0	0	0	0	0	0	0	0	0	0	0	13531	1	13531	1	0	0	0	75	2732	0.949270327	0	0	yes	no	no	14	0	0	0	0	0	0	0	0	0	0	302	0.022319119	302	0.0223191	0
EPHA2	30820	0.970708661	71750	1	1	16450832	16482582	16430832	16502582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0.014330709	0	0	0	32	3947	1	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA21	47710	0.948376965	90307	1	1	16713612	16763919	16693612	16783919	0	0	0	0	0	0	345	0.006857893	0	0	0	0	0	0	0	0	0	0	0	0	2789	0.055439601	3121	0.06203908	1	0	0	101	2002	1	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	345	0.006857893	345	0.0068579	0
ATP13A2	25203	0.970465922	65970	1	1	17312453	17338423	17292453	17358423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0.013053523	0	0	0	21	3967	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHB	34711	0.979208982	75448	1	1	17345217	17380665	17325217	17400665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0.003582713	0	0	0	87	1145	1	0	0	yes	yes	yes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PADI4	50057	0.896934186	95767	0.999561628	1	17634690	17690499	17614690	17710499	0	0	0	0	0	0	2541	0.045530291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0.011449766	0	0	0	197	2180	0.968458463	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	2541	0.045530291	2541	0.0455303	1
ARHGEF10L	154186	0.975619942	198039	1	1	17866330	18024369	17846330	18044369	0	0	0	0	0	0	518	0.003277672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0.003416878	1	0	0	171	4464	1	0	0	no	yes	no	5	0	0	0	0	0	0	0	0	0	0	518	0.003277672	518	0.0032777	0
PAX7	114595	0.972297641	157860	1	1	18957500	19075360	18937500	19095360	0	0	0	0	0	0	1066	0.009044629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	8.40E-04	0	0	0	188	6208	0.984771574	0	0	yes	yes	no	5	0	0	0	0	0	0	0	0	0	0	1066	0.009044629	1066	0.0090446	0
ALDH4A1	31151	0.993684009	71349	1	1	19197926	19229275	19177926	19249275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0.006188395	0	0	0	43	3521	0.993229901	0	0	yes	no	yes	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR7A2	8181	1	53538	1	1	19630459	19638640	19605102	19658640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0.025424765	0	0	0	10	1355	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2A	5007	1	45007	1	1	20301925	20306932	20281925	20326932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	993	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G5	62353	0.989557379	103011	1	1	20354672	20417683	20334672	20437683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	0.010934599	0	0	0	91	1156	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDA	28381	0.947296395	69960	1	1	20915441	20945401	20895441	20965401	0	0	0	0	0	0	319	0.01064753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1082	0.03611482	1	0	0	74	959	1	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	319	0.01064753	319	0.0106475	0
PINK1	17405	0.963945503	58056	1	1	20959948	20978004	20939948	20998004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0.012184315	0	0	0	47	2652	1	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDOST	9604	0.98705036	49730	1	1	20978270	20988000	20958270	21008000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0.001130524	0	0	0	19	2068	1	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECE1	124767	0.97278901	168257	1	1	21543740	21671997	21523740	21691997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	0.004826247	0	0	0	143	5523	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPL	66740	0.966587976	109047	1	1	21835858	21904905	21815858	21924905	0	0	0	0	0	0	857	0.012411835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	0.011760105	1	0	0	173	2696	0.986461764	0	0	yes	no	yes	6	0	0	0	0	0	0	0	0	0	0	857	0.012411835	857	0.0124118	0
HSPG2	112360	0.976601884	155052	1	1	22148738	22263790	22128738	22283790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070	0.009300143	0	0	0	111	14088	0.990021082	0	0	yes	no	no	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42	38627	0.958082199	80317	1	1	22379120	22419437	22359120	22439437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6508	0.161420741	6940	0.172135824	0	0	0	58	2912	0.924738012	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT4	26401	0.990136514	66664	1	1	22443798	22470462	22423798	22490462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0.002475248	0	0	0	31	3723	0.96953125	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB40	78495	0.989773788	119306	1	1	22778344	22857650	22758344	22877650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0.004451113	0	0	0	104	8973	1	0	0	yes	no	no	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QA	3102	1	43102	1	1	22962999	22966101	22942999	22986101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1170	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QC	4376	0.976785714	44480	1	1	22970123	22974603	22950123	22994603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1228	0.921921922	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QB	8051	0.917388332	48776	1	1	22979255	22988031	22959255	23008031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1041	1	0	0	yes	no	yes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHB2	201751	0.986625001	244486	1	1	23037332	23241818	23017332	23261818	0	0	0	0	0	0	554	0.002709232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0.002704342	0	0	0	374	3666	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	554	0.002709232	554	0.0027092	0
ID3	1876	1	41876	1	1	23884409	23886285	23864409	23906285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1248	1	0	0	yes	yes	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDS2	54725	0.926396154	99073	1	1	23907985	23967058	23887985	23987058	0	0	0	0	0	0	342	0.005789447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	0.013491781	0	0	0	65	0	0	0	0	no	yes	no	0	0	0	0	0	0	0	0	0	0	0	342	0.005789447	342	0.0057894	0
RPL11	4543	0.977830392	44646	1	1	24018269	24022915	23998269	24042915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	628	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALE	4977	0.960439985	45182	1	1	24122089	24127271	24102089	24147271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1438	0.974254743	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGCL	25274	0.688008711	76735	1	1	24128375	24165110	24108375	24185110	34471	0.938369402	0	0	0	0	1940	0.052810671	0	0	0	0	10330	0.281203212	0	0	0	0	0	0	0	0	1254	0.034136382	0	0	62	33	1591	1	1591	1	yes	no	yes	2	0	2	62	34471	0.938369402	0	1591	1	2	0	10708	0.291493126	10708	0.2914931	0
FUCA1	22029	0.948830598	63217	1	1	24171567	24194784	24151567	24214784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2214	0.095361158	0	0	0	35	2039	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNR2	73849	0.834140942	128533	1	1	24197016	24285549	24177016	24305549	84923	0.959224244	0	0	0	0	1856	0.020963934	0	0	0	0	0	0	0	0	0	0	0	0	3454	0.039013701	31474	0.355505857	1	1	404	314	5105	0.934297218	5395	0.987371889	yes	no	no	39	0	41	404	84923	0.959224244	1	5395	0.987371889	41	0	1856	0.020963934	1856	0.0209639	0
RUNX3	64800	0.987654321	105610	1	1	25226002	25291612	25206002	25311612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0.001295534	0	0	0	64	4257	0.976600138	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
