gene	mandelker	cosmic	high_priority	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_hifiasm_dip.bed	fraction_hifiasm_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	bp_in_AllRepeats_gt_10kb	fraction_in_AllRepeats_gt_10kb	bp_in_reference_gaps_stratification	fraction_in_reference_gaps_stratification	bp_in_Tier1andTier2_SV_0.6_slop150_stratification	fraction_in_Tier1andTier2_SV_0.6_slop150_stratification	bp_in_illumina_ccs_ont_cnv_stratification	fraction_in_illumina_ccs_ont_cnv_stratification	bp_in_ccs_ont_elliptical_outlier_cnv_stratification	fraction_in_ccs_ont_elliptical_outlier_cnv_stratification	bp_in_assembly_cnv_stratification	fraction_in_assembly_cnv_stratification	bp_in_vdj_stratification	fraction_in_vdj_stratification	bp_in_inversions_stratification	fraction_in_inversions_stratification	bp_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	fraction_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	bp_in_segmental_duplications_stratification	fraction_in_segmental_duplications_stratification	bp_in_low_mappability_and_segmental_duplications_stratification	fraction_in_low_mappability_and_segmental_duplications_stratification	num_MRG_SV_v0.1_in_gene	num_MRG_SV_v0.1_benchmark_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_gene	num_v4.2.1_small_variants_in_gene	num_v4.2.1_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_exons	bp_MRG_small_variant_v0.03	fraction_MRG_small_variant_v0.03	num_MRG_small_variant_v0.03_variants_in_gene	num_MRG_SV_v0.02_SVs_in_gene	bp_exon_covered_MRG_small_variant_v0.03_benchmark	fraction_exon_covered_MRG_small_variant_v0.03_benchmark	num_MRG_small_variant_v0.03_variants_in_exons	num_MRG_SV_v0.02_variants_in_exons	bp_in_HG002_GIABv4.1_CNVsandSVs_stratification	fraction_in_HG002_GIABv4.1_CNVsandSVs_stratification	bp_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	fraction_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	num_breaks_in_hifiasm_dip.bed_plus_segdups_plus_flanking
TP73	yes	no	no	76863	0.91848	123685	1	chr1	3652516	3736201	3632516	3756201	5441	0.981598412	0	0	0	0	0	0	0	0	3650	0.043615941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1414	0.016896696	0	0	0	157	6	0	0	0	0	0	0	0	0	0	3650	0.043615941	41038	0.4903866	0
NPHP4	yes	no	no	125670	0.9692122	169662	1	chr1	5862811	5992473	5842811	6012473	4925	1	0	0	0	0	0	0	0	0	2518	0.019419722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1366	0.010535084	0	0	0	144	2	0	0	0	0	0	0	0	0	0	2518	0.019419722	20097	0.1549953	0
KCNAB2	yes	no	no	102464	0.9292438	150266	1	chr1	5990927	6101193	5970927	6121193	6113	0.965413771	0	0	0	0	0	0	0	0	4596	0.041681026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830	0.007527252	0	0	0	158	14	0	0	0	0	0	0	0	0	0	4596	0.041681026	29490	0.2674442	0
RPL22	no	yes	no	21580	0.8855513	64369	1	chr1	6185020	6209389	6165020	6229389	2035	0.989304813	23268	0.954819648	2057	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1790	0.073453978	2133	0.087529238	0	0	24	21	0	0	23268	0.954819648	24	0	2057	1	0	0	0	0	8425	0.3457261	0
ESPN	yes	no	yes	15642	0.4274822	76591	1	chr1	6424776	6461367	6404776	6481367	1656	0.469121813	34588	0.945259763	3485	0.987252125	0	0	0	0	19791	0.540870706	0	0	0	0	0	0	0	0	0	0	0	0	31757	0.867891011	31757	0.867891011	0	0	5	3	1	1	34540	0.943947965	4	0	3485	0.987252125	1	0	19791	0.540870706	33911	0.9267579	0
PLEKHG5	yes	no	no	52561	0.9739109	112401	1	chr1	6466092	6520061	6427660	6540061	5867	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0.008671645	0	0	0	71	3	0	0	0	0	0	0	0	0	0	0	0	20113	0.3726769	0
TAS1R1	yes	no	no	23452	0.9592605	64448	1	chr1	6555307	6579755	6535307	6599755	2758	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	904	0.03697644	0	0	0	57	1	0	0	0	0	0	0	0	0	0	0	0	3003	0.1228321	0
CAMTA1	yes	yes	no	940112	0.9551538	1023892	0.9996485	chr1	6785454	7769706	6765454	7789706	8683	0.976935194	0	0	0	0	0	0	0	0	17341	0.017618455	0	0	2000	0.002032	0	0	0	0	0	0	0	0	0	0	18792	0.019092671	0	0	0	1582	5	0	0	0	0	0	0	0	0	0	19341	0.019650455	144647	0.1469613	1
TNFRSF9	yes	no	no	26850	0.9837327	67294	1	chr1	7915871	7943165	7895871	7963165	5882	0.982954545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0.004396571	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	3791	0.138895	0
PARK7	yes	no	no	29623	0.9490293	71214	1	chr1	7954291	7985505	7934291	8005505	1345	0.999257058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0.011821619	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	0	4319	0.1383674	0
ERRFI1	yes	no	no	21519	0.9823784	61905	1	chr1	8004404	8026309	7984404	8046309	3093	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	1927	0.0879708	0
H6PD	yes	no	no	34589	0.946011	76563	1	chr1	9234774	9271337	9214774	9291337	9067	0.97327179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0.007138364	0	0	0	60	21	0	0	0	0	0	0	0	0	0	0	0	7213	0.1972759	0
PIK3CD	yes	no	no	74222	0.9591512	117383	1	chr1	9651731	9729114	9631731	9749114	5254	0.975129918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1969	0.025444865	2953	0.038160836	0	0	0	56	1	0	0	0	0	0	0	0	0	0	0	0	18291	0.2363697	0
NMNAT1	yes	no	no	39072	0.9286716	82073	1	chr1	9943428	9985501	9923428	10005501	4184	0.976201587	0	0	0	0	0	0	0	0	921	0.021890524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1237	0.029401279	0	0	0	46	3	0	0	0	0	0	0	0	0	0	921	0.021890524	7485	0.1779051	0
KIF1B	yes	no	no	165951	0.9716215	210798	1	chr1	10210805	10381603	10190805	10401603	12399	0.997024767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2070	0.01211958	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	19013	0.1113186	0
PEX14	yes	no	yes	153339	0.9676216	198470	1	chr1	10472288	10630758	10452288	10650758	1913	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	0.005685619	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	19056	0.1202499	0
TARDBP	yes	no	no	12583	0.9393803	53395	1	chr1	11012344	11025739	10992344	11045739	4183	0.98772137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1919	0.143262411	2140	0.159761105	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0	0	4217	0.3148189	0
MASP2	yes	no	no	15300	0.7385595	60716	1	chr1	11026523	11047239	11006523	11067239	2452	0.943439785	18189	0.878016992	2599	1	0	0	0	0	3492	0.16856536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0.02457038	0	0	39	28	3	3	18189	0.878016992	39	0	2599	1	3	0	3492	0.16856536	7733	0.3732863	0
MTOR	no	yes	no	150885	0.9671124	196016	1	chr1	11106535	11262551	11086535	11282551	8663	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5187	0.03324659	0	0	0	127	4	0	0	0	0	0	0	0	0	0	0	0	17914	0.1148216	0
UBIAD1	yes	no	no	22195	0.9716324	62843	1	chr1	11273206	11296049	11253206	11316049	3935	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0.005909907	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3412	0.1493674	0
MTHFR	yes	no	yes	20194	0.9740498	60732	1	chr1	11785723	11806455	11765723	11826455	8336	0.987443734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.45E-04	0	0	0	31	13	0	0	0	0	0	0	0	0	0	0	0	3243	0.1564249	0
NPPA	yes	no	no	1874	0.7109256	42636	1	chr1	11845709	11848345	11825709	11868345	759	0.89084507	2636	1	852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0.026176024	0	0	14	3	3	4	2636	1	14	0	852	1	4	0	0	0	891	0.3380121	0
PLOD1	yes	no	no	39509	0.9558706	81333	1	chr1	11934205	11975538	11914205	11995538	2957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0.009798466	0	0	0	75	3	0	0	0	0	0	0	0	0	0	0	0	6313	0.1527351	0
MFN2	yes	no	no	31903	0.9570996	73333	1	chr1	11980181	12013514	11960181	12033514	4656	0.999785269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1289	0.038670387	0	0	0	63	5	0	0	0	0	0	0	0	0	0	0	0	4400	0.1320013	0
TNFRSF1B	yes	no	no	40506	0.959017	82237	1	chr1	12166991	12209228	12146991	12229228	3677	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0.003882852	0	0	0	27	7	0	0	0	0	0	0	0	0	0	0	0	6762	0.1600966	0
PRDM2	no	yes	no	122842	0.9836724	164881	1	chr1	13700198	13825079	13680198	13845079	9626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	0.009304858	0	0	0	171	17	0	0	0	0	0	0	0	0	0	0	0	10600	0.0848808	0
CTRC	yes	no	yes	10134	0.9383333	39287	0.7276313	chr1	15438442	15449242	15418442	15472435	2808	0.808290155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0.015555556	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	2477	0.2293518	0
CASP9	no	yes	no	33318	0.933225	76165	0.8235033	chr1	15490832	15526534	15454045	15546534	3074	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0.026189009	1610	0.045095513	0	0	0	86	3	0	0	0	0	0	0	0	0	0	0	0	7257	0.2032659	1
RSC1A1	yes	no	no	1853	1	41853	1	chr1	15659869	15661722	15639869	15681722	1853	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEN	no	yes	no	101269	0.9703721	144361	1	chr1	15836095	15940456	15816095	15960456	12292	0.993694422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0.009141346	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	15345	0.1470377	0
HSPB7	yes	no	no	5566	1	46554	1	chr1	16014028	16019594	15994028	16040582	3364	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	18	0	0	0	0	0	0	0	0	0	0	0	1765	0.3171038	0
CLCNKA	yes	no	no	14977	0.9869522	64215	1	chr1	16018875	16034050	15998875	16063090	2563	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13613	0.897067545	13613	0.897067545	0	0	0	35	8	0	0	0	0	0	0	0	0	0	0	0	13921	0.9173641	0
CLCNKB	yes	no	no	12615	0.9294872	56871	1	chr1	16043736	16057308	16020437	16077308	2727	0.94918204	0	0	0	0	0	0	0	0	302	0.022251695	0	0	0	0	0	0	0	0	0	0	0	0	13572	1	13572	1	0	0	0	75	14	0	0	0	0	0	0	0	0	0	302	0.022251695	13572	1	0
EPHA2	yes	no	no	30802	0.970692	71732	1	chr1	16124337	16156069	16104337	16176069	3929	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0.014338838	0	0	0	32	6	0	0	0	0	0	0	0	0	0	0	0	8440	0.2659776	0
SPATA21	yes	no	no	47834	0.9508418	90307	1	chr1	16387117	16437424	16367117	16457424	2346	1	0	0	0	0	0	0	0	0	345	0.006857893	0	0	0	0	0	0	0	0	0	0	0	0	2789	0.055439601	3121	0.06203908	0	0	0	102	6	0	0	0	0	0	0	0	0	0	345	0.006857893	9487	0.1885821	0
ATP13A2	yes	no	no	25142	0.9681171	65970	1	chr1	16985958	17011928	16965958	17031928	3967	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0.013053523	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0	0	7669	0.2953023	0
SDHB	yes	yes	yes	34691	0.9824696	75310	1	chr1	17018722	17054032	16998722	17074032	1007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0.003596715	0	0	0	87	1	0	0	0	0	0	0	0	0	0	0	0	3563	0.1009063	0
PADI4	yes	no	no	50087	0.8974717	95767	0.9995616	chr1	17308195	17364004	17288195	17384004	2179	0.968014216	0	0	0	0	0	0	0	0	2541	0.045530291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0.011449766	0	0	0	197	6	0	0	0	0	0	0	0	0	0	2541	0.045530291	10522	0.1885359	1
ARHGEF10L	no	yes	no	155373	0.9822792	198176	1	chr1	17539698	17697874	17519698	17717874	4596	1	0	0	0	0	0	0	0	0	518	0.003274833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587	0.003711056	0	0	0	170	4	0	0	0	0	0	0	0	0	0	518	0.003274833	23229	0.1468554	0
PAX7	yes	yes	no	114557	0.9706575	158020	1	chr1	18630846	18748866	18610846	18768866	6368	0.985148515	0	0	0	0	0	0	0	0	1066	0.009032367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0.00102525	0	0	0	188	5	0	0	0	0	0	0	0	0	0	1066	0.009032367	17859	0.1513218	0
ALDH4A1	yes	no	yes	30994	0.9904135	71294	1	chr1	18871430	18902724	18851430	18922724	3297	0.992773261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0.006199271	0	0	0	42	9	0	0	0	0	0	0	0	0	0	0	0	4258	0.1360644	0
AKR7A2	yes	no	no	8181	1	53538	1	chr1	19303965	19312146	19278608	19332146	1355	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0.025424765	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1140	0.1393473	0
PLA2G2A	yes	no	no	4985	1	44985	1	chr1	19975431	19980416	19955431	20000416	1023	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	202	0.0405216	0
PLA2G5	yes	no	no	63074	0.9896755	103732	1	chr1	20028179	20091911	20008179	20111911	1913	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	0.010810896	0	0	0	92	1	0	0	0	0	0	0	0	0	0	0	0	4245	0.066607	0
CDA	yes	no	no	28238	0.9470437	69817	1	chr1	20589086	20618903	20569086	20638903	805	1	0	0	0	0	0	0	0	0	319	0.010698595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1091	0.036589865	0	0	0	73	3	0	0	0	0	0	0	0	0	0	319	0.010698595	3339	0.1119831	0
PINK1	yes	no	no	17402	0.9639395	58053	1	chr1	20633458	20651511	20613458	20671511	2649	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0.01218634	0	0	0	47	5	0	0	0	0	0	0	0	0	0	0	0	2388	0.1322772	0
DDOST	yes	no	no	9651	0.9871126	49777	1	chr1	20651767	20661544	20631767	20681544	2115	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0.001125089	0	0	0	19	5	0	0	0	0	0	0	0	0	0	0	0	1041	0.1064744	0
ECE1	yes	no	no	124836	0.9728112	168325	1	chr1	21217247	21345572	21197247	21365572	5497	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	0.00482369	0	0	0	142	3	0	0	0	0	0	0	0	0	0	0	0	14948	0.1164855	0
ALPL	yes	no	yes	66946	0.9700491	109013	1	chr1	21509397	21578410	21489397	21598410	2673	1	0	0	0	0	0	0	0	0	857	0.01241795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	0.011765899	0	0	0	175	6	0	0	0	0	0	0	0	0	0	857	0.01241795	10739	0.1556084	0
HSPG2	yes	no	no	112490	0.9776129	155066	1	chr1	21822244	21937310	21802244	21957310	14223	0.998525695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	0.009316392	0	0	0	111	10	0	0	0	0	0	0	0	0	0	0	0	28047	0.2437471	0
CDC42	yes	no	no	71684	0.9450883	154006	1	chr1	22025511	22101360	21967354	22121360	12285	0.961267606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	0.085881159	7442	0.098115994	0	0	0	171	13	0	0	0	0	0	0	0	0	0	0	0	16796	0.22144	0
WNT4	yes	no	no	26393	0.9901335	66656	1	chr1	22117313	22143969	22097313	22163969	3846	0.970476911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0.00247599	0	0	0	31	7	0	0	0	0	0	0	0	0	0	0	0	5448	0.2043817	0
ZBTB40	yes	no	no	100772	0.9848806	142319	1	chr1	22428838	22531157	22408838	22551157	8973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0.006108347	0	0	0	142	11	0	0	0	0	0	0	0	0	0	0	0	8551	0.083572	0
C1QA	yes	no	no	3050	1	43050	1	chr1	22636628	22639678	22616628	22659678	1118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	363	0.1190164	0
C1QC	yes	no	no	4373	0.9767702	44477	1	chr1	22643633	22648110	22623633	22668110	1225	0.921745673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	934	0.2086218	0
C1QB	yes	no	yes	8143	0.9175211	48875	1	chr1	22652762	22661637	22632762	22681637	1041	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	1165	0.1312676	0
EPHB2	yes	no	no	208006	0.9873968	250661	1	chr1	22710839	22921500	22690839	22941500	10896	1	0	0	0	0	0	0	0	0	554	0.002629818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0.002625071	0	0	0	380	6	0	0	0	0	0	0	0	0	0	554	0.002629818	19061	0.0904819	0
ID3	yes	yes	no	1575	1	41575	1	chr1	23557926	23559501	23537926	23579501	947	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	495	0.3142857	0
MDS2	no	yes	no	54592	0.9241447	99073	1	chr1	23581495	23640568	23561495	23660568	NA	NA	0	0	NA	NA	0	0	0	0	342	0.005789447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795	0.013457925	0	NA	0	63	NA	NA	0	0	0	0	NA	NA	NA	NA	342	0.005789447	8324	0.1409104	0
RPL11	yes	no	no	4990	0.9797761	45093	1	chr1	23691742	23696835	23671742	23716835	1075	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	321	0.0630277	0
GALE	yes	no	no	4977	0.96044	45182	1	chr1	23795599	23800781	23775599	23820781	1481	0.974983542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1447	0.2792358	0
HMGCL	yes	no	yes	25274	0.6880087	76735	1	chr1	23801885	23838620	23781885	23858620	1561	1	34462	0.938124405	1561	1	0	0	0	0	1940	0.052810671	0	0	0	0	10330	0.281203212	0	0	0	0	0	0	0	0	1254	0.034136382	0	0	62	33	2	2	34462	0.938124405	62	0	1561	1	2	0	10708	0.291493126	13749	0.3742752	0
FUCA1	yes	no	no	22029	0.9488306	63217	1	chr1	23845077	23868294	23825077	23888294	2039	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2214	0.095361158	0	0	0	35	1	0	0	0	0	0	0	0	0	0	0	0	5718	0.2462851	0
CNR2	yes	no	no	38865	0.9070647	82847	1	chr1	23870515	23913362	23850515	23933362	5040	0.957628729	40407	0.943053189	5194	0.986889607	0	0	0	0	900	0.021004971	0	0	0	0	0	0	0	0	0	0	0	0	2142	0.049991831	2494	0.058207109	1	0	280	250	39	40	40407	0.943053189	280	1	5194	0.986889607	40	0	900	0.021004971	9742	0.2273671	0
