Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000131236	40505905	40538321	1	CAP1
ENSG00000229953	156616299	156631216	1	RP11-284F21.7
ENSG00000227742	52027538	52060569	1	CALR4P
ENSG00000215869	104615645	104619709	1	RP11-364B6.1
ENSG00000237588	156657487	156661789	1	RP11-66D17.3
ENSG00000223356	156682004	156682966	1	RP11-66D17.5
ENSG00000228347	104695928	104696452	1	FTLP17
ENSG00000228229	13429634	13430113	1	RP11-219C24.10
ENSG00000211581	156905923	156906036	1	MIR765
ENSG00000204485	13607431	13611550	1	XX-FW84067D5.1
ENSG00000225036	105976616	105977443	1	RP11-414B7.1
ENSG00000266160	156955549	156955841	1	RN7SL612P
ENSG00000237842	157029024	157030554	1	RP11-110J1.2
ENSG00000224520	157043049	157044495	1	KRT8P45
ENSG00000230768	106130197	106161580	1	RP11-251P6.1
ENSG00000235700	157098154	157098463	1	CYCSP52
ENSG00000224581	13632348	13635279	1	XX-FW84067D5.2
ENSG00000229961	157155178	157157195	1	RP11-71G12.1
ENSG00000227850	106240661	106240840	1	SEPT2P1
ENSG00000228239	157202021	157206926	1	RP11-85G21.1
ENSG00000221643	203698709	203698833	1	SNORA77
ENSG00000271736	157250506	157252858	1	RP11-85G21.3
ENSG00000227417	203774749	203775391	1	RP11-397P13.6
ENSG00000236973	52172810	52173809	1	GAPDHP51
ENSG00000237189	157257493	157257843	1	RP11-85G21.2
ENSG00000237897	106433315	106434052	1	RP11-90H3.2
ENSG00000236731	157599729	157600518	1	RP4-801G22.2
ENSG00000239395	247875115	247887066	1	RP11-634B7.5
ENSG00000259961	13839715	13842765	1	RP4-597A16.2
ENSG00000223505	203804713	203805040	1	RP11-397P13.7
ENSG00000232952	106434361	106436139	1	RP11-90H3.1
ENSG00000215909	13881496	13882189	1	RP4-597A16.3
ENSG00000236430	203841702	203843315	1	KRT8P29
ENSG00000228336	247938212	247939138	1	OR9H1P
ENSG00000222952	13949679	13949779	1	RNA5SP41
ENSG00000232846	52174734	52175612	1	SLC25A6P3
ENSG00000233047	106470246	106565834	1	RP11-24P14.1
ENSG00000233712	157606090	157610091	1	RP4-801G22.3
ENSG00000266358	13950397	13950497	1	AL359771.1
ENSG00000232908	247990788	247991804	1	HSD17B7P1
ENSG00000237445	13983806	13986405	1	CTA-520D8.2
ENSG00000253085	14022565	14022694	1	SCARNA11
ENSG00000230576	247996651	247997590	1	OR6R1P
ENSG00000132763	45965725	45976739	1	MMACHC
ENSG00000252151	14450728	14450830	1	RNU6-1265P
ENSG00000232917	203872851	203873147	1	HSPE1P6
ENSG00000212624	52190447	52190568	1	SNORA26
ENSG00000237480	106615869	106627121	1	RP5-947P14.1
ENSG00000231606	14548386	14549613	1	RP11-344F13.1
ENSG00000226191	248099363	248100815	1	RP11-438H8.8
ENSG00000266993	52259637	52264824	1	RP4-657D16.3
ENSG00000227217	157661552	157666249	1	RP11-367J7.3
ENSG00000234593	14675450	14677518	1	RP4-704D23.1
ENSG00000231700	157678876	157679433	1	RP11-367J7.4
ENSG00000272175	52266700	52266979	1	RP4-657D16.6
ENSG00000230932	106623423	106624001	1	RP5-947P14.2
ENSG00000212076	52302013	52302082	1	MIR761
ENSG00000237379	203923768	203924908	1	CBX1P3
ENSG00000270342	107086964	107087366	1	RP11-478L17.1
ENSG00000230604	52325450	52325807	1	TSEN15P2
ENSG00000232366	157693970	157694810	1	VDAC1P9
ENSG00000224830	248102275	248102961	1	OR2X1P
ENSG00000235829	15018625	15019109	1	TBCAP2
ENSG00000237492	248138043	248138955	1	OR2L9P
ENSG00000211554	203968373	203968471	1	AC096645.1
ENSG00000212174	52331305	52331381	1	Y_RNA
ENSG00000265769	52366592	52366643	1	AL589663.1
ENSG00000270976	107322845	107323057	1	RP11-110F24.1
ENSG00000227425	157830987	157831250	1	MRPS21P2
ENSG00000224227	248153569	248154506	1	OR2L1P
ENSG00000233449	107345377	107346049	1	RP11-233E12.4
ENSG00000200839	52439082	52439207	1	RNA5SP48
ENSG00000176754	204001575	204010393	1	LINC00303
ENSG00000199442	248160302	248160398	1	Y_RNA
ENSG00000229032	52446145	52446486	1	RP11-91A18.1
ENSG00000232215	248166431	248167370	1	OR2L6P
ENSG00000232551	107347096	107348654	1	RP11-233E12.2
ENSG00000236957	157894855	157918861	1	RP11-451O13.1
ENSG00000200085	248192422	248192523	1	Y_RNA
ENSG00000175147	15442448	15478960	1	TMEM51-AS1
ENSG00000264613	52461412	52461709	1	RN7SL290P
ENSG00000200982	248209090	248209191	1	Y_RNA
ENSG00000223390	52499063	52509951	1	RP11-91A18.4
ENSG00000197067	248246936	248247898	1	OR2T32P
ENSG00000228369	52516590	52518355	1	TXNDC12-AS1
ENSG00000237460	107360861	107380789	1	RP11-233E12.1
ENSG00000241745	52615777	52616089	1	RN7SL788P
ENSG00000228407	52625933	52626272	1	RP4-800M22.1
ENSG00000177233	248285234	248286184	1	OR2M1P
ENSG00000238883	107991091	107991177	1	AC114491.1
ENSG00000224550	108047825	108048070	1	RP11-270C12.3
ENSG00000229255	248647546	248648785	1	RP11-407H12.8
ENSG00000223429	52627858	52628698	1	RP4-800M22.2
ENSG00000265536	108318796	108318878	1	AL591042.1
ENSG00000226520	157995340	158000956	1	KIRREL-IT1
ENSG00000215720	15518324	15519341	1	RP1-21O18.3
ENSG00000230489	108507065	108537229	1	VAV3-AS1
ENSG00000231666	158101834	158110429	1	RP11-404O13.1
ENSG00000264753	108561275	108561393	1	AL390036.1
ENSG00000271934	248661609	248661929	1	OR2AS2P
ENSG00000233485	15653176	15670372	1	RP3-467K16.2
ENSG00000226822	108614104	108617141	1	RP11-356N1.2
ENSG00000224255	52645520	52646225	1	PDCL3P6
ENSG00000236045	15660662	15661960	1	RP3-467K16.7
ENSG00000224521	248712057	248727140	1	RP11-438F14.3
ENSG00000261065	204100190	204101094	1	RP11-74C13.4
ENSG00000227295	158145640	158147545	1	ELL2P1
ENSG00000228140	15729475	15735929	1	RP3-467K16.4
ENSG00000230550	204110536	204112137	1	RP11-74C13.3
ENSG00000260879	108742548	108744113	1	RP11-483I13.5
ENSG00000238122	108803818	108816311	1	RP11-483I13.2
ENSG00000229914	158165423	158165921	1	RP11-404O13.4
ENSG00000236004	52655588	52655981	1	RP4-800M22.4
ENSG00000225522	204152134	204152665	1	RP11-203F10.1
ENSG00000251866	15868660	15868799	1	SCARNA21
ENSG00000231691	204246133	204247076	1	RP11-203F10.5
ENSG00000227102	248712745	248713063	1	OR2AS1P
ENSG00000176320	158167712	158173667	1	RP11-404O13.5
ENSG00000272510	15892106	15892451	1	RP4-680D5.8
ENSG00000237663	52717734	52718445	1	DNAJC19P7
ENSG00000237301	15912631	15930121	1	RP4-680D5.2
ENSG00000219133	204315904	204316386	1	RP11-203F10.6
ENSG00000241361	108815565	108918572	1	SLC25A24P1
ENSG00000230942	158236543	158237110	1	HMGN1P5
ENSG00000201602	248758226	248758334	1	Y_RNA
ENSG00000271701	248764717	248765170	1	RP11-438F14.10
ENSG00000235084	15931077	15931538	1	CHCHD2P6
ENSG00000229703	248855492	248862411	1	XX-CR54.1
ENSG00000117450	45976708	45988719	1	PRDX1
ENSG00000203758	158414858	158415804	1	OR10T1P
ENSG00000226330	204346978	204404974	1	RP11-739N20.2
ENSG00000237848	204363669	204363902	1	RP11-739N20.3
ENSG00000232694	248881947	248885506	1	XX-CR54.3
ENSG00000236257	158423988	158425063	1	EI24P2
ENSG00000252417	15934573	15934640	1	RNU7-179P
ENSG00000242529	248885294	248885502	1	AHCYP8
ENSG00000236779	204497973	204498820	1	RP11-430C7.2
ENSG00000213735	52719293	52719848	1	ANAPC10P1
ENSG00000236500	15941138	15941362	1	RP4-680D5.4
ENSG00000200408	204531541	204531649	1	RNA5SP74
ENSG00000236656	158444244	158464676	1	RP11-144L1.4
ENSG00000272100	52819159	52819549	1	RP11-155O18.6
ENSG00000271742	16009368	16009623	1	RP4-680D5.9
ENSG00000240710	204572163	204585693	1	RP11-430C7.4
ENSG00000264048	16010967	16011053	1	AL121992.1
ENSG00000224680	52834349	52834916	1	PLA2G12AP1
ENSG00000229663	249065834	249067991	1	AL672296.1
ENSG00000237938	16049214	16063391	1	RP11-288I21.1
ENSG00000240219	204595903	204598840	1	RP11-430C7.5
ENSG00000239063	52877114	52877194	1	snoU13
ENSG00000224459	16066546	16076391	1	RP11-169K16.4
ENSG00000272371	53020490	53020945	1	RP11-25O10.2
ENSG00000252731	204622230	204622314	1	AL161793.1
ENSG00000198703	158461009	158461950	1	OR10R3P
ENSG00000228153	204633000	204633741	1	RP11-23I7.1
ENSG00000264500	249120576	249120642	1	MIR3124
ENSG00000236290	53038786	53039488	1	EEF1GP7
ENSG00000224321	16119291	16119780	1	RP11-169K16.6
ENSG00000177868	43272723	43282954	1	CCDC23
ENSG00000252650	204676448	204676558	1	RNA5SP75
ENSG00000227237	249153363	249158995	1	AL672294.1
ENSG00000233664	53174794	53175114	1	NDUFS5P3
ENSG00000251861	204697119	204697234	1	SCARNA20
ENSG00000233954	16133679	16134194	1	RP11-169K16.7
ENSG00000252946	204873875	204873946	1	SNORD112
ENSG00000227445	158484575	158485715	1	OR10R1P
ENSG00000200495	249206889	249206994	1	RNU6-1205P
ENSG00000239640	53180071	53180365	1	RN7SL62P
ENSG00000229657	204915736	204916297	1	RP11-494K3.2
ENSG00000233084	249230780	249231242	1	AL672183.2
ENSG00000252018	53219994	53220134	1	RNU2-30P
ENSG00000228929	53237866	53238320	1	RP11-159C21.4
ENSG00000178715	16154724	16155167	1	RP11-169K16.8
ENSG00000243967	108918460	108953436	1	NBPF5P
ENSG00000251696	205031380	205031470	1	AL583832.1
ENSG00000231434	158493462	158495628	1	RP11-144L1.8
ENSG00000206627	53270780	53270884	1	RNU6-969P
ENSG00000271580	205060291	205061074	1	RP11-536L3.4
ENSG00000242391	53346888	53347402	1	RP4-631H13.2
ENSG00000236108	205103774	205104078	1	RP11-383G10.1
ENSG00000179743	16160560	16174642	1	RP11-169K16.9
ENSG00000230953	53386094	53386268	1	RP4-631H13.6
ENSG00000213041	205171319	205171870	1	RP11-383G10.3
ENSG00000238818	16237392	16237492	1	snoU13
ENSG00000231237	158664329	158665299	1	OR6K1P
ENSG00000270620	16244193	16244403	1	RP1-134O19.3
ENSG00000225063	205202949	205205995	1	RP11-383G10.5
ENSG00000231866	53390921	53391095	1	RP4-631H13.4
ENSG00000235363	205320375	205320599	1	SNRPGP10
ENSG00000264834	53394346	53394444	1	MIR1273F
ENSG00000266188	53400602	53400689	1	MIR5095
ENSG00000180437	158693903	158694902	1	OR6K4P
ENSG00000226235	205342380	205356568	1	LEMD1-AS1
ENSG00000234607	16296127	16296689	1	RP11-5P18.1
ENSG00000265815	53405986	53406085	1	MIR1273G
ENSG00000238118	108926358	108963917	1	SLC25A24P2
ENSG00000237279	53409208	53409602	1	RP4-631H13.5
ENSG00000199059	205417430	205417526	1	MIR135B
ENSG00000226949	158711936	158713205	1	OR6K5P
ENSG00000224717	205425057	205438152	1	RP11-576D8.4
ENSG00000231353	16314677	16314936	1	RP11-5P18.3
ENSG00000224698	108963311	108975806	1	RP11-131J3.1
ENSG00000236360	53458868	53459374	1	RP11-334A14.2
ENSG00000224966	16316366	16321246	1	TBC1D3P6
ENSG00000227832	109044980	109046077	1	ST13P21
ENSG00000253097	205535844	205535927	1	RNU2-19P
ENSG00000226147	53460398	53461698	1	TUBBP10
ENSG00000229724	158765804	158766003	1	OR2AQ1P
ENSG00000206762	205564169	205564275	1	RNU6-418P
ENSG00000236942	205594611	205595281	1	RP11-6B6.3
ENSG00000226483	109051196	109051865	1	RP5-964H19.2
ENSG00000232971	109276878	109277347	1	RP11-293A10.3
ENSG00000180409	158778189	158779125	1	OR10AA1P
ENSG00000232993	53535610	53551174	1	RP11-334A14.5
ENSG00000228076	109309463	109310206	1	RP11-475E11.2
ENSG00000201944	205700349	205700480	1	SNORA72
ENSG00000227644	53538782	53539061	1	HIGD1AP11
ENSG00000233078	16332655	16333166	1	RP11-5P18.5
ENSG00000227687	205904256	205904896	1	RP4-681L3.2
ENSG00000203897	109399839	109401146	1	SPATA42
ENSG00000229849	158848536	158853290	1	RP11-393K10.1
ENSG00000235563	53580248	53584281	1	RP11-334A14.8
ENSG00000229874	206135293	206137984	1	RP11-312O7.2
ENSG00000232456	16361673	16366524	1	RP11-5P18.10
ENSG00000236723	53676128	53679447	1	RP5-1024G6.2
ENSG00000259818	53686335	53689925	1	RP5-1024G6.7
ENSG00000227959	16481706	16483824	1	RP11-276H7.2
ENSG00000258664	179833916	179834311	1	IFRG15
ENSG00000236889	206164084	206166270	1	RP11-38J22.1
ENSG00000226754	53704282	53708455	1	RP5-1024G6.5
ENSG00000265589	159029039	159029116	1	AL359753.1
ENSG00000196517	44457172	44497139	1	SLC6A9
ENSG00000233473	159050923	159051585	1	RAD1P2
ENSG00000164010	43282795	43310660	1	ERMAP
ENSG00000222552	159148263	159148349	1	RNA5SP60
ENSG00000225483	206180054	206180443	1	RP11-38J22.2
ENSG00000224621	16485761	16488378	1	RP11-276H7.3
ENSG00000225670	159165775	159177763	1	CTA-134P22.2
ENSG00000270172	53708036	53710212	1	RP5-1024G6.8
ENSG00000234166	16524349	16524852	1	ARHGEF19-AS1
ENSG00000226780	206214526	206223548	1	RP11-38J22.3
ENSG00000237349	109529585	109529867	1	RP5-1065J22.2
ENSG00000234578	53733607	53734273	1	RP4-784A16.1
ENSG00000252692	206261008	206261093	1	SNORD60
ENSG00000237276	16542404	16554522	1	ANO7P1
ENSG00000228838	53753696	53755378	1	RP4-784A16.2
ENSG00000244716	109534878	109535489	1	RP11-20O24.4
ENSG00000240754	206288156	206306131	1	RP11-38J22.6
ENSG00000225030	53757463	53757810	1	RP4-784A16.3
ENSG00000215846	159246293	159247282	1	MPTX1
ENSG00000232762	53770208	53773134	1	RP4-784A16.4
ENSG00000229509	206506678	206506789	1	RP11-421E17.4
ENSG00000228665	109572689	109572941	1	RP11-20O24.1
ENSG00000225675	53793905	53802181	1	RP4-784A16.5
ENSG00000233501	206552219	206554954	1	SRGAP2-AS1
ENSG00000226938	53814160	53814905	1	RP11-117D22.1
ENSG00000228054	109589450	109590104	1	RANP5
ENSG00000261000	206677281	206677789	1	RP11-534L20.5
ENSG00000230138	53832340	53833917	1	RP11-117D22.2
ENSG00000234981	206702248	206703039	1	RP11-534L20.4
ENSG00000273382	109630593	109633480	1	RP5-1065J22.8
ENSG00000248642	159248831	159249791	1	OR10J2P
ENSG00000270066	109642815	109643241	1	SCARNA2
ENSG00000237605	206807994	206808967	1	RP11-343H5.6
ENSG00000251484	109646157	109647388	1	RP5-1065J22.4
ENSG00000252853	206855308	206855380	1	SNORD112
ENSG00000236253	53878821	53905693	1	SLC25A3P1
ENSG00000233929	16567708	16567893	1	MT1XP1
ENSG00000238310	109750416	109750470	1	RNU7-122P
ENSG00000203827	148739443	148758311	1	NBPF16
ENSG00000224114	206869182	206869614	1	RP11-343H5.4
ENSG00000254942	110082528	110086459	1	RP5-1160K1.8
ENSG00000228560	159315956	159438858	1	RP11-550P17.5
ENSG00000206832	110134156	110134262	1	RNU6V
ENSG00000199349	206921325	206921437	1	Y_RNA
ENSG00000248442	159320883	159321816	1	OR10J7P
ENSG00000225113	110138847	110140403	1	RP5-1160K1.3
ENSG00000271680	207079273	207079738	1	RP11-564A8.8
ENSG00000207709	110141515	110141589	1	MIR197
ENSG00000226457	16695645	16696025	1	RP11-430L17.1
ENSG00000226945	207080964	207081574	1	RP11-564A8.4
ENSG00000228703	110171039	110172927	1	RP5-1160K1.6
ENSG00000235045	110193992	110194721	1	RPL7P8
ENSG00000238401	207212039	207212145	1	snoU13
ENSG00000226565	207323522	207323626	1	RP11-164O23.5
ENSG00000239007	54154422	54154485	1	RNU7-95P
ENSG00000122180	203052260	203055164	1	MYOG
ENSG00000201003	54236691	54236826	1	SNORA58
ENSG00000251686	159335951	159336879	1	OR10J8P
ENSG00000264454	54294465	54294534	1	AL049745.1
ENSG00000260246	110235739	110236364	1	AC000032.2
ENSG00000224462	207338841	207357255	1	C4BPAP1
ENSG00000226029	16787443	16794976	1	RP4-798A10.2
ENSG00000229687	54307220	54307505	1	RP4-654H19.2
ENSG00000241720	110268442	110317874	1	RP4-735C1.4
ENSG00000117448	46016215	46035721	1	AKR1A1
ENSG00000219102	54440642	54441704	1	HNRNPA3P12
ENSG00000224927	110353264	110353620	1	NDUFA5P10
ENSG00000197015	54481327	54481616	1	AL353898.1
ENSG00000080947	16793931	16825752	1	CROCCP3
ENSG00000272091	54492356	54494172	1	RP4-758J24.5
ENSG00000203276	54498816	54500553	1	AL353898.2
ENSG00000228420	110370977	110414058	1	RP4-735C1.6
ENSG00000264208	54519752	54519827	1	MIR4781
ENSG00000225183	54555529	54555766	1	RP4-758J24.4
ENSG00000235005	110426798	110428886	1	RP11-195M16.1
ENSG00000261055	110438595	110440483	1	RP11-195M16.3
ENSG00000237611	54565641	54565897	1	AL353898.3
ENSG00000258634	110600962	110605177	1	RP4-773N10.4
ENSG00000249197	159375213	159376199	1	OR10J9P
ENSG00000225632	54751078	54753044	1	RP5-997D24.3
ENSG00000232245	54881929	54886533	1	RP4-705F19.1
ENSG00000258673	110625310	110652341	1	RP4-773N10.6
ENSG00000265404	54970341	54970443	1	AC099796.1
ENSG00000235741	54982085	54982932	1	RP5-866L20.1
ENSG00000237173	54990497	54990604	1	RP5-866L20.2
ENSG00000252646	54991059	54991126	1	SNORD112
ENSG00000227091	110708808	110715111	1	RP5-1028L10.1
ENSG00000227453	55002469	55003431	1	HNRNPA1P63
ENSG00000224943	159436111	159453166	1	RP11-180D21.3
ENSG00000230728	55087150	55094111	1	RP11-240D10.4
ENSG00000231100	159527158	159527990	1	RP11-740C1.2
ENSG00000163485	203059782	203136533	1	ADORA1
ENSG00000235526	110720265	110721341	1	RP5-1028L10.2
ENSG00000237453	55258558	55260578	1	RP11-67L3.2
ENSG00000224965	110751456	110752609	1	KCNC4-AS1
ENSG00000242396	55352548	55353674	1	RP11-67L3.5
ENSG00000200536	110815106	110815229	1	SNORA25
ENSG00000271890	159551410	159552438	1	OR10AE1P
ENSG00000158731	159568088	159569017	1	OR10J6P
ENSG00000227963	110828997	110881793	1	RP5-1074L1.1
ENSG00000233203	55353236	55354523	1	RP11-67L3.4
ENSG00000243636	207352641	207357407	1	RP11-164O23.7
ENSG00000273373	110912776	110915625	1	RP5-1074L1.4
ENSG00000223603	159674773	159675397	1	CRPP1
ENSG00000233271	55446623	55457947	1	RP11-12C17.2
ENSG00000232621	207399143	207402547	1	C4BPAP2
ENSG00000231090	55683534	55699850	1	RP11-101C11.1
ENSG00000231095	55688052	55689045	1	GYG1P3
ENSG00000224699	110925441	110974982	1	LAMTOR5-AS1
ENSG00000235226	159728960	159729379	1	RP11-419N10.5
ENSG00000203818	149400131	149400542	1	HIST2H3PS2
ENSG00000265822	55691314	55691396	1	MIR4422
ENSG00000212161	159821696	159821762	1	SNORD64
ENSG00000206652	16840617	16840780	1	RNU1-1
ENSG00000272668	159836744	159837475	1	RP11-190A12.8
ENSG00000231900	55833139	55834447	1	GOT2P1
ENSG00000261135	16841140	16842249	1	RP4-798A10.7
ENSG00000266458	159869769	159869869	1	hsa-mir-4259
ENSG00000224174	16847189	16848291	1	RP4-798A10.4
ENSG00000237074	207422412	207482466	1	RP11-6J21.2
ENSG00000224259	159931008	159948851	1	LINC01133
ENSG00000253044	207688630	207688688	1	AL691452.1
ENSG00000164011	43312280	43318148	1	ZNF691
ENSG00000236911	207725270	207779900	1	RP11-78B10.2
ENSG00000233421	16860381	16862144	1	U1
ENSG00000133055	203136939	203144941	1	MYBPH
ENSG00000244703	207818579	207830755	1	CD46P1
ENSG00000203817	149438750	149459549	1	FAM72C
ENSG00000232198	55838383	55838989	1	RP4-633H17.2
ENSG00000225710	16875146	16879026	1	RP5-875O13.6
ENSG00000266584	16875409	16875482	1	AL355149.1
ENSG00000199831	55842199	55842525	1	RN7SKP291
ENSG00000237409	159990090	159990517	1	RP11-226L15.1
ENSG00000271732	16943886	16944224	1	RP5-1182A14.5
ENSG00000252162	55864187	55864293	1	RNU6-830P
ENSG00000272051	55950544	55950645	1	Y_RNA
ENSG00000234810	56046710	56200675	1	RP11-466L17.1
ENSG00000260766	159994743	159996584	1	RP11-226L15.5
ENSG00000215908	16944751	16971178	1	CROCCP2
ENSG00000225279	160032278	160049611	1	RP11-536C5.2
ENSG00000270380	110999127	110999976	1	RP11-470L19.5
ENSG00000233147	56289480	56333921	1	RP11-90C4.1
ENSG00000198161	149553003	149553787	1	PPIAL4C
ENSG00000227741	160171989	160178659	1	RP11-536C5.7
ENSG00000226289	207831799	207832487	1	RP11-57I17.3
ENSG00000230250	56381282	56410636	1	RP11-90C4.2
ENSG00000240194	111023374	111033899	1	CYMP
ENSG00000234219	207935929	207936608	1	RP11-454L1.2
ENSG00000265381	160175167	160175254	1	AL121987.1
ENSG00000227104	56404387	56404953	1	PIGQP1
ENSG00000228606	160231534	160232568	1	RP11-574F21.2
ENSG00000203709	207974863	208042495	1	C1orf132
ENSG00000233079	56410760	56415792	1	RP11-90C4.3
ENSG00000235612	56611393	56620896	1	RP1-158P9.1
ENSG00000203815	149675978	149676609	1	FAM231D
ENSG00000229871	56673239	56674128	1	RP4-710M16.1
ENSG00000224261	160236130	160237015	1	RP11-179G5.1
ENSG00000260971	56713966	56724243	1	RP11-504A18.1
ENSG00000235082	160287193	160287496	1	SUMO1P3
ENSG00000223307	56843005	56843090	1	AC119674.1
ENSG00000223956	56880635	56881638	1	RP4-710M16.2
ENSG00000226202	208047140	208052418	1	RP11-328D5.1
ENSG00000202078	160295894	160296006	1	Y_RNA
ENSG00000201608	160362558	160362699	1	RNU4-42P
ENSG00000226843	208428635	208428721	1	RP11-2P2.1
ENSG00000223009	160473166	160473246	1	AL138930.1
ENSG00000235407	111030302	111032880	1	RP11-470L19.2
ENSG00000261453	208780445	208785537	1	RP11-565N2.1
ENSG00000234425	160506863	160541248	1	RP11-528G1.2
ENSG00000221538	111195564	111195653	1	AL365361.1
ENSG00000259815	208800086	208801430	1	RP11-565N2.2
ENSG00000264286	160515438	160515535	1	AL138930.2
ENSG00000259834	111196182	111199662	1	RP11-284N8.3
ENSG00000235101	160639938	160640769	1	SETP9
ENSG00000227887	208870714	208871043	1	RPS26P13
ENSG00000199710	111307030	111307128	1	Y_RNA
ENSG00000150337	149754227	149764074	1	FCGR1A
ENSG00000237415	111390699	111391563	1	NRBF2P3
ENSG00000236776	57004124	57004583	1	RPL21P23
ENSG00000186301	16972069	16976914	1	MST1P2
ENSG00000228863	160640568	160653698	1	RP11-404F10.2
ENSG00000232812	208902033	208906529	1	RP11-459K23.2
ENSG00000232791	111396560	111397513	1	OR11I1P
ENSG00000224980	57051285	57051915	1	RP11-377K22.3
ENSG00000236950	209145799	209148652	1	RP5-1051D14.1
ENSG00000227239	160667760	160668001	1	AL121985.1
ENSG00000261654	111478991	111484975	1	RP11-96K19.4
ENSG00000232811	111486089	111495470	1	RP11-96K19.2
ENSG00000226003	160817800	160818292	1	RP11-312J18.3
ENSG00000273010	111505924	111507271	1	RP11-96K19.5
ENSG00000225475	57085082	57085222	1	RP11-377K22.2
ENSG00000213080	160864770	160865866	1	RP11-312J18.5
ENSG00000232537	209320612	209328446	1	RP11-385M4.1
ENSG00000225672	111550322	111558152	1	CCNT2P1
ENSG00000229913	57289352	57292593	1	RP11-378I13.1
ENSG00000133048	203148059	203155877	1	CHI3L1
ENSG00000232188	160901529	160904170	1	RP11-312J18.6
ENSG00000228081	209346359	209346720	1	RP11-385M4.2
ENSG00000198358	160902255	160919712	1	RP11-544M22.1
ENSG00000236341	57429559	57462430	1	RP5-1103B4.3
ENSG00000224540	209405541	209406764	1	RP11-385M4.3
ENSG00000252760	111584456	111584547	1	RNA5SP54
ENSG00000221591	57431953	57432035	1	AL161740.1
ENSG00000272982	111723996	111724113	1	RP5-1180E21.4
ENSG00000233691	160905327	160905916	1	RP11-312J18.7
ENSG00000227935	57852248	57853122	1	RP6-102O10.1
ENSG00000273221	111727037	111727683	1	RP5-1180E21.5
ENSG00000236040	111792876	111799337	1	CHIAP1
ENSG00000225712	209441143	209441568	1	ATP5G2P1
ENSG00000232879	161004624	161004796	1	RP11-544M22.3
ENSG00000236888	58071519	58071878	1	RPS20P5
ENSG00000117394	43391052	43424530	1	SLC2A1
ENSG00000228917	161054255	161057361	1	RP11-544M22.8
ENSG00000227940	209498801	209501877	1	RP11-372M18.1
ENSG00000238773	58222756	58222848	1	AL137855.1
ENSG00000238934	161110998	161111126	1	ACA64
ENSG00000224985	161123550	161129139	1	RP11-297K8.2
ENSG00000263548	161196976	161197051	1	MIR5187
ENSG00000231648	209541007	209553035	1	RP11-372M18.2
ENSG00000235477	161337812	161341754	1	RP11-122G18.5
ENSG00000203878	111822681	111828738	1	CHIAP2
