chromosome	start_minus_20kb	end_plus_20kb	gene_name	bp_covered_v4.1	percent_covered_v4.1	bp_covered_r253	percent_covered_r253
chr1	58760791	58804047	JUN	42989	0.993827446	43256	1
chr1	59873308	59946773	CYP2J2	73182	0.996147825	73465	1
chr1	60845259	61482788	NFIA	624168	0.979042522	637529	1
chr1	62416297	62471804	USP1	54717	0.985767561	55507	1
chr1	62434298	62708386	DOCK7	268214	0.978568927	274088	1
chr1	62577520	62626313	ANGPTL3	48210	0.988051565	48793	1
chr1	63302567	63345128	FOXD3	40427	0.949860201	42561	1
chr1	63347575	63458553	ALG6	106599	0.960541729	110978	1
chr1	63573411	63680245	PGM1	105298	0.985622555	106834	1
chr1	64813229	65087754	JAK1	266912	0.972268464	274525	1
chr1	65228219	65435871	DNAJC6	202942	0.97731782	207652	1
chr1	65400652	65661559	LEPR	251391	0.963527234	260907	1
chr1	65772514	66394579	PDE4B	608964	0.9789395	622065	1
chr1	66979350	67074148	SLC35D1	93167	0.982794996	94798	1
chr1	67118907	67279979	IL23R	157005	0.974750422	161072	1
chr1	67287364	67417090	IL12RB2	123962	0.955567889	129726	1
chr1	67665201	67708334	GADD45A	42553	0.986553219	43133	1
chr1	68025886	68071631	DIRAS3	45521	0.99510329	45745	1
chr1	68408822	68469954	RPE65	60635	0.991870052	61132	1
chr1	70391218	70459851	CTH	66947	0.975434558	68633	1
chr1	71375943	72302539	NEGR1	898624	0.969812086	924698	0.997951642
chr1	74215387	74564428	TNNI3K	344530	0.987076017	349041	1
chr1	75108434	75181533	LHX8	72152	0.987044966	73099	1
chr1	75704347	75807575	ACADM	98420	0.95342349	103228	1
chr1	76054746	76654603	ST6GALNAC3	589360	0.982500829	599857	1
chr1	76847480	77087546	ST6GALNAC5	236744	0.986162139	240066	1
chr1	77868513	77963895	NEXN	91164	0.95577782	95382	1
chr1	77924055	77999110	FUBP1	73742	0.982506162	75055	1
chr1	84343706	84417831	UOX	73453	0.990934233	74125	1
chr1	85245776	85296632	BCL10	48580	0.955246185	50856	1
chr1	87308880	87368923	LMO4	59442	0.989990507	60043	1
chr1	90895298	91042272	ZNF644	144021	0.979908011	146974	1
chr1	91660343	91926335	TGFBR3	252668	0.949908268	265992	1
chr1	92226402	92318987	GLMN	90748	0.980158773	92585	1
chr1	92453043	92506925	GFI1	52337	0.971326231	53882	1
chr1	92488696	92812404	EVI5	313006	0.96693934	323708	1
chr1	92812013	92861924	RPL5	47005	0.941776362	49911	1
chr1	93865199	93929456	GCLM	62503	0.972703363	64257	1
chr1	93972834	94141148	ABCA4	165617	0.983976377	168314	1
chr1	94398389	94538666	ABCD3	138030	0.983981693	140277	1
chr1	97057743	98015000	DPYD	941343	0.983375415	957257	1
chr1	97075923	97342955	DPYD-AS1	260382	0.975096618	267032	1
chr1	99830361	99944023	AGL	94077	0.827690873	113662	1
chr1	99949351	100055634	SLC35A3	104001	0.978529022	106283	1
chr1	100166919	100269834	DBT	97587	0.948229121	102915	1
chr1	100699742	100759045	VCAM1	52051	0.877712763	59303	1
chr1	100852372	100915179	EXTL2	45242	0.720333721	62807	1
chr1	102856467	103128872	COL11A1	270060	0.991391494	272405	1
chr1	107120007	107503458	NTNG1	380972	0.993535028	383451	1
chr1	108855350	108954545	GPSM2	98099	0.988951056	99195	1
chr1	109229539	109295751	CELSR2	63762	0.962997644	66212	1
chr1	109289568	109417918	SORT1	125769	0.979890923	128350	1
chr1	109528615	109638324	GNAI3	108287	0.987038438	109709	1
chr1	109583254	109639929	GNAT2	55939	0.987013674	56675	1
chr1	109667814	109729039	GSTM1	52713	0.860971825	0	0
chr1	109713932	109761038	GSTM3	46381	0.984609179	24776	0.525962722
chr1	109890242	109950992	CSF1	60264	0.992	60750	1
chr1	110039870	110090672	ALX3	49830	0.980866895	50802	1
chr1	110318506	110366681	RBM15	47397	0.983850545	48175	1
chr1	110431149	110477358	PROK1	45545	0.985630505	46209	1
chr1	111750662	112009155	KCND3	255928	0.990077101	258493	1
chr1	112891847	112977013	SLC16A1	81810	0.960594603	85166	1
chr1	113053198	113152260	LRIG2	75304	0.760170398	99062	1
chr1	113793811	113891753	PTPN22	95773	0.97785424	97942	1
chr1	113874194	113925201	AP4B1	49845	0.977218813	51007	1
chr1	114372790	114531203	TRIM33	152191	0.96072292	158413	1
chr1	114653090	114715618	AMPD1	61212	0.978953429	62528	1
chr1	114684469	114736771	NRAS	51763	0.989694467	52302	1
chr1	114696913	114778676	CSDE1	80901	0.989457334	81763	1
chr1	115009824	115054309	TSHB	44157	0.992626728	44485	1
chr1	115265918	115358236	NGF	91096	0.986763145	92318	1
chr1	115621970	115718224	VANGL1	90147	0.936553286	96254	1
chr1	115680007	115788781	CASQ2	101457	0.932732087	108774	1
chr1	116352668	116430261	ATP1A1	76017	0.979688889	77593	1
chr1	117347449	117548872	MAN1A2	196259	0.974362411	201423	1
chr1	117586048	117648389	TENT5C	61467	0.985980334	62341	1
chr1	117933590	118205228	SPAG17	265733	0.97826151	271638	1
chr1	118863046	119009556	TBX15	145088	0.990294178	146510	1
chr1	119394931	119443035	HSD3B2	47066	0.978421753	48104	1
chr1	119487198	119535054	HSD3B1	47163	0.985519057	47856	1
chr1	119628411	119764226	PHGDH	133721	0.984581968	135815	1
chr1	119727996	119788905	HMGCS2	60291	0.989853716	60909	1
chr1	119891553	120120779	NOTCH2	206152	0.899339516	77694	0.338940609
chr1	145891350	145938717	PEX11B	46174	0.974813689	47367	1
chr1	145897714	145947678	RBM8A	48081	0.962312865	49964	1
chr1	145972435	146016579	TXNIP	42431	0.961195179	44144	1
chr1	147155351	147263050	FMO5	105678	0.981234738	107699	1
chr1	147222654	147315765	CHD1L	90746	0.974600208	93111	1
chr1	147521501	147646216	BCL9	122144	0.979384998	124715	1
chr1	147736199	147793362	GJA5	56854	0.994594405	57163	1
chr1	147887956	147929257	GJA8	39929	0.966780465	41301	1
chr1	148788181	149068286	PDE4DIP	148932	0.531700612	0	0
chr1	149762671	149812518	FCGR1A	48541	0.973799827	0	0
chr1	149903317	149947803	SF3B4	42867	0.963606528	44486	1
chr1	150047279	150165329	VPS45	113892	0.964777637	118050	1
chr1	150301479	150373233	PRPF3	65135	0.907754272	71754	1
chr1	150488062	150533789	ECM1	43356	0.948148796	45727	1
chr1	150529369	150580937	ADAMTSL4	48494	0.940389389	51568	1
chr1	150776208	150828260	CTSK	49369	0.948455391	52052	1
chr1	150789713	150896708	ARNT	102238	0.955539979	106995	1
chr1	150906263	150984744	SETDB1	74495	0.949210637	78481	1
chr1	151037758	151088497	MLLT11	47413	0.934448846	50739	1
chr1	151320640	151367357	RFX5	44388	0.950146628	46717	1
chr1	151382724	151479494	POGZ	93424	0.965423168	96770	1
chr1	152282175	152345203	FLG	45720	0.725391889	63028	1
chr1	152490803	152532177	LCE5A	41129	0.994078407	41374	1
chr1	152593811	152634098	LCE3B	10531	0.261399459	18834	0.467495718
chr1	153239687	153282124	LOR	38076	0.897235903	42437	1
chr1	153437744	153480651	S100A7	41651	0.970727387	42907	1
chr1	153769030	153943360	GATAD2B	165512	0.949417771	174330	1
chr1	154135304	154214648	TPM3	75531	0.951943436	79344	1
chr1	154252511	154295875	HAX1	40901	0.943201734	43364	1
chr1	154385193	154489450	IL6R	101267	0.971320871	104257	1
chr1	154547778	154600013	CHRNB2	51345	0.982961616	52235	1
chr1	154562057	154648013	ADAR	83720	0.973986691	85956	1
chr1	154677455	154890281	KCNN3	206799	0.971681092	212826	1
chr1	155119891	155160595	DPM3	39255	0.964401533	40704	1
chr1	155165824	155212916	MUC1	42917	0.911343753	47092	1
chr1	155729662	155879400	GON4L	141464	0.944743485	149738	1
chr1	156034752	156078510	LAMTOR2	41490	0.948169478	43758	1
chr1	156041160	156090504	RAB25	47085	0.954219358	49344	1
chr1	156062573	156160089	LMNA	94134	0.965318512	97516	1
chr1	156127366	156197752	SEMA4A	67819	0.963529679	70386	1
chr1	156505405	156592604	IQGAP3	80600	0.924322527	87199	1
chr1	156621390	156679532	BCAN	57258	0.984795845	58142	1
chr1	156730610	156820815	PRCC	86327	0.957009035	90205	1
chr1	156795640	156901850	NTRK1	104105	0.980180774	106210	1
chr1	157553747	157618085	FCRL4	63642	0.989182132	64338	1
chr1	158558919	158599899	OR10X1	40572	0.990043924	40980	1
chr1	158590704	158706715	SPTA1	114777	0.989363078	116011	1
chr1	159183307	159226500	ACKR1	42655	0.987544278	43193	1
chr1	159692289	159734589	CRP	41903	0.990614657	42300	1
chr1	159978651	160090160	KCNJ10	109701	0.983786062	111509	1
chr1	160004953	160051990	PIGM	46262	0.983523609	47037	1
chr1	160095759	160163591	ATP1A2	66927	0.986658214	67832	1
chr1	160256812	160306348	PEX19	48879	0.986736919	49536	1
chr1	160323316	160378952	NCSTN	54623	0.981792365	55636	1
chr1	160380564	160448670	VANGL2	66973	0.983364168	68106	1
chr1	160810160	160882887	CD244	70952	0.975593658	72727	1
chr1	161019251	161065977	USF1	41500	0.888156487	46726	1
chr1	161146056	161198013	PPOX	49921	0.96081375	51957	1
chr1	161151310	161197968	B4GALT3	44991	0.964271936	46658	1
chr1	161177104	161234395	NDUFS2	55614	0.970728387	57291	1
chr1	161195234	161240699	FCER1G	44357	0.975629605	45465	1
chr1	161202292	161243631	APOA2	40231	0.973197223	41339	1
chr1	161209666	161258302	NR1I3	47393	0.9744428	48636	1
chr1	161284735	161329972	MPZ	43805	0.968344497	45237	1
chr1	161294257	161395340	SDHC	98249	0.971963634	101083	1
chr1	161485430	161544013	FCGR2A	56259	0.960329789	51589	0.88061383
chr1	161521759	161570737	FCGR3A	46228	0.943852342	48978	1
chr1	161603196	161651963	FCGR3B	45234	0.927553469	48767	1
chr1	161643147	161698654	FCGR2B	33621	0.605707388	55507	1
chr1	161746320	161984070	ATF6	234238	0.985228181	237750	1
chr1	162049691	162390475	NOS1AP	335305	0.983922367	340784	1
chr1	162611373	162807405	DDR2	191365	0.976192662	196032	1
chr1	164535584	164919296	PBX1	375672	0.979046785	383712	1
chr1	165611213	165681796	MGST3	69461	0.984103821	70583	1
chr1	165704293	165847755	TMCO1	136974	0.954775481	143462	1
chr1	167410640	167538610	CD247	109686	0.857122763	127970	1
chr1	167789386	167934215	ADCY10	140209	0.968100311	144829	1
chr1	168260877	168334426	TBX19	72488	0.985574243	73549	1
chr1	169085697	169152722	ATP1B1	55952	0.834792988	67025	1
chr1	169112531	169387948	NME7	246106	0.893575923	258120	0.93719705
chr1	169443909	169505944	SLC19A2	60286	0.971806238	62035	1
chr1	169491953	169606588	F5	112414	0.980625463	114635	1
chr1	169568849	169650193	SELP	80433	0.988800649	81344	1
chr1	169670665	169731702	SELL	60276	0.987532153	61037	1
chr1	169702640	169784705	SELE	79028	0.96299275	82065	1
chr1	170512129	170573446	GORAB	60394	0.984947078	61317	1
chr1	170642728	170759421	PRRX1	114247	0.979039017	116693	1
chr1	171070901	171137819	FMO3	64653	0.966152605	66918	1
chr1	171228471	171305978	FMO1	76930	0.992555511	77507	1
chr1	171294183	171362084	FMO4	67461	0.993519978	67901	1
chr1	171615417	171672688	MYOC	55526	0.969530827	57271	1
chr1	172512349	172631833	SUCO	114628	0.959358575	119484	1
chr1	172639103	172686876	FASLG	47561	0.995562347	47773	1
chr1	173163731	173227331	TNFSF4	63190	0.993553459	63600	1
chr1	173804653	173878808	DARS2	71801	0.968255681	74155	1
chr1	173883804	173937378	SERPINC1	52381	0.977731736	53574	1
chr1	173911214	174042297	RC3H1	126604	0.965830809	131083	1
chr1	175295194	175763616	TNR	462670	0.987720474	468422	1
chr1	179079330	179249684	ABL2	162612	0.954553459	170354	1
chr1	179530539	179595952	NPHS2	64777	0.990277162	65413	1
chr1	180210264	180298984	LHX4	86313	0.972869702	88720	1
chr1	180249653	180522954	ACBD6	268849	0.983710268	273301	1
chr1	181013425	181081938	MR1	66279	0.967393049	68513	1
chr1	181297690	181828084	CACNA1E	526027	0.991766498	530394	1
chr1	182361704	182412206	GLUL	49782	0.985743139	50502	1
chr1	182553634	182609256	RNASEL	54885	0.986749847	55622	1
chr1	182769293	182850384	NPL	80221	0.989271312	81091	1
chr1	183166238	183265127	LAMC2	97091	0.981817998	98889	1
chr1	183535563	183610876	NCF2	74239	0.985739514	75313	1
chr1	185714391	186210949	HMCN1	491335	0.989481591	496558	1
chr1	186276279	186334562	PRG4	55065	0.944786644	58283	1
chr1	186291652	186395693	TPR	100709	0.967974164	104041	1
chr1	186651791	186700423	PTGS2	47800	0.982891923	48632	1
chr1	186808949	187008981	PLA2G4A	195113	0.975408935	200032	1
chr1	192789039	192832275	RGS2	42698	0.987556666	43236	1
chr1	193101958	193274815	CDC73	167994	0.971866919	172857	1
chr1	193158730	193206613	B3GALT2	45410	0.948353278	47883	1
chr1	196631878	196767504	CFH	130475	0.962020557	90696	0.668721337
chr1	196754795	196815406	CFHR3	53885	0.889030044	0	0
chr1	196799757	196852189	CFHR1	44648	0.851541044	0	0
chr1	196868014	196938713	CFHR4	69812	0.987453854	62798	0.88824453
chr1	196957556	197029674	CFHR5	71126	0.986244766	72118	1
chr1	197018741	197087267	F13B	67489	0.984867058	68526	1
chr1	197064127	197166694	ASPM	101309	0.987734846	102567	1
chr1	197133680	197220542	ZBTB41	85260	0.981556952	86862	1
chr1	197248204	197498455	CRB1	238762	0.954090094	250251	1
chr1	198618457	198777476	PTPRC	139399	0.876618517	159019	1
chr1	200719558	200880704	CAMSAP2	153587	0.953092227	161146	1
chr1	201019512	201132451	CACNA1S	111391	0.986293486	112939	1
chr1	201263452	201352993	PKP1	88933	0.993209814	89541	1
chr1	201339008	201397764	TNNT2	57956	0.986384369	58756	1
chr1	201987945	202037183	ELF3	45838	0.930947642	49238	1
chr1	202570596	202730454	SYT2	154298	0.965219132	159858	1
chr1	203158931	203206704	CHI3L1	47444	0.993113265	47773	1
chr1	203192827	203293641	CHIT1	99057	0.982571865	100814	1
chr1	203320628	203371758	FMOD	49944	0.976804225	51130	1
chr1	203474153	203528949	OPTC	52455	0.957277903	54796	1
chr1	203606561	203764081	ATP2B4	146046	0.927158456	157520	1
chr1	203841599	203891152	SNRPE	46884	0.946138478	49553	1
chr1	204134819	204210324	REN	72615	0.961724389	75505	1
chr1	204170341	204216491	KISS1	43684	0.946565547	46150	1
chr1	204496379	204578120	MDM4	79305	0.970198554	81741	1
chr1	205577556	205651962	ELK4	72557	0.975149854	74406	1
chr1	205637851	205700509	SLC45A3	60893	0.971831211	62658	1
chr1	205747986	205795482	RAB29	45789	0.964060131	47496	1
chr1	205769094	205833748	SLC41A1	63607	0.983806106	64654	1
chr1	205893048	205963460	SLC26A9	68526	0.973214793	70412	1
chr1	206183345	206484443	SRGAP2	281870	0.936140393	301098	1
chr1	206487531	206609448	RASSF5	117808	0.966296743	121917	1
chr1	206747602	206794541	IL10	44446	0.946888515	46939	1
chr1	206908522	206966466	PIGR	55508	0.957959409	57944	1
chr1	207301376	207406804	CD55	91054	0.863660508	101899	0.966526919
chr1	207434230	207509895	CR2	70817	0.935928104	50398	0.666067535
chr1	207476147	207661765	CR1	152773	0.823050566	69618	0.375060608
chr1	207732057	207815513	CD46	82187	0.984794383	83456	1
chr1	209594870	209672425	LAMB3	77019	0.993088776	77555	1
chr1	209666178	209754949	HSD11B1	87827	0.989365897	88771	1
chr1	209765617	209826175	IRF6	57758	0.953763334	60558	1
chr1	209880923	210191389	SYT14	305887	0.985251203	310466	1
chr1	211456522	211512917	RD3	52749	0.935348878	56395	1
chr1	212810141	212867649	SPATA45	54105	0.940825624	57508	1
chr1	212838275	212919363	FLVCR1	74761	0.921973658	81088	1
chr1	213963181	214061510	PROX1	97339	0.98993176	98329	1
chr1	214328700	214572449	PTPN14	238611	0.978920939	243749	1
chr1	215602891	216443448	USH2A	829297	0.986604121	840557	1
chr1	218325336	218464619	TGFB2	136941	0.983185313	139283	1
chr1	219665427	219978647	SLC30A10	297385	0.94944448	313220	1
chr1	220128293	220292453	RAB3GAP2	161133	0.981560673	164160	1
chr1	220859431	220905059	HLX	45034	0.986981678	45628	1
chr1	222852271	223025995	DISP1	170435	0.981067671	173724	1
chr1	223089404	223163248	TLR5	72732	0.984941227	73844	1
chr1	225381502	225448925	LBR	64784	0.960859054	67423	1
chr1	225790092	225865563	EPHX1	68276	0.904665368	75471	1
chr1	225916598	225961383	LEFTY2	43513	0.971597633	44785	1
chr1	226041851	226092007	H3F3A	48640	0.969774304	50156	1
chr1	226340691	226428093	PARP1	85824	0.981945493	87402	1
chr1	226850184	226916105	PSEN2	65337	0.991140911	65921	1
chr1	228129930	228179826	GJC2	48533	0.972683181	49896	1
chr1	228404845	228445325	HIST3H3	38183	0.943255929	40480	1
chr1	229411245	229454098	ACTA1	41492	0.968240263	42853	1
chr1	230037990	230302122	GALNT2	260546	0.986423455	264132	1
chr1	230622481	230713982	COG2	90481	0.988852581	91501	1
chr1	230682523	230734122	AGT	50965	0.98771294	51599	1
chr1	231221207	231297973	GNPAT	74437	0.969661048	76766	1
chr1	231343751	231442287	EGLN1	95864	0.972883007	98536	1
chr1	231606815	232061272	DISC1	444886	0.978939702	453308	0.997471708
chr1	235111634	235348219	ARID4B	231213	0.977293573	236585	1
chr1	235347360	235472443	TBCE	115252	0.921404188	125083	1
chr1	235427190	235524452	B3GALNT2	94007	0.966533693	97262	1
chr1	235641041	235903640	LYST	249885	0.951583974	262599	1
chr1	236328257	236522915	EDARADD	178978	0.919448469	194658	1
chr1	236644141	236784631	ACTN2	131364	0.93504164	140490	1
chr1	236775292	236941278	MTR	162486	0.978913884	165986	1
chr1	237022184	237853988	RYR2	808532	0.972022255	831804	1
chr1	239366565	239935452	CHRM3	558118	0.981070054	568887	1
chr1	239994348	240495187	FMN2	482567	0.963517218	500839	1
chr1	240755515	241377230	RGS7	605148	0.973352742	621715	1
chr1	241477603	241539761	FH	60584	0.974677435	62158	1
chr1	241827967	241915148	EXO1	85483	0.980523279	87181	1
chr1	243236034	243520091	SDCCAG8	269154	0.947535178	284057	1
chr1	243468233	243871079	AKT3	392174	0.973508487	402846	1
chr1	244028939	244077476	ZBTB18	47583	0.980344892	48537	1
