Gene stable ID	Gene start (bp)	Chromosome/scaffold name	Gene end (bp)	Gene name
ENSG00000272455	1409096	1	1410618	AL391244.2
ENSG00000235098	1418420	1	1421769	ANKRD65
ENSG00000225905	1420245	1	1422691	AL391244.1
ENSG00000205116	1426128	1	1427787	TMEM88B
ENSG00000225285	1430539	1	1434573	LINC01770
ENSG00000179403	1434861	1	1442882	VWA1
ENSG00000215915	1449689	1	1470163	ATAD3C
ENSG00000160072	1471765	1	1497848	ATAD3B
ENSG00000284740	1503250	1	1509452	AL645728.2
ENSG00000197785	1512162	1	1534685	ATAD3A
ENSG00000205090	1534778	1	1540624	TMEM240
ENSG00000160075	1541673	1	1574863	SSU72
ENSG00000215014	1574102	1	1577075	AL645728.1
ENSG00000274481	1583510	1	1583909	AL691432.3
ENSG00000228594	1598012	1	1600135	FNDC10
ENSG00000286989	1600314	1	1602703	AL691432.4
ENSG00000272106	1613758	1	1615795	AL691432.2
ENSG00000197530	1615415	1	1630610	MIB2
ENSG00000189409	1632163	1	1635263	MMP23B
ENSG00000248333	1635227	1	1659012	CDK11B
ENSG00000272004	1659325	1	1662602	FO704657.1
ENSG00000189339	1659529	1	1692795	SLC35E2B
ENSG00000269737	1671990	1	1674397	AL691432.1
ENSG00000215914	1699942	1	1701782	MMP23A
ENSG00000008128	1702379	1	1724357	CDK11A
ENSG00000268575	1702736	1	1737688	AL031282.2
ENSG00000227775	1724512	1	1737251	AL031282.1
ENSG00000215790	1724838	1	1745999	SLC35E2A
ENSG00000008130	1751232	1	1780457	NADK
ENSG00000078369	1785285	1	1891117	GNB1
ENSG00000231050	1891471	1	1892658	AL109917.1
ENSG00000169885	1915108	1	1917296	CALML6
ENSG00000178821	1917590	1	1919279	TMEM52
ENSG00000142609	1921951	1	2003837	CFAP74
ENSG00000233542	2013213	1	2015639	AL391845.2
ENSG00000187730	2019329	1	2030758	GABRD
ENSG00000226969	2049203	1	2050070	AL391845.1
ENSG00000067606	2050411	1	2185395	PRKCZ
ENSG00000271806	2141084	1	2145279	AL590822.2
ENSG00000182873	2181794	1	2184389	PRKCZ-AS1
ENSG00000162585	2184461	1	2212720	FAAP20
ENSG00000234396	2212523	1	2220738	AL590822.1
ENSG00000157933	2228319	1	2310213	SKI
ENSG00000287356	2315040	1	2323085	AL590822.3
ENSG00000116151	2321253	1	2391707	MORN1
ENSG00000272161	2326201	1	2326693	AL589739.1
ENSG00000269896	2350414	1	2352820	AL513477.1
ENSG00000272420	2363061	1	2363628	AL513477.2
ENSG00000157916	2391775	1	2405442	RER1
ENSG00000157911	2403964	1	2413797	PEX10
ENSG00000149527	2425980	1	2505532	PLCH2
ENSG00000224387	2492300	1	2493258	AL139246.1
ENSG00000229393	2493437	1	2494479	AL139246.4
ENSG00000157881	2508537	1	2526597	PANK4
ENSG00000197921	2528745	1	2530263	HES5
ENSG00000272449	2530064	1	2547460	AL139246.5
ENSG00000238164	2549920	1	2557031	TNFRSF14-AS1
ENSG00000157873	2555639	1	2565382	TNFRSF14
ENSG00000225931	2566410	1	2569888	AL139246.2
ENSG00000228037	2581560	1	2584533	AL139246.3
ENSG00000157870	2586491	1	2591469	PRXL2B
ENSG00000142606	2590639	1	2633016	MMEL1
ENSG00000237058	2632568	1	2636620	MMEL1-AS1
ENSG00000215912	2635976	1	2801717	TTC34
ENSG00000285945	2768091	1	2784733	AC242022.2
ENSG00000283259	2773603	1	2776473	AC242022.1
ENSG00000233234	2811850	1	2812692	AL592464.2
ENSG00000287396	2814056	1	2817767	AL592464.3
ENSG00000231630	2814432	1	2814998	AL592464.1
ENSG00000284745	2960658	1	2968707	AL589702.1
ENSG00000169717	3021467	1	3022903	ACTRT2
ENSG00000177133	3059615	1	3068437	PRDM16-DT
ENSG00000142611	3069168	1	3438621	PRDM16
ENSG00000283572	3127975	1	3128035	MIR4251
ENSG00000226286	3132927	1	3133709	AL008733.1
ENSG00000279839	3205988	1	3208664	AL512383.1
ENSG00000272235	3306636	1	3310096	AL590438.1
ENSG00000287828	3313052	1	3323149	AL354743.2
ENSG00000286518	3367815	1	3373928	AL354743.1
ENSG00000130762	3454665	1	3481113	ARHGEF16
ENSG00000272088	3487246	1	3487627	AL512413.1
ENSG00000162591	3487951	1	3611508	MEGF6
ENSG00000207776	3560695	1	3560790	MIR551A
ENSG00000238260	3623190	1	3624743	AL513320.1
ENSG00000158109	3625015	1	3630127	TPRG1L
ENSG00000116213	3630767	1	3652761	WRAP73
ENSG00000078900	3652516	1	3736201	TP73
ENSG00000227589	3658938	1	3668772	AL136528.1
ENSG00000235131	3712200	1	3714298	AL136528.2
ENSG00000227372	3735511	1	3747373	TP73-AS1
ENSG00000276189	3736943	1	3737103	AL136528.3
ENSG00000162592	3746460	1	3771645	CCDC27
ENSG00000235169	3772655	1	3775982	SMIM1
ENSG00000130764	3778559	1	3796498	LRRC47
ENSG00000266075	3782815	1	3783111	RN7SL574P
ENSG00000272153	3785008	1	3785538	AL365330.1
ENSG00000116198	3812086	1	3857214	CEP104
ENSG00000169598	3857267	1	3885429	DFFB
ENSG00000198912	3889125	1	3900293	C1orf174
ENSG00000236423	3900352	1	3917225	LINC01134
ENSG00000233304	3940486	1	3955262	LINC01346
ENSG00000226374	3944547	1	3949024	LINC01345
ENSG00000284668	3976133	1	4012704	LINC02780
ENSG00000284703	4012921	1	4019508	AL805961.1
ENSG00000229280	4175528	1	4175899	EEF1DP6
ENSG00000235054	4412027	1	4424689	LINC01777
ENSG00000284694	4479131	1	4484375	AL355602.1
ENSG00000227169	4551735	1	4552145	Z98747.1
ENSG00000232596	4571481	1	4594016	LINC01646
ENSG00000196581	4654609	1	4792534	AJAP1
ENSG00000287586	4730211	1	4734992	Z98886.1
ENSG00000284739	4963954	1	4973298	BX005132.1
ENSG00000284674	4973381	1	4981568	LINC02781
ENSG00000231510	5086459	1	5090899	LINC02782
ENSG00000284616	5301928	1	5307394	AL139823.1
ENSG00000284692	5478736	1	5493057	Z98259.3
ENSG00000284666	5480787	1	5482028	Z98259.2
ENSG00000260972	5492978	1	5494674	Z98259.1
ENSG00000283356	5554747	1	5554881	Z97988.2
ENSG00000236948	5561709	1	5668295	AL365255.1
ENSG00000264341	5564071	1	5564143	Z97988.1
ENSG00000264101	5862672	1	5862741	MIR4689
ENSG00000131697	5862811	1	5992473	NPHP4
ENSG00000069424	5990927	1	6101193	KCNAB2
ENSG00000116254	6101787	1	6180321	CHD5
ENSG00000285629	6159430	1	6197757	AL031847.2
ENSG00000116251	6185020	1	6209389	RPL22
ENSG00000226944	6204840	1	6205780	AL031847.1
ENSG00000158286	6205475	1	6221299	RNF207
ENSG00000116237	6221193	1	6235972	ICMT
ENSG00000225077	6234692	1	6239444	LINC00337
ENSG00000173673	6244179	1	6245578	HES3
ENSG00000158292	6247353	1	6261098	GPR153
ENSG00000097021	6264269	1	6394391	ACOT7
ENSG00000271746	6393555	1	6394391	AL031848.2
ENSG00000069812	6412418	1	6424670	HES2
ENSG00000187017	6424776	1	6461367	ESPN
ENSG00000265392	6429834	1	6429896	MIR4252
ENSG00000231868	6443034	1	6447006	AL031848.1
ENSG00000215788	6460786	1	6466195	TNFRSF25
ENSG00000171680	6466092	1	6520061	PLEKHG5
ENSG00000162408	6521347	1	6554513	NOL9
ENSG00000253022	6540854	1	6540964	RNU6-731P
ENSG00000229519	6547905	1	6548619	AL591866.1
ENSG00000173662	6555307	1	6579755	TAS1R1
ENSG00000204859	6579994	1	6589280	ZBTB48
ENSG00000162413	6590724	1	6614607	KLHL21
ENSG00000116273	6613731	1	6624030	PHF13
ENSG00000041988	6624866	1	6635586	THAP3
ENSG00000007923	6634168	1	6701924	DNAJC11
ENSG00000228750	6724637	1	6730012	LINC01672
ENSG00000284744	6767954	1	6770038	AL591163.1
ENSG00000237436	6783892	1	6784843	CAMTA1-DT
ENSG00000171735	6785454	1	7769706	CAMTA1
ENSG00000227950	6834333	1	6834618	AL590128.1
ENSG00000237365	7008376	1	7014279	AL512330.1
ENSG00000207056	7219360	1	7219524	RNU1-8P
ENSG00000237402	7368942	1	7370270	CAMTA1-IT1
ENSG00000237728	7382487	1	7389754	CAMTA1-AS2
ENSG00000225126	7441096	1	7441554	CAMTA1-AS1
ENSG00000270171	7693124	1	7694844	AL359881.3
ENSG00000270035	7698303	1	7698872	AL359881.2
ENSG00000269978	7700704	1	7700970	AL359881.1
ENSG00000049245	7771296	1	7781432	VAMP3
ENSG00000269925	7776383	1	7776775	Z98884.2
ENSG00000049246	7784320	1	7845177	PER3
ENSG00000236266	7810242	1	7827342	Z98884.1
ENSG00000049247	7843083	1	7853512	UTS2
ENSG00000049249	7915871	1	7943165	TNFRSF9
ENSG00000270330	7942372	1	7942726	AL009183.1
ENSG00000116288	7954291	1	7985505	PARK7
ENSG00000200344	7982881	1	7982983	AL034417.1
ENSG00000284747	7991134	1	8005312	AL034417.5
ENSG00000284716	7998187	1	7999934	AL034417.4
ENSG00000116285	8004404	1	8026309	ERRFI1
ENSG00000238290	8026738	1	8122702	AL034417.3
ENSG00000232848	8057245	1	8058463	AL034417.2
ENSG00000229305	8189824	1	8192770	AL358876.1
ENSG00000227634	8201518	1	8215210	LINC01714
ENSG00000200975	8206434	1	8206597	RNU1-7P
ENSG00000233645	8218190	1	8220529	AL358876.2
ENSG00000251977	8292157	1	8292263	RNU6-991P
ENSG00000162426	8317826	1	8344167	SLC45A1
ENSG00000252254	8328067	1	8328179	AL356072.1
ENSG00000142599	8352397	1	8848921	RERE
ENSG00000232912	8424645	1	8435013	RERE-AS1
ENSG00000221083	8511795	1	8511919	AL096855.1
ENSG00000270282	8512653	1	8513021	AL096855.2
ENSG00000234619	8750430	1	8751087	RPL7P11
ENSG00000224315	8786211	1	8786913	RPL7P7
ENSG00000222511	8796571	1	8796673	AL357552.1
ENSG00000226545	8798475	1	8799506	AL357552.2
ENSG00000228423	8805860	1	8807051	AL357552.3
ENSG00000229716	8831007	1	8831375	RPL23AP19
ENSG00000074800	8861000	1	8879190	ENO1
ENSG00000274258	8866502	1	8866590	MIR6728
ENSG00000230679	8878835	1	8879894	ENO1-AS1
ENSG00000201725	8883427	1	8883533	RNU6-304P
ENSG00000238249	8893409	1	8894151	HMGN2P17
ENSG00000232208	8907393	1	8907744	AL139415.1
ENSG00000232663	8909742	1	8909904	AL139415.2
ENSG00000131686	8945867	1	8975092	CA6
ENSG00000265141	8979576	1	8979874	RN7SL451P
ENSG00000197241	9003300	1	9026345	SLC2A7
ENSG00000142583	9035106	1	9088478	SLC2A5
ENSG00000252404	9082696	1	9082879	AL158048.1
ENSG00000180758	9100305	1	9129102	GPR157
ENSG00000228526	9148011	1	9198906	MIR34AHG
ENSG00000284357	9151668	1	9151777	MIR34A
ENSG00000234546	9182004	1	9196284	LNCTAM34A
ENSG00000049239	9234774	1	9271337	H6PD
ENSG00000171621	9292894	1	9369532	SPSB1
ENSG00000284652	9421098	1	9422862	BX323043.1
ENSG00000284693	9425094	1	9440564	LINC02606
ENSG00000252956	9437669	1	9437778	RNA5SP40
ENSG00000235263	9501092	1	9503471	AL928921.1
ENSG00000171612	9539465	1	9585173	SLC25A33
ENSG00000231181	9576427	1	9576985	AL954705.1
ENSG00000188807	9588911	1	9614877	TMEM201
ENSG00000171608	9651731	1	9729114	PIK3CD
ENSG00000179840	9652610	1	9654586	PIK3CD-AS1
ENSG00000233268	9660828	1	9662626	AL691449.1
ENSG00000231789	9672426	1	9687555	PIK3CD-AS2
ENSG00000171603	9728926	1	9823984	CLSTN1
ENSG00000271264	9780822	1	9781240	MZT1P1
ENSG00000280113	9826289	1	9828271	AL357140.3
ENSG00000178585	9848276	1	9910336	CTNNBIP1
ENSG00000223989	9848318	1	9850154	AL357140.1
ENSG00000285701	9900614	1	9908034	AL357140.4
ENSG00000162441	9922113	1	9943407	LZIC
ENSG00000228150	9942923	1	9949974	AL357140.2
ENSG00000173614	9943428	1	9985501	NMNAT1
ENSG00000202415	9947318	1	9947636	RN7SKP269
ENSG00000283611	9950572	1	9960787	TMEM274P
ENSG00000265521	9967381	1	9967458	MIR5697
ENSG00000241326	9983141	1	9984568	AL603962.1
ENSG00000162444	9997206	1	10016021	RBP7
ENSG00000130939	10032832	1	10181239	UBE4B
ENSG00000224340	10054445	1	10054781	AL590639.1
ENSG00000233623	10058671	1	10059648	PGAM1P11
ENSG00000201746	10163268	1	10163374	RNU6-828P
ENSG00000054523	10210805	1	10381603	KIF1B
ENSG00000264881	10227718	1	10227803	AL358013.1
ENSG00000199562	10298966	1	10299072	RNU6-37P
ENSG00000264501	10306465	1	10306757	RN7SL731P
ENSG00000284735	10381906	1	10387150	AL139424.3
ENSG00000284642	10395416	1	10397432	AL139424.2
ENSG00000142657	10398592	1	10420511	PGD
ENSG00000271989	10429881	1	10430677	AL139424.1
ENSG00000251503	10430102	1	10452153	CENPS-CORT
ENSG00000175279	10430433	1	10442808	CENPS
ENSG00000241563	10450031	1	10451998	CORT
ENSG00000160049	10456522	1	10472529	DFFA
ENSG00000203469	10458555	1	10459338	AL354956.1
ENSG00000142655	10472288	1	10630758	PEX14
ENSG00000287727	10612222	1	10616452	AL139423.2
ENSG00000243267	10616836	1	10617115	RN7SL614P
ENSG00000130940	10636604	1	10796650	CASZ1
ENSG00000272078	10639241	1	10654333	AL139423.1
ENSG00000225158	10895761	1	10895998	HSPE1P24
ENSG00000175262	10946471	1	10982037	C1orf127
ENSG00000215785	10990978	1	10991797	CFL1P6
ENSG00000120948	11012344	1	11025739	TARDBP
ENSG00000277726	11012662	1	11030528	AL109811.3
ENSG00000009724	11026523	1	11047239	MASP2
ENSG00000271895	11029659	1	11030528	AL109811.2
ENSG00000116649	11054584	1	11060020	SRM
ENSG00000171824	11066618	1	11099869	EXOSC10
ENSG00000226849	11068471	1	11073097	AL109811.1
ENSG00000230337	11099675	1	11102100	EXOSC10-AS1
ENSG00000198793	11106535	1	11262551	MTOR
ENSG00000225602	11143898	1	11149537	MTOR-AS1
ENSG00000253086	11152350	1	11152452	RNU6-537P
ENSG00000171819	11189355	1	11195981	ANGPTL7
ENSG00000207451	11226254	1	11226360	RNU6-291P
ENSG00000238173	11232963	1	11233112	RPL39P6
ENSG00000120942	11273206	1	11296049	UBIAD1
ENSG00000238199	11278616	1	11279351	UBE2V2P3
ENSG00000284646	11311734	1	11319093	AL031291.1
ENSG00000224338	11425257	1	11425821	MTCYBP45
ENSG00000204624	11479155	1	11537551	DISP3
ENSG00000285833	11500803	1	11502016	AL590989.1
ENSG00000235643	11609468	1	11613358	LINC01647
ENSG00000284708	11623558	1	11643416	AL031731.1
ENSG00000116661	11637018	1	11655785	FBXO2
ENSG00000132879	11654375	1	11663327	FBXO44
ENSG00000116663	11664200	1	11674354	FBXO6
ENSG00000116670	11674480	1	11691650	MAD2L2
ENSG00000162490	11691710	1	11725857	DRAXIN
ENSG00000177674	11736084	1	11754802	AGTRAP
ENSG00000215910	11761787	1	11789585	C1orf167
ENSG00000177553	11777077	1	11779619	C1orf167-AS1
ENSG00000177000	11785723	1	11806455	MTHFR
ENSG00000011021	11806096	1	11848079	CLCN6
ENSG00000276470	11843812	1	11843984	AL021155.2
ENSG00000278852	11845549	1	11845697	AL021155.3
ENSG00000175206	11845709	1	11848345	NPPA
ENSG00000275915	11847442	1	11847549	AL021155.1
ENSG00000120937	11857464	1	11858945	NPPB
ENSG00000224904	11877770	1	11880406	SBF1P2
ENSG00000285646	11907940	1	11914298	AL021155.4
ENSG00000199347	11908152	1	11908271	RNU5E-1
ENSG00000201801	11909808	1	11909927	RNU5E-4P
ENSG00000116685	11919591	1	11926428	KIAA2013
ENSG00000083444	11934205	1	11975538	PLOD1
ENSG00000287384	11979533	1	11980127	AL096840.3
ENSG00000116688	11980181	1	12013514	MFN2
ENSG00000270914	12017216	1	12017308	AL096840.2
ENSG00000116691	12019466	1	12032045	MIIP
ENSG00000202461	12024012	1	12024124	AL096840.1
ENSG00000276869	12029158	1	12029222	MIR6729
ENSG00000243539	12036740	1	12037014	RN7SL649P
ENSG00000120949	12063303	1	12144207	TNFRSF8
ENSG00000201135	12077881	1	12077984	RNU6-777P
ENSG00000227875	12080293	1	12080547	RPL23AP89
ENSG00000285604	12088441	1	12092264	AL357835.1
ENSG00000283789	12166943	1	12167038	MIR7846
ENSG00000028137	12166991	1	12209228	TNFRSF1B
ENSG00000263676	12191713	1	12191773	MIR4632
ENSG00000225196	12220794	1	12221109	RPL10P17
ENSG00000252969	12221148	1	12221271	AL031276.1
ENSG00000048707	12230030	1	12512047	VPS13D
ENSG00000239149	12507246	1	12507397	SNORA59A
ENSG00000229484	12527724	1	12528420	LINC02766
ENSG00000162496	12567910	1	12618210	DHRS3
ENSG00000221340	12569972	1	12570072	RNU6ATAC18P
ENSG00000276830	12578957	1	12579023	MIR6730
ENSG00000272482	12618900	1	12619244	AC254633.1
ENSG00000204518	12644547	1	12667086	AADACL4
ENSG00000226166	12692909	1	12693020	AC244670.1
ENSG00000188984	12716110	1	12728760	AADACL3
ENSG00000157330	12746200	1	12763699	C1orf158
ENSG00000116726	12774841	1	12777906	PRAMEF12
ENSG00000116721	12791397	1	12796628	PRAMEF1
ENSG00000228338	12822686	1	12823159	LINC01784
ENSG00000239810	12824605	1	12831410	PRAMEF11
ENSG00000231103	12838125	1	12841357	PRAMEF30P
ENSG00000179172	12847377	1	12848720	HNRNPCL1
ENSG00000120952	12857086	1	12861909	PRAMEF2
ENSG00000243073	12879212	1	12886201	PRAMEF4
ENSG00000187545	12892896	1	12898270	PRAMEF10
ENSG00000204510	12916610	1	12920482	PRAMEF7
ENSG00000207434	12922554	1	12922660	RNU6-1072P
ENSG00000234064	12926162	1	12928253	PRAMEF29P
ENSG00000232423	12938472	1	12947580	PRAMEF6
ENSG00000274178	13029339	1	13032130	PRAMEF28P
ENSG00000274764	13049476	1	13056491	PRAMEF27
ENSG00000277058	13060869	1	13062229	HNRNPCL3
ENSG00000229571	13068677	1	13077884	PRAMEF25
ENSG00000277862	13095179	1	13097971	PRAMEF34P
ENSG00000236179	13104403	1	13105689	PRAMEF35P
ENSG00000275774	13115488	1	13116854	HNRNPCL2
ENSG00000229978	13128818	1	13131615	PRAMEF36P
ENSG00000233336	13146981	1	13147460	AC245056.1
ENSG00000280267	13148905	1	13155961	PRAMEF26
ENSG00000179412	13163914	1	13165631	HNRNPCL4
ENSG00000204505	13172455	1	13179464	PRAMEF9
ENSG00000279169	13196188	1	13201409	PRAMEF13
ENSG00000279804	13222705	1	13226106	PRAMEF18
ENSG00000250894	13245863	1	13248652	PRAMEF31P
ENSG00000270601	13254212	1	13263314	PRAMEF5
ENSG00000231219	13273539	1	13275627	PRAMEF32P
ENSG00000207511	13279125	1	13279231	RNU6-771P
ENSG00000182330	13281035	1	13285174	PRAMEF8
ENSG00000237700	13303539	1	13308907	PRAMEF33
ENSG00000204501	13315581	1	13322598	PRAMEF15
ENSG00000228229	13324039	1	13324518	AC243961.1
ENSG00000204481	13341892	1	13347134	PRAMEF14
ENSG00000204480	13369067	1	13371900	PRAMEF19
ENSG00000204479	13389632	1	13392629	PRAMEF17
ENSG00000204478	13410450	1	13421328	PRAMEF20
ENSG00000162494	13474973	1	13514003	LRRC38
ENSG00000259961	13513220	1	13516270	AL354712.1
ENSG00000215909	13555001	1	13555694	BRWD1P1
ENSG00000162493	13583465	1	13617957	PDPN
ENSG00000222952	13623184	1	13623284	RNA5SP41
ENSG00000237445	13657311	1	13659910	AL359771.1
ENSG00000253085	13696070	1	13696199	AL359771.2
ENSG00000116731	13700198	1	13825079	PRDM2
ENSG00000189337	13892792	1	15118043	KAZN
ENSG00000252151	14124233	1	14124335	RNU6-1265P
ENSG00000231606	14221887	1	14304445	AL357873.1
ENSG00000234593	14338825	1	14419973	KAZN-AS1
ENSG00000235829	14692129	1	14692613	TBCAP2
ENSG00000287756	14774469	1	14777727	AL031293.1
ENSG00000175147	15111815	1	15153618	TMEM51-AS1
ENSG00000171729	15152532	1	15220478	TMEM51
ENSG00000204464	15164344	1	15171317	C1orf195
ENSG00000215720	15191828	1	15192845	MFFP1
ENSG00000278480	15226373	1	15227549	ZBTB2P1
ENSG00000142621	15247272	1	15400283	FHAD1
ENSG00000233485	15326680	1	15343876	FHAD1-AS1
ENSG00000236045	15334166	1	15335464	AL031283.2
ENSG00000228140	15402979	1	15409433	AL031283.1
ENSG00000142634	15409888	1	15430339	EFHD2
ENSG00000162438	15438442	1	15449242	CTRC
ENSG00000142615	15456728	1	15472091	CELA2A
ENSG00000215704	15465909	1	15491395	CELA2B
ENSG00000132906	15490832	1	15526534	CASP9
ENSG00000116138	15526813	1	15592379	DNAJC16
ENSG00000251866	15542165	1	15542304	SCARNA21B
ENSG00000272510	15565611	1	15565956	AL121992.3
ENSG00000116771	15571699	1	15585051	AGMAT
ENSG00000237301	15586136	1	15603626	AL121992.1
ENSG00000235084	15604597	1	15605043	CHCHD2P6
ENSG00000252417	15608078	1	15608145	RNU7-179P
ENSG00000236500	15614643	1	15614867	CD24P1
ENSG00000197312	15617458	1	15669044	DDI2
ENSG00000215695	15659869	1	15661722	RSC1A1
ENSG00000271742	15682873	1	15683128	AL121992.2
ENSG00000116786	15684320	1	15734769	PLEKHM2
ENSG00000237938	15720312	1	15736896	AL450998.3
ENSG00000162461	15736258	1	15741392	SLC25A34
ENSG00000224459	15740051	1	15749896	SLC25A34-AS1
ENSG00000162460	15742499	1	15747982	TMEM82
ENSG00000162458	15756607	1	15786594	FBLIM1
ENSG00000224321	15792796	1	15793285	RPL12P14
ENSG00000233954	15807169	1	15809348	UQCRHL
ENSG00000178715	15828232	1	15828669	AL450998.1
ENSG00000179743	15834474	1	15848147	AL450998.2
ENSG00000065526	15836095	1	15940456	SPEN
ENSG00000270620	15917698	1	15917908	AL034555.1
ENSG00000116809	15941869	1	15976132	ZBTB17
ENSG00000234607	15969632	1	15970194	AL355994.4
ENSG00000231353	15988182	1	15988441	AL355994.1
ENSG00000275503	15989140	1	15989375	AL355994.5
ENSG00000224966	15989871	1	15994751	TBC1D3P6
ENSG00000183888	16004236	1	16008807	SRARP
ENSG00000233078	16006160	1	16006671	AL355994.3
ENSG00000173641	16014028	1	16019594	HSPB7
ENSG00000186510	16018875	1	16034050	CLCNKA
