gene	mandelker	cosmic	high_priority	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_dip.bed	fraction_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	bp_overlap_w_AllRepeats_gt_10kb	fraction_gene_overlap_w_AllRepeats_gt_10kb	bp_overlap_w_refn	fraction_gene_overlap_w_refn	bp_overlap_w_GIAB_expanded_by_150_Tier1andTier2_SV_0.6	fraction_overlap_w_GIAB_expanded_by_150_Tier1andTier2_SV_0.6	bp_overlap_w_intersect_Illumina_CCS_ONT_CNV_v4.2.1	fraction_overlap_w_intersect_Illumina_CCS_ONT_CNV_v4.2.1	bp_overlap_w_union_CCS_and_ONT_outlier_CNV_v4.2.1	fraction_overlap_w_union_CCS_and_ONT_outlier_CNV_v4.2.1	bp_overlap_w_Assembly_CNV	fraction_overlap_w_Assembly_CNV	bp_overlap_w_vdj	fraction_overlap_w_vdj	bp_overlap_inversions	fraction_overlap_inversions	bp_overlap_w_segdups_w_count_gt_5_and_percent_identity_gte_990	fraction_overlap_w_segdups_w_count_gt_5_and_percent_identity_gte_990	bp_segdups	fraction_segdups	bp_lowmapandsegdups	fraction_lowmapandsegdups	num_MRG_SVs_gt_49bp_in_SV_benchmark_bed_in_gene	num_MRG_SVs_gt_49bp_in_SV_benchmark_bed_in_gene_in_exons	num_MRG_variants_in_benchmark_in_gene	num_MRG_variants_in_benchmark_in_gene_in_exons	num_v4.2.1_variants_in_benchmark_in_gene	num_v4.2.1_variants_in_benchmark_in_gene_in_exons
TP73	yes	no	no	76863	0.918480014	123685	1	chr1	3652516	3736201	3632516	3756201	5441	0.981598412	0	0	0	0	0	0	0	0	3650	0.043615941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1414	0.016896696	0	0	0	0	157	6
NPHP4	yes	no	no	125670	0.96921226	169662	1	chr1	5862811	5992473	5842811	6012473	4925	1	0	0	0	0	0	0	0	0	2518	0.019419722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1366	0.010535084	0	0	0	0	144	2
KCNAB2	yes	no	no	102464	0.929243829	150266	1	chr1	5990927	6101193	5970927	6121193	6113	0.965413771	0	0	0	0	0	0	0	0	4596	0.041681026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830	0.007527252	0	0	0	0	158	14
RPL22	no	yes	no	21580	0.885551315	64369	1	chr1	6185020	6209389	6165020	6229389	2035	0.989304813	23268	0.954819648	2057	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1790	0.073453978	2133	0.087529238	0	0	24	0	21	0
ESPN	yes	no	yes	15642	0.427482168	76591	1	chr1	6424776	6461367	6404776	6481367	1656	0.469121813	34588	0.945259763	3485	0.987252125	0	0	0	0	19791	0.540870706	0	0	0	0	0	0	0	0	0	0	0	0	31757	0.867891011	31757	0.867891011	0	0	5	1	3	1
PLEKHG5	yes	no	no	52561	0.973910949	112401	1	chr1	6466092	6520061	6427660	6540061	5867	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0.008671645	0	0	0	0	71	3
TAS1R1	yes	no	no	23452	0.959260471	64448	1	chr1	6555307	6579755	6535307	6599755	2758	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	904	0.03697644	0	0	0	0	57	1
CAMTA1	yes	yes	no	940190	0.955233009	1023892	0.999648524	chr1	6785454	7769706	6765454	7789706	8683	0.976935194	0	0	0	0	0	0	0	0	17341	0.017618455	0	0	2000	0.002032	0	0	0	0	0	0	0	0	0	0	18792	0.019092671	0	0	0	0	1582	5
TNFRSF9	yes	no	no	26850	0.983732689	67294	1	chr1	7915871	7943165	7895871	7963165	5882	0.982954545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0.004396571	0	0	0	0	15	1
PARK7	yes	no	no	29623	0.949029282	71214	1	chr1	7954291	7985505	7934291	8005505	1345	0.999257058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0.011821619	0	0	0	0	31	1
ERRFI1	yes	no	no	21519	0.982378452	61905	1	chr1	8004404	8026309	7984404	8046309	3093	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1
H6PD	yes	no	no	34589	0.946010995	76563	1	chr1	9234774	9271337	9214774	9291337	9067	0.97327179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0.007138364	0	0	0	0	60	21
PIK3CD	yes	no	no	74256	0.959590608	117383	1	chr1	9651731	9729114	9631731	9749114	5254	0.975129918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1969	0.025444865	2953	0.038160836	0	0	0	0	56	1
NMNAT1	yes	no	no	39072	0.928671595	82073	1	chr1	9943428	9985501	9923428	10005501	4184	0.976201587	0	0	0	0	0	0	0	0	921	0.021890524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1237	0.029401279	0	0	0	0	46	3
KIF1B	yes	no	no	165978	0.971779529	210798	1	chr1	10210805	10381603	10190805	10401603	12399	0.997024767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2070	0.01211958	0	0	0	0	22	0
PEX14	yes	no	yes	153356	0.967728908	198470	1	chr1	10472288	10630758	10452288	10650758	1913	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	0.005685619	0	0	0	0	234	0
TARDBP	yes	no	no	12583	0.939380366	53395	1	chr1	11012344	11025739	10992344	11045739	4183	0.98772137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1919	0.143262411	2140	0.159761105	0	0	0	0	21	1
MASP2	yes	no	no	15324	0.739718092	60716	1	chr1	11026523	11047239	11006523	11067239	2452	0.943439785	18189	0.878016992	2599	1	0	0	0	0	3492	0.16856536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0.02457038	0	0	39	3	28	3
MTOR	no	yes	no	150885	0.967112347	196016	1	chr1	11106535	11262551	11086535	11282551	8663	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5187	0.03324659	0	0	0	0	127	4
UBIAD1	yes	no	no	22195	0.971632448	62843	1	chr1	11273206	11296049	11253206	11316049	3935	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0.005909907	0	0	0	0	2	0
MTHFR	yes	no	yes	20194	0.974049778	60732	1	chr1	11785723	11806455	11765723	11826455	8336	0.987443734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.45E-04	0	0	0	0	31	13
NPPA	yes	no	no	1874	0.710925645	42636	1	chr1	11845709	11848345	11825709	11868345	759	0.89084507	2636	1	852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0.026176024	0	0	14	4	3	3
PLOD1	yes	no	no	39553	0.956935137	81333	1	chr1	11934205	11975538	11914205	11995538	2957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0.009798466	0	0	0	0	75	3
MFN2	yes	no	no	31903	0.957099571	73333	1	chr1	11980181	12013514	11960181	12033514	4656	0.999785269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1289	0.038670387	0	0	0	0	63	5
TNFRSF1B	yes	no	no	40506	0.959016976	82237	1	chr1	12166991	12209228	12146991	12229228	3677	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0.003882852	0	0	0	0	27	7
PRDM2	no	yes	no	122842	0.983672456	164881	1	chr1	13700198	13825079	13680198	13845079	9626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	0.009304858	0	0	0	0	171	17
CTRC	yes	no	yes	10134	0.938333333	39287	0.72763136	chr1	15438442	15449242	15418442	15472435	2808	0.808290155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0.015555556	0	0	0	0	12	0
CASP9	no	yes	no	33318	0.933225029	76165	0.823503336	chr1	15490832	15526534	15454045	15546534	3074	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0.026189009	1610	0.045095513	0	0	0	0	86	3
RSC1A1	yes	no	no	1853	1	41853	1	chr1	15659869	15661722	15639869	15681722	1853	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEN	no	yes	no	101269	0.970372074	144361	1	chr1	15836095	15940456	15816095	15960456	12292	0.993694422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0.009141346	0	0	0	0	50	0
HSPB7	yes	no	no	5566	1	46554	1	chr1	16014028	16019594	15994028	16040582	3364	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	18
CLCNKA	yes	no	no	14987	0.987611203	64215	1	chr1	16018875	16034050	15998875	16063090	2563	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13613	0.897067545	13613	0.897067545	0	0	0	0	35	8
CLCNKB	yes	no	no	12615	0.929487179	56871	1	chr1	16043736	16057308	16020437	16077308	2727	0.94918204	0	0	0	0	0	0	0	0	302	0.022251695	0	0	0	0	0	0	0	0	0	0	0	0	13572	1	13572	1	0	0	0	0	75	14
EPHA2	yes	no	no	30802	0.970692046	71732	1	chr1	16124337	16156069	16104337	16176069	3929	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0.014338838	0	0	0	0	32	6
SPATA21	yes	no	no	47858	0.951318902	90307	1	chr1	16387117	16437424	16367117	16457424	2346	1	0	0	0	0	0	0	0	0	345	0.006857893	0	0	0	0	0	0	0	0	0	0	0	0	2789	0.055439601	3121	0.06203908	0	0	0	0	102	6
ATP13A2	yes	no	no	25142	0.968117058	65970	1	chr1	16985958	17011928	16965958	17031928	3967	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0.013053523	0	0	0	0	21	1
SDHB	yes	yes	yes	34691	0.982469555	75310	1	chr1	17018722	17054032	16998722	17074032	1007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0.003596715	0	0	0	0	87	1
PADI4	yes	no	no	50087	0.897471734	95767	0.999561628	chr1	17308195	17364004	17288195	17384004	2179	0.968014216	0	0	0	0	0	0	0	0	2541	0.045530291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0.011449766	0	0	0	0	197	6
ARHGEF10L	no	yes	no	155414	0.982538438	198176	1	chr1	17539698	17697874	17519698	17717874	4596	1	0	0	0	0	0	0	0	0	518	0.003274833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587	0.003711056	0	0	0	0	170	4
PAX7	yes	yes	no	114557	0.970657516	158020	1	chr1	18630846	18748866	18610846	18768866	6368	0.985148515	0	0	0	0	0	0	0	0	1066	0.009032367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0.00102525	0	0	0	0	188	5
ALDH4A1	yes	no	yes	30994	0.990413498	71294	1	chr1	18871430	18902724	18851430	18922724	3297	0.992773261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0.006199271	0	0	0	0	42	9
AKR7A2	yes	no	no	8181	1	53538	1	chr1	19303965	19312146	19278608	19332146	1355	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0.025424765	0	0	0	0	10	0
PLA2G2A	yes	no	no	4985	1	44985	1	chr1	19975431	19980416	19955431	20000416	1023	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
PLA2G5	yes	no	no	63074	0.989675516	103732	1	chr1	20028179	20091911	20008179	20111911	1913	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	0.010810896	0	0	0	0	92	1
CDA	yes	no	no	28238	0.947043633	69817	1	chr1	20589086	20618903	20569086	20638903	805	1	0	0	0	0	0	0	0	0	319	0.010698595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1091	0.036589865	0	0	0	0	73	3
PINK1	yes	no	no	17402	0.963939511	58053	1	chr1	20633458	20651511	20613458	20671511	2649	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0.01218634	0	0	0	0	47	5
DDOST	yes	no	no	9651	0.987112611	49777	1	chr1	20651767	20661544	20631767	20681544	2115	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0.001125089	0	0	0	0	19	5
ECE1	yes	no	no	124836	0.972811222	168325	1	chr1	21217247	21345572	21197247	21365572	5497	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	0.00482369	0	0	0	0	142	3
ALPL	yes	no	yes	66946	0.970049121	109013	1	chr1	21509397	21578410	21489397	21598410	2673	1	0	0	0	0	0	0	0	0	857	0.01241795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	0.011765899	0	0	0	0	175	6
HSPG2	yes	no	no	112490	0.977612848	155066	1	chr1	21822244	21937310	21802244	21957310	14223	0.998525695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	0.009316392	0	0	0	0	111	10
CDC42	yes	no	no	71733	0.945734288	154006	1	chr1	22025511	22101360	21967354	22121360	12285	0.961267606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	0.085881159	7442	0.098115994	0	0	0	0	171	13
WNT4	yes	no	no	26393	0.990133553	66656	1	chr1	22117313	22143969	22097313	22163969	3846	0.970476911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0.00247599	0	0	0	0	31	7
ZBTB40	yes	no	no	100772	0.984880618	142319	1	chr1	22428838	22531157	22408838	22551157	8973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0.006108347	0	0	0	0	142	11
C1QA	yes	no	no	3050	1	43050	1	chr1	22636628	22639678	22616628	22659678	1118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
C1QC	yes	no	no	4373	0.976770159	44477	1	chr1	22643633	22648110	22623633	22668110	1225	0.921745673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2
C1QB	yes	no	yes	8143	0.917521127	48875	1	chr1	22652762	22661637	22632762	22681637	1041	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1
EPHB2	yes	no	no	208006	0.987396813	250661	1	chr1	22710839	22921500	22690839	22941500	10896	1	0	0	0	0	0	0	0	0	554	0.002629818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0.002625071	0	0	0	0	380	6
ID3	yes	yes	no	1575	1	41575	1	chr1	23557926	23559501	23537926	23579501	947	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
MDS2	no	yes	no	54592	0.924144702	99073	1	chr1	23581495	23640568	23561495	23660568	NA	NA	0	0	NA	NA	0	0	0	0	342	0.005789447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795	0.013457925	0	NA	0	NA	63	NA
RPL11	yes	no	no	4990	0.979776163	45093	1	chr1	23691742	23696835	23671742	23716835	1075	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4
GALE	yes	no	no	4977	0.960439985	45182	1	chr1	23795599	23800781	23775599	23820781	1481	0.974983542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGCL	yes	no	yes	25277	0.688090377	76735	1	chr1	23801885	23838620	23781885	23858620	1561	1	34462	0.938124405	1561	1	0	0	0	0	1940	0.052810671	0	0	0	0	10330	0.281203212	0	0	0	0	0	0	0	0	1254	0.034136382	0	0	62	2	33	2
FUCA1	yes	no	no	22029	0.948830598	63217	1	chr1	23845077	23868294	23825077	23888294	2039	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2214	0.095361158	0	0	0	0	35	1
CNR2	yes	no	no	38872	0.907228044	82847	1	chr1	23870515	23913362	23850515	23933362	5040	0.957628729	40407	0.943053189	5194	0.986889607	0	0	0	0	900	0.021004971	0	0	0	0	0	0	0	0	0	0	0	0	2142	0.049991831	2494	0.058207109	1	0	280	40	250	39
RUNX3	yes	no	no	64802	0.987684804	105610	1	chr1	24899511	24965121	24879511	24985121	4257	0.976600138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0.001295534	0	0	0	0	64	2
RHD	yes	no	no	53289	0.91795287	98052	1	chr1	25272393	25330445	25252393	25350445	2852	0.951935915	0	0	0	0	0	0	0	0	691	0.011903121	0	0	0	0	0	0	0	0	0	0	0	0	58052	1	58052	1	0	0	0	0	41	4
RHCE	yes	no	yes	50080	0.737088442	107943	1	chr1	25362249	25430192	25342249	25450192	1071	0.686098655	67312	0.990712803	1561	1	0	0	0	0	15476	0.227779168	0	0	0	0	0	0	0	0	0	0	0	0	62906	0.925864327	62909	0.925908482	1	0	148	5	13	0
LDLRAP1	yes	no	no	25115	0.993473101	65280	1	chr1	25543606	25568886	25523606	25588886	2905	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4
STMN1	yes	no	no	22350	0.979833406	62810	1	chr1	25884181	25906991	25864181	25926991	2476	0.991589908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0.004515563	0	0	0	0	19	1
EXTL1	yes	no	no	16323	0.984499397	56580	1	chr1	26019884	26036464	25999884	26056464	4009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.81E-04	0	0	0	0	21	8
SLC30A2	yes	no	no	8737	0.985450034	48866	1	chr1	26037252	26046118	26017252	26066118	3215	0.991977785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0.002819761	0	0	0	0	14	5
DHDDS	yes	no	yes	37882	0.970735957	79024	1	chr1	26432282	26471306	26412282	26491306	3180	0.968921389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0.010685732	0	0	0	0	27	2
ARID1A	yes	yes	no	84922	0.955597065	128868	1	chr1	26693236	26782104	26673236	26802104	8279	0.96548105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0.007494261	0	0	0	0	19	1
PIGV	yes	no	no	12284	0.902903344	53605	1	chr1	26787054	26800659	26767054	26820659	5382	0.981042654	12908	0.948768835	5486	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0.021095186	0	0	1	1	0	0
NUDC	yes	no	no	45431	0.974224262	86633	1	chr1	26900238	26946871	26880238	26966871	1783	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	0.019814295	0	0	0	0	3	0
NR0B2	yes	no	no	2486	1	42486	1	chr1	26911489	26913975	26891489	26933975	1163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN3	yes	no	no	5582	0.977240896	45712	1	chr1	27369112	27374824	27349112	27394824	1022	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
PTAFR	yes	no	no	45039	0.962989096	86770	1	chr1	28147166	28193936	28127166	28213936	4102	0.975505351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0.010840282	0	0	0	0	20	1
SESN2	yes	no	no	21875	0.952204762	62973	1	chr1	28259518	28282491	28239518	28302491	3452	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0.011404692	0	0	0	0	19	1
EPB41	yes	no	no	223392	0.958949153	272955	1	chr1	28887091	29120046	28867091	29140046	6367	1	0	0	0	0	0	0	0	0	903	0.003876285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2751	0.011809148	0	0	0	0	238	5
CCDC28B	yes	no	no	4890	0.977804439	45001	1	chr1	32200386	32205387	32180386	32225387	1657	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCK	yes	yes	no	31621	0.905371357	74926	1	chr1	32251239	32286165	32231239	32306165	2193	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0.004352059	0	0	0	0	10	0
AK2	yes	no	no	69337	0.949093846	113056	1	chr1	33007940	33080996	32987940	33100996	5936	0.983106989	0	0	0	0	0	0	0	0	2604	0.03564389	0	0	0	0	0	0	0	0	0	0	0	0	2515	0.034425646	3996	0.054697766	0	0	0	0	8	0
AZIN2	yes	no	no	41893	0.988322167	82388	1	chr1	33081104	33123492	33061104	33143492	5288	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0.007926772	0	0	0	0	9	1
GJB4	yes	no	no	2587	1	42587	1	chr1	34759740	34762327	34739740	34782327	1442	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GJB3	yes	no	yes	5155	1	45155	1	chr1	34781214	34786369	34761214	34806369	2359	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5
DLGAP3	yes	no	no	63405	0.987401501	104214	1	chr1	34865436	34929650	34845436	34949650	3909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0.00383094	0	0	0	0	55	0
SFPQ	no	yes	no	16767	1	56767	1	chr1	35176378	35193145	35156378	35213145	3730	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0.002147075	0	0	0	0	1	0
