gene	ref	chrom	start	end	mandelker	cosmic	high_priority	ClinGen	CPIC	Counsyl	ACMG	HTD	NCCN_ESMO	ACOG
CCDC28B	GRCh37	1	32665987	32670988	yes	no	no	0	0	0	0	0	0	0
LCK	GRCh37	1	32716840	32751766	yes	yes	no	0	0	0	0	0	0	0
YARS	GRCh37	1	33240840	33283754	yes	no	yes	1	0	0	0	0	0	0
AK2	GRCh37	1	33473585	33546597	yes	no	no	0	0	0	0	0	0	0
GJB4	GRCh37	1	35225342	35229325	yes	no	no	0	0	0	0	0	0	0
GJB3	GRCh37	1	35246790	35251970	yes	no	yes	1	0	0	0	0	0	0
DLGAP3	GRCh37	1	35331037	35395186	yes	no	no	0	0	0	0	0	0	0
SFPQ	GRCh37	1	35641979	35658749	no	yes	no	0	0	0	0	0	0	0
AGO1	GRCh37	1	36335409	36395211	yes	no	no	0	0	0	0	0	0	0
TEKT2	GRCh37	1	36549676	36553876	yes	no	no	0	0	0	0	0	0	0
COL8A2	GRCh37	1	36560837	36590821	yes	no	no	0	0	0	0	0	0	0
THRAP3	GRCh37	1	36690017	36770958	no	yes	no	0	0	0	0	0	0	0
CSF3R	GRCh37	1	36931644	36948879	yes	yes	no	0	0	0	0	0	0	0
SNIP1	GRCh37	1	38000050	38019903	yes	no	no	0	0	0	0	0	0	0
RSPO1	GRCh37	1	38076951	38100595	yes	no	no	0	0	0	0	0	0	0
INPP5B	GRCh37	1	38326369	38412729	yes	no	no	0	0	0	0	0	0	0
NDUFS5	GRCh37	1	39491990	39500308	yes	no	no	0	0	0	0	0	0	0
MYCL	GRCh37	1	40361098	40367928	yes	yes	no	0	0	0	0	0	0	0
PPT1	GRCh37	1	40538379	40563375	yes	no	yes	0	0	1	0	0	0	0
ZMPSTE24	GRCh37	1	40723779	40759856	yes	no	no	0	0	0	0	0	0	0
COL9A2	GRCh37	1	40766159	40783488	yes	no	no	0	0	0	0	0	0	0
ZFP69	GRCh37	1	40942887	40962015	yes	no	no	0	0	0	0	0	0	0
RIMS3	GRCh37	1	41086351	41131329	yes	no	no	0	0	0	0	0	0	0
KCNQ4	GRCh37	1	41249684	41306124	yes	no	yes	1	0	0	0	0	0	0
CLDN19	GRCh37	1	43198764	43205925	yes	no	no	0	0	0	0	0	0	0
LEPRE1	GRCh37	1	43212006	43232755	yes	no	no	0	0	0	0	0	0	0
ERMAP	GRCh37	1	43282795	43310660	yes	no	no	0	0	0	0	0	0	0
SLC2A1	GRCh37	1	43391052	43424530	yes	no	yes	1	0	0	0	0	0	0
MPL	GRCh37	1	43803478	43818443	yes	yes	yes	0	0	1	0	0	0	0
ST3GAL3	GRCh37	1	44171495	44396831	yes	no	yes	1	0	0	0	0	0	0
B4GALT2	GRCh37	1	44444615	44456840	yes	no	no	0	0	0	0	0	0	0
SLC6A9	GRCh37	1	44457172	44497139	yes	no	no	0	0	0	0	0	0	0
PTCH2	GRCh37	1	45285516	45308735	yes	no	no	0	0	0	0	0	0	0
EIF2B3	GRCh37	1	45316450	45452282	yes	no	no	0	0	0	0	0	0	0
UROD	GRCh37	1	45477819	45481247	yes	no	no	0	0	0	0	0	0	0
MUTYH	GRCh37	1	45794835	45806142	yes	yes	yes	2	0	0	1	0	1	0
MMACHC	GRCh37	1	45965725	45976739	yes	no	yes	1	0	1	0	0	0	0
POMGNT1	GRCh37	1	46654354	46685977	yes	no	yes	1	0	1	0	0	0	0
RAD54L	GRCh37	1	46713360	46744145	yes	no	no	0	0	0	0	0	0	0
FAAH	GRCh37	1	46859937	46879520	yes	no	no	0	0	0	0	0	0	0
CYP4A22	GRCh37	1	47603107	47615413	yes	no	no	0	0	0	0	0	0	0
TAL1	GRCh37	1	47681962	47697892	yes	yes	no	0	0	0	0	0	0	0
STIL	GRCh37	1	47715811	47779819	yes	yes	no	0	0	0	0	0	0	0
CMPK1	GRCh37	1	47799469	47844511	yes	no	no	0	0	0	0	0	0	0
FOXE3	GRCh37	1	47881744	47883723	yes	no	yes	1	0	0	0	0	0	0
AGBL4	GRCh37	1	48998527	50489585	yes	no	no	0	0	0	0	0	0	0
CDKN2C	GRCh37	1	51426417	51440305	yes	yes	no	0	0	0	0	0	0	0
RNF11	GRCh37	1	51701943	51739127	yes	no	no	0	0	0	0	0	0	0
EPS15	GRCh37	1	51819935	51985000	no	yes	no	0	0	0	0	0	0	0
ORC1	GRCh37	1	52838501	52870131	yes	no	no	0	0	0	0	0	0	0
SCP2	GRCh37	1	53392901	53517375	yes	no	no	0	0	0	0	0	0	0
CPT2	GRCh37	1	53662101	53679869	yes	no	yes	1	0	1	0	0	0	0
LRP8	GRCh37	1	53711217	53793742	yes	no	no	0	0	0	0	0	0	0
DHCR24	GRCh37	1	55315306	55352891	yes	no	no	0	0	0	0	0	0	0
BSND	GRCh37	1	55464606	55476556	yes	no	yes	1	0	0	0	0	0	0
PCSK9	GRCh37	1	55505221	55530525	yes	no	yes	1	0	0	1	0	0	0
C8A	GRCh37	1	57320479	57383894	yes	no	no	0	0	0	0	0	0	0
C8B	GRCh37	1	57394883	57431813	yes	no	no	0	0	0	0	0	0	0
TACSTD2	GRCh37	1	59041099	59043166	yes	no	no	0	0	0	0	0	0	0
JUN	GRCh37	1	59246465	59249785	yes	yes	no	0	0	0	0	0	0	0
CYP2J2	GRCh37	1	60358980	60392462	yes	no	no	0	0	0	0	0	0	0
NFIA	GRCh37	1	61330931	61928465	yes	no	no	0	0	0	0	0	0	0
USP1	GRCh37	1	62901968	62917475	yes	no	no	0	0	0	0	0	0	0
DOCK7	GRCh37	1	62920399	63153969	yes	no	no	0	0	0	0	0	0	0
ANGPTL3	GRCh37	1	63063158	63071830	yes	no	no	0	0	0	0	0	0	0
FOXD3	GRCh37	1	63788730	63790797	yes	no	no	0	0	0	0	0	0	0
ALG6	GRCh37	1	63833261	63904233	yes	no	yes	0	0	1	0	0	0	0
PGM1	GRCh37	1	64058947	64125916	yes	no	no	0	0	0	0	0	0	0
JAK1	GRCh37	1	65298912	65432187	no	yes	no	0	0	0	0	0	0	0
DNAJC6	GRCh37	1	65713902	65881552	yes	no	no	0	0	0	0	0	0	0
LEPR	GRCh37	1	65886248	66107242	yes	no	no	0	0	0	0	0	0	0
PDE4B	GRCh37	1	66258197	66840259	yes	no	no	0	0	0	0	0	0	0
SLC35D1	GRCh37	1	67465015	67519782	yes	no	no	0	0	0	0	0	0	0
IL23R	GRCh37	1	67632083	67725662	yes	no	no	0	0	0	0	0	0	0
IL12RB2	GRCh37	1	67773047	67862583	yes	no	no	0	0	0	0	0	0	0
GADD45A	GRCh37	1	68150744	68154021	yes	no	no	0	0	0	0	0	0	0
DIRAS3	GRCh37	1	68511645	68517314	yes	no	no	0	0	0	0	0	0	0
RPE65	GRCh37	1	68894505	68915642	yes	no	yes	2	0	1	0	0	0	0
CTH	GRCh37	1	70876901	70905534	yes	no	yes	1	0	0	0	0	0	0
NEGR1	GRCh37	1	71861623	72748417	yes	no	no	0	0	0	0	0	0	0
TNNI3K	GRCh37	1	74663947	75010112	yes	no	no	0	0	0	0	0	0	0
LHX8	GRCh37	1	75594119	75627218	yes	no	no	0	0	0	0	0	0	0
ACADM	GRCh37	1	76190036	76253260	yes	no	yes	1	0	1	0	0	0	0
ST6GALNAC3	GRCh37	1	76540404	77100286	yes	no	no	0	0	0	0	0	0	0
ST6GALNAC5	GRCh37	1	77333126	77531396	yes	no	no	0	0	0	0	0	0	0
NEXN	GRCh37	1	78354198	78409580	yes	no	yes	1	0	0	0	0	0	0
FUBP1	GRCh37	1	78409740	78444794	no	yes	no	0	0	0	0	0	0	0
PTGFR	GRCh37	1	78769568	79005434	no	no	yes	0	1	0	0	0	0	0
UOX	GRCh37	1	84831111	84863514	yes	no	no	0	0	0	0	0	0	0
BCL10	GRCh37	1	85731931	85742773	yes	yes	no	0	0	0	0	0	0	0
CYR61	GRCh37	1	86046444	86049645	yes	no	no	0	0	0	0	0	0	0
LMO4	GRCh37	1	87794151	87814606	yes	no	no	0	0	0	0	0	0	0
ZNF644	GRCh37	1	91380859	91487829	yes	no	no	0	0	0	0	0	0	0
TGFBR3	GRCh37	1	92145902	92371892	yes	no	no	0	0	0	0	0	0	0
GLMN	GRCh37	1	92711959	92764544	yes	no	no	0	0	0	0	0	0	0
GFI1	GRCh37	1	92940319	92952433	yes	no	no	0	0	0	0	0	0	0
EVI5	GRCh37	1	92974253	93257961	yes	no	no	0	0	0	0	0	0	0
RPL5	GRCh37	1	93297582	93307481	yes	yes	no	0	0	0	0	0	0	0
GCLM	GRCh37	1	94350761	94374966	yes	no	no	0	0	0	0	0	0	0
ABCA4	GRCh37	1	94458393	94586688	yes	no	no	0	0	0	0	0	0	0
ABCD3	GRCh37	1	94883933	94984222	yes	no	no	0	0	0	0	0	0	0
DPYD	GRCh37	1	97543299	98386605	yes	no	yes	0	3	1	0	0	0	0
DPYD-AS1	GRCh37	1	97561479	97788511	yes	no	no	0	0	0	0	0	0	0
AGL	GRCh37	1	100315640	100389579	yes	no	yes	0	0	1	0	0	0	0
SLC35A3	GRCh37	1	100435345	100492535	yes	no	yes	0	0	1	0	0	0	0
DBT	GRCh37	1	100652475	100715390	yes	no	yes	1	0	1	0	0	0	0
CDC14A	GRCh37	1	100810584	100985833	no	no	yes	1	0	0	0	0	0	0
VCAM1	GRCh37	1	101185298	101204601	yes	no	no	0	0	0	0	0	0	0
EXTL2	GRCh37	1	101337943	101361554	yes	no	no	0	0	0	0	0	0	0
COL11A1	GRCh37	1	103342023	103574052	yes	no	no	0	0	0	0	0	0	0
NTNG1	GRCh37	1	107682629	108026080	yes	no	no	0	0	0	0	0	0	0
GPSM2	GRCh37	1	109417972	109477167	yes	no	yes	1	0	0	0	0	0	0
CELSR2	GRCh37	1	109792641	109818372	yes	no	no	0	0	0	0	0	0	0
SORT1	GRCh37	1	109852192	109940573	yes	no	no	0	0	0	0	0	0	0
GNAI3	GRCh37	1	110091233	110136975	yes	no	no	0	0	0	0	0	0	0
GNAT2	GRCh37	1	110145889	110155679	yes	no	no	0	0	0	0	0	0	0
GSTM1	GRCh37	1	110230436	110251661	yes	no	yes	0	2	0	0	0	0	0
GSTM3	GRCh37	1	110276554	110284384	yes	no	no	0	0	0	0	0	0	0
CSF1	GRCh37	1	110452864	110473614	yes	no	no	0	0	0	0	0	0	0
ALX3	GRCh37	1	110602616	110613322	yes	no	no	0	0	0	0	0	0	0
RBM15	GRCh37	1	110881128	110889299	yes	yes	no	0	0	0	0	0	0	0
PROK1	GRCh37	1	110993822	110999976	yes	no	no	0	0	0	0	0	0	0
KCNA2	GRCh37	1	111136202	111174096	no	no	yes	1	0	0	0	0	0	0
KCND3	GRCh37	1	112313284	112531777	yes	no	no	0	0	0	0	0	0	0
SLC16A1	GRCh37	1	113454469	113499635	yes	no	no	0	0	0	0	0	0	0
LRIG2	GRCh37	1	113615831	113674882	yes	no	no	0	0	0	0	0	0	0
PTPN22	GRCh37	1	114356433	114414381	yes	no	no	0	0	0	0	0	0	0
AP4B1	GRCh37	1	114437370	114447823	yes	no	no	0	0	0	0	0	0	0
TRIM33	GRCh37	1	114935399	115053781	yes	yes	no	0	0	0	0	0	0	0
AMPD1	GRCh37	1	115215719	115238239	yes	no	no	0	0	0	0	0	0	0
NRAS	GRCh37	1	115247090	115259515	yes	yes	yes	1	0	0	0	0	0	0
CSDE1	GRCh37	1	115259534	115301297	yes	no	no	0	0	0	0	0	0	0
TSHB	GRCh37	1	115572415	115576941	yes	no	no	0	0	0	0	0	0	0
NGF	GRCh37	1	115828539	115880857	yes	no	no	0	0	0	0	0	0	0
VANGL1	GRCh37	1	116184574	116240845	yes	no	no	0	0	0	0	0	0	0
CASQ2	GRCh37	1	116242628	116311402	yes	no	no	0	0	0	0	0	0	0
ATP1A1	GRCh37	1	116915290	116952883	no	yes	no	0	0	0	0	0	0	0
MAN1A2	GRCh37	1	117910071	118071494	yes	no	no	0	0	0	0	0	0	0
SPAG17	GRCh37	1	118496484	118727846	yes	no	no	0	0	0	0	0	0	0
TBX15	GRCh37	1	119425669	119532179	yes	no	no	0	0	0	0	0	0	0
HSD3B2	GRCh37	1	119957554	119965658	yes	no	no	0	0	0	0	0	0	0
HSD3B1	GRCh37	1	120049821	120057681	yes	no	no	0	0	0	0	0	0	0
PHGDH	GRCh37	1	120202421	120286838	yes	no	yes	1	0	1	0	0	0	0
HMGCS2	GRCh37	1	120290619	120311528	yes	no	yes	1	0	0	0	0	0	0
NOTCH2	GRCh37	1	120454176	120612240	yes	yes	no	0	0	0	0	0	0	0
PDE4DIP	GRCh37	1	144836157	145076186	no	yes	no	0	0	0	0	0	0	0
HFE2	GRCh37	1	145413095	145417545	yes	no	no	0	0	0	0	0	0	0
TXNIP	GRCh37	1	145438469	145442635	yes	no	no	0	0	0	0	0	0	0
RBM8A	GRCh37	1	145507598	145513536	yes	no	yes	1	0	0	0	0	0	0
PEX11B	GRCh37	1	145516252	145523730	yes	no	yes	1	0	0	0	0	0	0
FMO5	GRCh37	1	146646930	146714700	yes	no	no	0	0	0	0	0	0	0
CHD1L	GRCh37	1	146714291	146767443	yes	no	no	0	0	0	0	0	0	0
BCL9	GRCh37	1	147013182	147098017	yes	yes	no	0	0	0	0	0	0	0
GJA5	GRCh37	1	147228332	147245484	yes	no	no	0	0	0	0	0	0	0
GJA8	GRCh37	1	147374946	147381393	yes	no	no	0	0	0	0	0	0	0
FCGR1A	GRCh37	1	149754227	149764074	yes	no	no	0	0	0	0	0	0	0
SF3B4	GRCh37	1	149895209	149900236	yes	no	no	0	0	0	0	0	0	0
VPS45	GRCh37	1	150039369	150117505	yes	no	no	0	0	0	0	0	0	0
PRPF3	GRCh37	1	150293925	150325671	yes	no	no	0	0	0	0	0	0	0
ECM1	GRCh37	1	150480538	150486265	yes	no	no	0	0	0	0	0	0	0
ADAMTSL4	GRCh37	1	150521884	150533413	yes	no	no	0	0	0	0	0	0	0
CTSK	GRCh37	1	150768684	150780799	yes	no	yes	0	0	1	0	0	0	0
ARNT	GRCh37	1	150782181	150849244	no	yes	no	0	0	0	0	0	0	0
SETDB1	GRCh37	1	150898739	150937213	no	yes	no	0	0	0	0	0	0	0
MLLT11	GRCh37	1	151030234	151040970	yes	yes	no	0	0	0	0	0	0	0
RFX5	GRCh37	1	151313116	151319833	yes	no	no	0	0	0	0	0	0	0
POGZ	GRCh37	1	151375200	151431941	yes	no	yes	1	0	0	0	0	0	0
FLG	GRCh37	1	152274651	152297679	yes	no	yes	0	0	0	0	1	0	0
LCE5A	GRCh37	1	152483320	152484653	yes	no	no	0	0	0	0	0	0	0
LCE3B	GRCh37	1	152586287	152586574	yes	no	no	0	0	0	0	0	0	0
LOR	GRCh37	1	153232176	153234598	yes	no	no	0	0	0	0	0	0	0
S100A7	GRCh37	1	153430220	153433177	no	yes	no	0	0	0	0	0	0	0
GATAD2B	GRCh37	1	153777201	153895451	yes	no	no	0	0	0	0	0	0	0
TPM3	GRCh37	1	154127784	154167124	yes	yes	no	0	0	0	0	0	0	0
HAX1	GRCh37	1	154244987	154248351	yes	no	no	0	0	0	0	0	0	0
IL6R	GRCh37	1	154377669	154441926	yes	no	no	0	0	0	0	0	0	0
CHRNB2	GRCh37	1	154540257	154552502	yes	no	no	0	0	0	0	0	0	0
ADAR	GRCh37	1	154554538	154600475	yes	no	no	0	0	0	0	0	0	0
KCNN3	GRCh37	1	154669931	154842756	yes	no	no	0	0	0	0	0	0	0
FLAD1	GRCh37	1	154955814	154965587	no	no	yes	1	0	0	0	0	0	0
DPM3	GRCh37	1	155112367	155113071	yes	no	no	0	0	0	0	0	0	0
MUC1	GRCh37	1	155158300	155162707	no	yes	no	0	0	0	0	0	0	0
GBA	GRCh37	1	155204243	155214490	yes	no	yes	1	1	1	0	1	0	1
CLK2	GRCh37	1	155232659	155248282	yes	no	no	0	0	0	0	0	0	0
HCN3	GRCh37	1	155247374	155259639	yes	no	no	0	0	0	0	0	0	0
PKLR	GRCh37	1	155259630	155271225	yes	no	no	0	0	0	0	0	0	0
FDPS	GRCh37	1	155278539	155290457	no	no	yes	0	1	0	0	0	0	0
GON4L	GRCh37	1	155719508	155829191	yes	no	no	0	0	0	0	0	0	0
RIT1	GRCh37	1	155867599	155881195	no	no	yes	1	0	0	0	0	0	0
LAMTOR2	GRCh37	1	156024543	156028301	yes	no	no	0	0	0	0	0	0	0
RAB25	GRCh37	1	156030951	156040295	yes	no	no	0	0	0	0	0	0	0
LMNA	GRCh37	1	156052364	156109880	yes	yes	yes	0	0	0	1	0	0	0
SEMA4A	GRCh37	1	156117157	156147543	yes	no	no	0	0	0	0	0	0	0
IQGAP3	GRCh37	1	156495197	156542396	yes	no	no	0	0	0	0	0	0	0
BCAN	GRCh37	1	156611182	156629324	yes	no	no	0	0	0	0	0	0	0
PRCC	GRCh37	1	156720402	156770607	yes	yes	no	0	0	0	0	0	0	0
NTRK1	GRCh37	1	156785432	156851642	yes	yes	yes	0	0	1	0	0	0	0
FCRL4	GRCh37	1	157543539	157567870	no	yes	no	0	0	0	0	0	0	0
OR10X1	GRCh37	1	158548709	158549689	yes	no	no	0	0	0	0	0	0	0
SPTA1	GRCh37	1	158580496	158656488	yes	no	no	0	0	0	0	0	0	0
CRP	GRCh37	1	159682079	159684379	yes	no	no	0	0	0	0	0	0	0
SNORD64	GRCh37	1	159821696	159821762	yes	no	no	0	0	0	0	0	0	0
PIGM	GRCh37	1	159997462	160001783	yes	no	no	0	0	0	0	0	0	0
KCNJ10	GRCh37	1	160007257	160040038	yes	no	no	0	0	0	0	0	0	0
ATP1A2	GRCh37	1	160085549	160113381	yes	no	no	0	0	0	0	0	0	0
PEX19	GRCh37	1	160246602	160256138	yes	no	yes	1	0	0	0	0	0	0
NCSTN	GRCh37	1	160313062	160328742	yes	no	no	0	0	0	0	0	0	0
VANGL2	GRCh37	1	160370376	160398468	yes	no	no	0	0	0	0	0	0	0
CD244	GRCh37	1	160799950	160832692	yes	no	no	0	0	0	0	0	0	0
USF1	GRCh37	1	161009041	161015767	yes	no	no	0	0	0	0	0	0	0
PVRL4	GRCh37	1	161040785	161059389	yes	no	no	0	0	0	0	0	0	0
PPOX	GRCh37	1	161136200	161147803	yes	no	no	0	0	0	0	0	0	0
B4GALT3	GRCh37	1	161141100	161147287	yes	no	no	0	0	0	0	0	0	0
NDUFS2	GRCh37	1	161166894	161184185	yes	no	no	0	0	0	0	0	0	0
FCER1G	GRCh37	1	161185024	161190489	yes	no	no	0	0	0	0	0	0	0
APOA2	GRCh37	1	161192082	161193421	yes	no	no	0	0	0	0	0	0	0
NR1I3	GRCh37	1	161199456	161208092	yes	no	no	0	0	0	0	0	0	0
MPZ	GRCh37	1	161274525	161279762	yes	no	no	0	0	0	0	0	0	0
SDHC	GRCh37	1	161284047	161332984	yes	yes	yes	0	0	0	1	0	1	0
FCGR2A	GRCh37	1	161475220	161493803	yes	no	no	0	0	0	0	0	0	0
FCGR3A	GRCh37	1	161511549	161600917	yes	no	yes	0	2	0	0	0	0	0
FCGR2B	GRCh37	1	161551101	161648444	yes	yes	no	0	0	0	0	0	0	0
FCGR3B	GRCh37	1	161592986	161601753	yes	no	no	0	0	0	0	0	0	0
ATF6	GRCh37	1	161736084	161933860	yes	no	yes	1	0	0	0	0	0	0
NOS1AP	GRCh37	1	162039564	162353321	yes	no	no	0	0	0	0	0	0	0
DDR2	GRCh37	1	162601163	162757190	yes	yes	no	0	0	0	0	0	0	0
PBX1	GRCh37	1	164524821	164868533	yes	yes	no	0	0	0	0	0	0	0
MGST3	GRCh37	1	165600098	165631033	yes	no	no	0	0	0	0	0	0	0
TMCO1	GRCh37	1	165696032	165796992	yes	no	no	0	0	0	0	0	0	0
CD247	GRCh37	1	167399877	167487847	yes	no	no	0	0	0	0	0	0	0
ADCY10	GRCh37	1	167778625	167883453	yes	no	no	0	0	0	0	0	0	0
