gene	ref	coords	in_mrg	benchmark	region	cov	vars	svs
RPL22	GRCh37	1:6241329-6269449	TRUE	v4	gene	0.912019915	23	NA
RPL22	GRCh37	1:6241329-6269449	TRUE	v4	exon	0.989392478	0	NA
RPL22	GRCh37	1:6241329-6269449	TRUE	mrg	gene	0.972403983	26	0
RPL22	GRCh37	1:6241329-6269449	TRUE	mrg	exon	1	0	0
RPL22	GRCh37	1:6241329-6269449	TRUE	hifi	gene	1	NA	NA
ESPN	GRCh37	1:6484848-6521430	TRUE	v4	gene	0.428571429	3	NA
ESPN	GRCh37	1:6484848-6521430	TRUE	v4	exon	0.480102331	1	NA
ESPN	GRCh37	1:6484848-6521430	TRUE	mrg	gene	0.945136953	4	0
ESPN	GRCh37	1:6484848-6521430	TRUE	mrg	exon	1	1	0
ESPN	GRCh37	1:6484848-6521430	TRUE	hifi	gene	1	NA	NA
PLEKHG5	GRCh37	1:6526152-6580121	FALSE	v4	gene	0.97103893	71	NA
PLEKHG5	GRCh37	1:6526152-6580121	FALSE	v4	exon	0.98305372	3	NA
PLEKHG5	GRCh37	1:6526152-6580121	FALSE	mrg	gene	0	0	0
PLEKHG5	GRCh37	1:6526152-6580121	FALSE	mrg	exon	0	0	0
PLEKHG5	GRCh37	1:6526152-6580121	FALSE	hifi	gene	1	NA	NA
TAS1R1	GRCh37	1:6615241-6639817	FALSE	v4	gene	0.955281576	54	NA
TAS1R1	GRCh37	1:6615241-6639817	FALSE	v4	exon	1	1	NA
TAS1R1	GRCh37	1:6615241-6639817	FALSE	mrg	gene	0	0	0
TAS1R1	GRCh37	1:6615241-6639817	FALSE	mrg	exon	0	0	0
TAS1R1	GRCh37	1:6615241-6639817	FALSE	hifi	gene	1	NA	NA
CAMTA1	GRCh37	1:6845384-7829766	FALSE	v4	gene	0.956068884	1588	NA
CAMTA1	GRCh37	1:6845384-7829766	FALSE	v4	exon	0.976999888	6	NA
CAMTA1	GRCh37	1:6845384-7829766	FALSE	mrg	gene	0	0	0
CAMTA1	GRCh37	1:6845384-7829766	FALSE	mrg	exon	0	0	0
CAMTA1	GRCh37	1:6845384-7829766	FALSE	hifi	gene	0.999648569	NA	NA
TNFRSF9	GRCh37	1:7979907-8000926	FALSE	v4	gene	0.978448071	12	NA
TNFRSF9	GRCh37	1:7979907-8000926	FALSE	v4	exon	0.946736292	0	NA
TNFRSF9	GRCh37	1:7979907-8000926	FALSE	mrg	gene	0	0	0
TNFRSF9	GRCh37	1:7979907-8000926	FALSE	mrg	exon	0	0	0
TNFRSF9	GRCh37	1:7979907-8000926	FALSE	hifi	gene	1	NA	NA
PARK7	GRCh37	1:8014351-8045565	FALSE	v4	gene	0.948965208	31	NA
PARK7	GRCh37	1:8014351-8045565	FALSE	v4	exon	0.997818182	1	NA
PARK7	GRCh37	1:8014351-8045565	FALSE	mrg	gene	0	0	0
PARK7	GRCh37	1:8014351-8045565	FALSE	mrg	exon	0	0	0
PARK7	GRCh37	1:8014351-8045565	FALSE	hifi	gene	1	NA	NA
ERRFI1	GRCh37	1:8064464-8086368	FALSE	v4	gene	0.982377648	16	NA
ERRFI1	GRCh37	1:8064464-8086368	FALSE	v4	exon	1	1	NA
ERRFI1	GRCh37	1:8064464-8086368	FALSE	mrg	gene	0	0	0
ERRFI1	GRCh37	1:8064464-8086368	FALSE	mrg	exon	0	0	0
ERRFI1	GRCh37	1:8064464-8086368	FALSE	hifi	gene	1	NA	NA
H6PD	GRCh37	1:9294834-9331396	FALSE	v4	gene	0.968874788	64	NA
H6PD	GRCh37	1:9294834-9331396	FALSE	v4	exon	0.972760092	21	NA
H6PD	GRCh37	1:9294834-9331396	FALSE	mrg	gene	0	0	0
H6PD	GRCh37	1:9294834-9331396	FALSE	mrg	exon	0	0	0
H6PD	GRCh37	1:9294834-9331396	FALSE	hifi	gene	1	NA	NA
PIK3CD	GRCh37	1:9711790-9789172	FALSE	v4	gene	0.959150707	56	NA
PIK3CD	GRCh37	1:9711790-9789172	FALSE	v4	exon	0.974126279	1	NA
PIK3CD	GRCh37	1:9711790-9789172	FALSE	mrg	gene	0	0	0
PIK3CD	GRCh37	1:9711790-9789172	FALSE	mrg	exon	0	0	0
PIK3CD	GRCh37	1:9711790-9789172	FALSE	hifi	gene	1	NA	NA
NMNAT1	GRCh37	1:10003486-10045559	FALSE	v4	gene	0.929313336	46	NA
NMNAT1	GRCh37	1:10003486-10045559	FALSE	v4	exon	0.972987288	3	NA
NMNAT1	GRCh37	1:10003486-10045559	FALSE	mrg	gene	0	0	0
NMNAT1	GRCh37	1:10003486-10045559	FALSE	mrg	exon	0	0	0
NMNAT1	GRCh37	1:10003486-10045559	FALSE	hifi	gene	1	NA	NA
KIF1B	GRCh37	1:10270863-10441661	FALSE	v4	gene	0.97173269	22	NA
KIF1B	GRCh37	1:10270863-10441661	FALSE	v4	exon	0.995336121	0	NA
KIF1B	GRCh37	1:10270863-10441661	FALSE	mrg	gene	0	0	0
KIF1B	GRCh37	1:10270863-10441661	FALSE	mrg	exon	0	0	0
KIF1B	GRCh37	1:10270863-10441661	FALSE	hifi	gene	1	NA	NA
PEX14	GRCh37	1:10532345-10690815	FALSE	v4	gene	0.966782356	234	NA
PEX14	GRCh37	1:10532345-10690815	FALSE	v4	exon	1	0	NA
PEX14	GRCh37	1:10532345-10690815	FALSE	mrg	gene	0	0	0
PEX14	GRCh37	1:10532345-10690815	FALSE	mrg	exon	0	0	0
PEX14	GRCh37	1:10532345-10690815	FALSE	hifi	gene	1	NA	NA
TARDBP	GRCh37	1:11072414-11085796	FALSE	v4	gene	0.980346734	24	NA
TARDBP	GRCh37	1:11072414-11085796	FALSE	v4	exon	0.99051787	0	NA
TARDBP	GRCh37	1:11072414-11085796	FALSE	mrg	gene	0	0	0
TARDBP	GRCh37	1:11072414-11085796	FALSE	mrg	exon	0	0	0
TARDBP	GRCh37	1:11072414-11085796	FALSE	hifi	gene	1	NA	NA
MASP2	GRCh37	1:11086580-11107290	TRUE	v4	gene	0.736745534	27	NA
MASP2	GRCh37	1:11086580-11107290	TRUE	v4	exon	0.943308909	3	NA
MASP2	GRCh37	1:11086580-11107290	TRUE	mrg	gene	0.875567359	39	0
MASP2	GRCh37	1:11086580-11107290	TRUE	mrg	exon	1	3	0
MASP2	GRCh37	1:11086580-11107290	TRUE	hifi	gene	1	NA	NA
MTOR	GRCh37	1:11166592-11322564	FALSE	v4	gene	0.972110379	130	NA
MTOR	GRCh37	1:11166592-11322564	FALSE	v4	exon	1	3	NA
MTOR	GRCh37	1:11166592-11322564	FALSE	mrg	gene	0	0	0
MTOR	GRCh37	1:11166592-11322564	FALSE	mrg	exon	0	0	0
MTOR	GRCh37	1:11166592-11322564	FALSE	hifi	gene	1	NA	NA
UBIAD1	GRCh37	1:11333263-11356106	FALSE	v4	gene	0.971632448	2	NA
UBIAD1	GRCh37	1:11333263-11356106	FALSE	v4	exon	1	0	NA
UBIAD1	GRCh37	1:11333263-11356106	FALSE	mrg	gene	0	0	0
UBIAD1	GRCh37	1:11333263-11356106	FALSE	mrg	exon	0	0	0
UBIAD1	GRCh37	1:11333263-11356106	FALSE	hifi	gene	1	NA	NA
MTHFR	GRCh37	1:11845780-11866977	FALSE	v4	gene	0.974571873	31	NA
MTHFR	GRCh37	1:11845780-11866977	FALSE	v4	exon	0.98517184	11	NA
MTHFR	GRCh37	1:11845780-11866977	FALSE	mrg	gene	0	0	0
MTHFR	GRCh37	1:11845780-11866977	FALSE	mrg	exon	0	0	0
MTHFR	GRCh37	1:11845780-11866977	FALSE	hifi	gene	1	NA	NA
NPPA	GRCh37	1:11905766-11908402	TRUE	v4	gene	0.746206373	4	NA
NPPA	GRCh37	1:11905766-11908402	TRUE	v4	exon	1	4	NA
NPPA	GRCh37	1:11905766-11908402	TRUE	mrg	gene	1	14	0
NPPA	GRCh37	1:11905766-11908402	TRUE	mrg	exon	1	4	0
NPPA	GRCh37	1:11905766-11908402	TRUE	hifi	gene	1	NA	NA
PLOD1	GRCh37	1:11994262-12035595	FALSE	v4	gene	0.939951129	74	NA
PLOD1	GRCh37	1:11994262-12035595	FALSE	v4	exon	1	3	NA
PLOD1	GRCh37	1:11994262-12035595	FALSE	mrg	gene	0	0	0
PLOD1	GRCh37	1:11994262-12035595	FALSE	mrg	exon	0	0	0
PLOD1	GRCh37	1:11994262-12035595	FALSE	hifi	gene	1	NA	NA
MFN2	GRCh37	1:12040238-12073571	FALSE	v4	gene	0.957099571	63	NA
MFN2	GRCh37	1:12040238-12073571	FALSE	v4	exon	0.999785269	5	NA
MFN2	GRCh37	1:12040238-12073571	FALSE	mrg	gene	0	0	0
MFN2	GRCh37	1:12040238-12073571	FALSE	mrg	exon	0	0	0
MFN2	GRCh37	1:12040238-12073571	FALSE	hifi	gene	1	NA	NA
TNFRSF1B	GRCh37	1:12227060-12269285	FALSE	v4	gene	0.971438721	27	NA
TNFRSF1B	GRCh37	1:12227060-12269285	FALSE	v4	exon	1	7	NA
TNFRSF1B	GRCh37	1:12227060-12269285	FALSE	mrg	gene	0	0	0
TNFRSF1B	GRCh37	1:12227060-12269285	FALSE	mrg	exon	0	0	0
TNFRSF1B	GRCh37	1:12227060-12269285	FALSE	hifi	gene	1	NA	NA
PRDM2	GRCh37	1:14026693-14151574	FALSE	v4	gene	0.983960731	171	NA
PRDM2	GRCh37	1:14026693-14151574	FALSE	v4	exon	1	17	NA
PRDM2	GRCh37	1:14026693-14151574	FALSE	mrg	gene	0	0	0
PRDM2	GRCh37	1:14026693-14151574	FALSE	mrg	exon	0	0	0
PRDM2	GRCh37	1:14026693-14151574	FALSE	hifi	gene	1	NA	NA
CTRC	GRCh37	1:15764935-15775737	FALSE	v4	gene	0.938344751	13	NA
CTRC	GRCh37	1:15764935-15775737	FALSE	v4	exon	1	0	NA
CTRC	GRCh37	1:15764935-15775737	FALSE	mrg	gene	0	0	0
CTRC	GRCh37	1:15764935-15775737	FALSE	mrg	exon	0	0	0
CTRC	GRCh37	1:15764935-15775737	FALSE	hifi	gene	0.727641448	NA	NA
CASP9	GRCh37	1:15817327-15853029	FALSE	v4	gene	0.93319702	84	NA
CASP9	GRCh37	1:15817327-15853029	FALSE	v4	exon	1	3	NA
CASP9	GRCh37	1:15817327-15853029	FALSE	mrg	gene	0	0	0
CASP9	GRCh37	1:15817327-15853029	FALSE	mrg	exon	0	0	0
CASP9	GRCh37	1:15817327-15853029	FALSE	hifi	gene	0.823503336	NA	NA
RSC1A1	GRCh37	1:15986364-15988217	FALSE	v4	gene	1	0	NA
RSC1A1	GRCh37	1:15986364-15988217	FALSE	v4	exon	1	0	NA
RSC1A1	GRCh37	1:15986364-15988217	FALSE	mrg	gene	0	0	0
RSC1A1	GRCh37	1:15986364-15988217	FALSE	mrg	exon	0	0	0
RSC1A1	GRCh37	1:15986364-15988217	FALSE	hifi	gene	1	NA	NA
SPEN	GRCh37	1:16174359-16266955	FALSE	v4	gene	0.971942633	39	NA
SPEN	GRCh37	1:16174359-16266955	FALSE	v4	exon	0.993861013	0	NA
SPEN	GRCh37	1:16174359-16266955	FALSE	mrg	gene	0	0	0
SPEN	GRCh37	1:16174359-16266955	FALSE	mrg	exon	0	0	0
SPEN	GRCh37	1:16174359-16266955	FALSE	hifi	gene	1	NA	NA
HSPB7	GRCh37	1:16340523-16346089	FALSE	v4	gene	1	32	NA
HSPB7	GRCh37	1:16340523-16346089	FALSE	v4	exon	1	17	NA
HSPB7	GRCh37	1:16340523-16346089	FALSE	mrg	gene	0	0	0
HSPB7	GRCh37	1:16340523-16346089	FALSE	mrg	exon	0	0	0
HSPB7	GRCh37	1:16340523-16346089	FALSE	hifi	gene	1	NA	NA
CLCNKA	GRCh37	1:16345370-16360545	FALSE	v4	gene	0.986952224	35	NA
CLCNKA	GRCh37	1:16345370-16360545	FALSE	v4	exon	1	8	NA
CLCNKA	GRCh37	1:16345370-16360545	FALSE	mrg	gene	0	0	0
CLCNKA	GRCh37	1:16345370-16360545	FALSE	mrg	exon	0	0	0
CLCNKA	GRCh37	1:16345370-16360545	FALSE	hifi	gene	1	NA	NA
CLCNKB	GRCh37	1:16370272-16383803	FALSE	v4	gene	0.929643042	75	NA
CLCNKB	GRCh37	1:16370272-16383803	FALSE	v4	exon	0.949270327	14	NA
CLCNKB	GRCh37	1:16370272-16383803	FALSE	mrg	gene	0	0	0
CLCNKB	GRCh37	1:16370272-16383803	FALSE	mrg	exon	0	0	0
CLCNKB	GRCh37	1:16370272-16383803	FALSE	hifi	gene	1	NA	NA
EPHA2	GRCh37	1:16450832-16482582	FALSE	v4	gene	0.970708661	32	NA
EPHA2	GRCh37	1:16450832-16482582	FALSE	v4	exon	1	6	NA
EPHA2	GRCh37	1:16450832-16482582	FALSE	mrg	gene	0	0	0
EPHA2	GRCh37	1:16450832-16482582	FALSE	mrg	exon	0	0	0
EPHA2	GRCh37	1:16450832-16482582	FALSE	hifi	gene	1	NA	NA
SPATA21	GRCh37	1:16713612-16763919	FALSE	v4	gene	0.948376965	101	NA
SPATA21	GRCh37	1:16713612-16763919	FALSE	v4	exon	1	6	NA
SPATA21	GRCh37	1:16713612-16763919	FALSE	mrg	gene	0	0	0
SPATA21	GRCh37	1:16713612-16763919	FALSE	mrg	exon	0	0	0
SPATA21	GRCh37	1:16713612-16763919	FALSE	hifi	gene	1	NA	NA
ATP13A2	GRCh37	1:17312453-17338423	FALSE	v4	gene	0.970465922	21	NA
ATP13A2	GRCh37	1:17312453-17338423	FALSE	v4	exon	1	1	NA
ATP13A2	GRCh37	1:17312453-17338423	FALSE	mrg	gene	0	0	0
ATP13A2	GRCh37	1:17312453-17338423	FALSE	mrg	exon	0	0	0
ATP13A2	GRCh37	1:17312453-17338423	FALSE	hifi	gene	1	NA	NA
SDHB	GRCh37	1:17345217-17380665	FALSE	v4	gene	0.979208982	87	NA
SDHB	GRCh37	1:17345217-17380665	FALSE	v4	exon	1	1	NA
SDHB	GRCh37	1:17345217-17380665	FALSE	mrg	gene	0	0	0
SDHB	GRCh37	1:17345217-17380665	FALSE	mrg	exon	0	0	0
SDHB	GRCh37	1:17345217-17380665	FALSE	hifi	gene	1	NA	NA
PADI4	GRCh37	1:17634690-17690499	FALSE	v4	gene	0.896934186	197	NA
PADI4	GRCh37	1:17634690-17690499	FALSE	v4	exon	0.968458463	6	NA
PADI4	GRCh37	1:17634690-17690499	FALSE	mrg	gene	0	0	0
PADI4	GRCh37	1:17634690-17690499	FALSE	mrg	exon	0	0	0
PADI4	GRCh37	1:17634690-17690499	FALSE	hifi	gene	0.999561628	NA	NA
ARHGEF10L	GRCh37	1:17866330-18024369	FALSE	v4	gene	0.975619942	171	NA
ARHGEF10L	GRCh37	1:17866330-18024369	FALSE	v4	exon	1	5	NA
ARHGEF10L	GRCh37	1:17866330-18024369	FALSE	mrg	gene	0	0	0
ARHGEF10L	GRCh37	1:17866330-18024369	FALSE	mrg	exon	0	0	0
ARHGEF10L	GRCh37	1:17866330-18024369	FALSE	hifi	gene	1	NA	NA
PAX7	GRCh37	1:18957500-19075360	FALSE	v4	gene	0.972297641	188	NA
PAX7	GRCh37	1:18957500-19075360	FALSE	v4	exon	0.984771574	5	NA
PAX7	GRCh37	1:18957500-19075360	FALSE	mrg	gene	0	0	0
PAX7	GRCh37	1:18957500-19075360	FALSE	mrg	exon	0	0	0
PAX7	GRCh37	1:18957500-19075360	FALSE	hifi	gene	1	NA	NA
ALDH4A1	GRCh37	1:19197926-19229275	FALSE	v4	gene	0.993684009	43	NA
ALDH4A1	GRCh37	1:19197926-19229275	FALSE	v4	exon	0.993229901	9	NA
ALDH4A1	GRCh37	1:19197926-19229275	FALSE	mrg	gene	0	0	0
ALDH4A1	GRCh37	1:19197926-19229275	FALSE	mrg	exon	0	0	0
ALDH4A1	GRCh37	1:19197926-19229275	FALSE	hifi	gene	1	NA	NA
AKR7A2	GRCh37	1:19630459-19638640	FALSE	v4	gene	1	10	NA
AKR7A2	GRCh37	1:19630459-19638640	FALSE	v4	exon	1	0	NA
AKR7A2	GRCh37	1:19630459-19638640	FALSE	mrg	gene	0	0	0
AKR7A2	GRCh37	1:19630459-19638640	FALSE	mrg	exon	0	0	0
AKR7A2	GRCh37	1:19630459-19638640	FALSE	hifi	gene	1	NA	NA
PLA2G2A	GRCh37	1:20301925-20306932	FALSE	v4	gene	1	4	NA
PLA2G2A	GRCh37	1:20301925-20306932	FALSE	v4	exon	1	0	NA
PLA2G2A	GRCh37	1:20301925-20306932	FALSE	mrg	gene	0	0	0
PLA2G2A	GRCh37	1:20301925-20306932	FALSE	mrg	exon	0	0	0
PLA2G2A	GRCh37	1:20301925-20306932	FALSE	hifi	gene	1	NA	NA
PLA2G5	GRCh37	1:20354672-20417683	FALSE	v4	gene	0.989557379	91	NA
PLA2G5	GRCh37	1:20354672-20417683	FALSE	v4	exon	1	0	NA
PLA2G5	GRCh37	1:20354672-20417683	FALSE	mrg	gene	0	0	0
PLA2G5	GRCh37	1:20354672-20417683	FALSE	mrg	exon	0	0	0
PLA2G5	GRCh37	1:20354672-20417683	FALSE	hifi	gene	1	NA	NA
CDA	GRCh37	1:20915441-20945401	FALSE	v4	gene	0.947296395	74	NA
CDA	GRCh37	1:20915441-20945401	FALSE	v4	exon	1	5	NA
CDA	GRCh37	1:20915441-20945401	FALSE	mrg	gene	0	0	0
CDA	GRCh37	1:20915441-20945401	FALSE	mrg	exon	0	0	0
CDA	GRCh37	1:20915441-20945401	FALSE	hifi	gene	1	NA	NA
PINK1	GRCh37	1:20959948-20978004	FALSE	v4	gene	0.963945503	47	NA
PINK1	GRCh37	1:20959948-20978004	FALSE	v4	exon	1	5	NA
PINK1	GRCh37	1:20959948-20978004	FALSE	mrg	gene	0	0	0
PINK1	GRCh37	1:20959948-20978004	FALSE	mrg	exon	0	0	0
PINK1	GRCh37	1:20959948-20978004	FALSE	hifi	gene	1	NA	NA
DDOST	GRCh37	1:20978270-20988000	FALSE	v4	gene	0.98705036	19	NA
DDOST	GRCh37	1:20978270-20988000	FALSE	v4	exon	1	5	NA
DDOST	GRCh37	1:20978270-20988000	FALSE	mrg	gene	0	0	0
DDOST	GRCh37	1:20978270-20988000	FALSE	mrg	exon	0	0	0
DDOST	GRCh37	1:20978270-20988000	FALSE	hifi	gene	1	NA	NA
ECE1	GRCh37	1:21543740-21671997	FALSE	v4	gene	0.97278901	143	NA
ECE1	GRCh37	1:21543740-21671997	FALSE	v4	exon	1	3	NA
ECE1	GRCh37	1:21543740-21671997	FALSE	mrg	gene	0	0	0
ECE1	GRCh37	1:21543740-21671997	FALSE	mrg	exon	0	0	0
ECE1	GRCh37	1:21543740-21671997	FALSE	hifi	gene	1	NA	NA
ALPL	GRCh37	1:21835858-21904905	FALSE	v4	gene	0.966587976	173	NA
ALPL	GRCh37	1:21835858-21904905	FALSE	v4	exon	0.986461764	6	NA
ALPL	GRCh37	1:21835858-21904905	FALSE	mrg	gene	0	0	0
ALPL	GRCh37	1:21835858-21904905	FALSE	mrg	exon	0	0	0
ALPL	GRCh37	1:21835858-21904905	FALSE	hifi	gene	1	NA	NA
HSPG2	GRCh37	1:22148738-22263790	FALSE	v4	gene	0.976601884	111	NA
HSPG2	GRCh37	1:22148738-22263790	FALSE	v4	exon	0.990021082	10	NA
HSPG2	GRCh37	1:22148738-22263790	FALSE	mrg	gene	0	0	0
HSPG2	GRCh37	1:22148738-22263790	FALSE	mrg	exon	0	0	0
HSPG2	GRCh37	1:22148738-22263790	FALSE	hifi	gene	1	NA	NA
CDC42	GRCh37	1:22379120-22419437	FALSE	v4	gene	0.958082199	58	NA
CDC42	GRCh37	1:22379120-22419437	FALSE	v4	exon	0.924738012	0	NA
CDC42	GRCh37	1:22379120-22419437	FALSE	mrg	gene	0	0	0
CDC42	GRCh37	1:22379120-22419437	FALSE	mrg	exon	0	0	0
CDC42	GRCh37	1:22379120-22419437	FALSE	hifi	gene	1	NA	NA
WNT4	GRCh37	1:22443798-22470462	FALSE	v4	gene	0.990136514	31	NA
WNT4	GRCh37	1:22443798-22470462	FALSE	v4	exon	0.96953125	7	NA
WNT4	GRCh37	1:22443798-22470462	FALSE	mrg	gene	0	0	0
WNT4	GRCh37	1:22443798-22470462	FALSE	mrg	exon	0	0	0
WNT4	GRCh37	1:22443798-22470462	FALSE	hifi	gene	1	NA	NA
ZBTB40	GRCh37	1:22778344-22857650	FALSE	v4	gene	0.989773788	104	NA
ZBTB40	GRCh37	1:22778344-22857650	FALSE	v4	exon	1	11	NA
ZBTB40	GRCh37	1:22778344-22857650	FALSE	mrg	gene	0	0	0
ZBTB40	GRCh37	1:22778344-22857650	FALSE	mrg	exon	0	0	0
ZBTB40	GRCh37	1:22778344-22857650	FALSE	hifi	gene	1	NA	NA
C1QA	GRCh37	1:22962999-22966101	FALSE	v4	gene	1	2	NA
C1QA	GRCh37	1:22962999-22966101	FALSE	v4	exon	1	1	NA
C1QA	GRCh37	1:22962999-22966101	FALSE	mrg	gene	0	0	0
C1QA	GRCh37	1:22962999-22966101	FALSE	mrg	exon	0	0	0
C1QA	GRCh37	1:22962999-22966101	FALSE	hifi	gene	1	NA	NA
C1QC	GRCh37	1:22970123-22974603	FALSE	v4	gene	0.976785714	13	NA
C1QC	GRCh37	1:22970123-22974603	FALSE	v4	exon	0.921921922	2	NA
C1QC	GRCh37	1:22970123-22974603	FALSE	mrg	gene	0	0	0
C1QC	GRCh37	1:22970123-22974603	FALSE	mrg	exon	0	0	0
C1QC	GRCh37	1:22970123-22974603	FALSE	hifi	gene	1	NA	NA
C1QB	GRCh37	1:22979255-22988031	FALSE	v4	gene	0.917388332	12	NA
C1QB	GRCh37	1:22979255-22988031	FALSE	v4	exon	1	1	NA
C1QB	GRCh37	1:22979255-22988031	FALSE	mrg	gene	0	0	0
C1QB	GRCh37	1:22979255-22988031	FALSE	mrg	exon	0	0	0
C1QB	GRCh37	1:22979255-22988031	FALSE	hifi	gene	1	NA	NA
EPHB2	GRCh37	1:23037332-23241818	FALSE	v4	gene	0.986625001	374	NA
EPHB2	GRCh37	1:23037332-23241818	FALSE	v4	exon	1	1	NA
EPHB2	GRCh37	1:23037332-23241818	FALSE	mrg	gene	0	0	0
EPHB2	GRCh37	1:23037332-23241818	FALSE	mrg	exon	0	0	0
EPHB2	GRCh37	1:23037332-23241818	FALSE	hifi	gene	1	NA	NA
