gene	ref	chrom	start	end	data_set	avg_cov	bp_cov_by_100X	bp_cov_by_20X
TNFRSF1B	GRCh37	1	12227060	12269285	CCS	49.13	0	1
PRDM2	GRCh37	1	14026693	14151574	CCS	52.79	0	1
CTRC	GRCh37	1	15764935	15775737	CCS	53.46	0	1
CASP9	GRCh37	1	15817327	15853029	CCS	53.56	0	1
RSC1A1	GRCh37	1	15986364	15988217	CCS	51.87	0	1
SPEN	GRCh37	1	16174359	16266955	CCS	50.03	0	1
HSPB7	GRCh37	1	16340523	16346089	CCS	46.75	0	1
CLCNKA	GRCh37	1	16345370	16360545	CCS	48.38	0	1
CLCNKB	GRCh37	1	16370272	16383803	CCS	48.26	0	1
EPHA2	GRCh37	1	16450832	16482582	CCS	49.81	0	1
SPATA21	GRCh37	1	16713612	16763919	CCS	47.58	0	1
ATP13A2	GRCh37	1	17312453	17338423	CCS	45.64	0	1
SDHB	GRCh37	1	17345217	17380665	CCS	46.55	0	1
PADI4	GRCh37	1	17634690	17690499	CCS	47.92	0	1
ARHGEF10L	GRCh37	1	17866330	18024369	CCS	43.96	0	0.973065911
PAX7	GRCh37	1	18957500	19075360	CCS	48.19	0	1
ALDH4A1	GRCh37	1	19197926	19229275	CCS	50.63	0	1
AKR7A2	GRCh37	1	19630459	19638640	CCS	45.61	0	1
PLA2G2A	GRCh37	1	20301925	20306932	CCS	45.21	0	1
PLA2G5	GRCh37	1	20354672	20417683	CCS	49.65	0	1
CDA	GRCh37	1	20915441	20945401	CCS	43.96	0	1
PINK1	GRCh37	1	20959948	20978004	CCS	45.73	0	1
DDOST	GRCh37	1	20978270	20988000	CCS	47.99	0	1
ECE1	GRCh37	1	21543740	21671997	CCS	48.73	0	1
ALPL	GRCh37	1	21835858	21904905	CCS	47.99	0	1
HSPG2	GRCh37	1	22148738	22263790	CCS	46.43	0	1
CDC42	GRCh37	1	22379120	22419437	CCS	51.14	0	1
WNT4	GRCh37	1	22443798	22470462	CCS	48.64	0	1
ZBTB40	GRCh37	1	22778344	22857650	CCS	55.62	0	1
C1QA	GRCh37	1	22962999	22966101	CCS	55.98	0	1
C1QC	GRCh37	1	22970123	22974603	CCS	57.44	0	1
C1QB	GRCh37	1	22979255	22988031	CCS	59.17	0	1
EPHB2	GRCh37	1	23037332	23241818	CCS	50.43	0	1
ID3	GRCh37	1	23884409	23886285	CCS	46.42	0	1
MDS2	GRCh37	1	23907985	23967058	CCS	50.1	0	1
RPL11	GRCh37	1	24018269	24022915	CCS	50.63	0	1
GALE	GRCh37	1	24122089	24127271	CCS	46.37	0	1
HMGCL	GRCh37	1	24128375	24165110	CCS	46.21	0	1
FUCA1	GRCh37	1	24171567	24194784	CCS	48.08	0	1
CNR2	GRCh37	1	24197016	24285549	CCS	36.67	0	0.716516381
RUNX3	GRCh37	1	25226002	25291612	CCS	50.75	0	1
RHD	GRCh37	1	25598884	25656936	CCS	53.96	0	1
RHCE	GRCh37	1	25688740	25756683	CCS	58.81	0	1
LDLRAP1	GRCh37	1	25870071	25895377	CCS	46.79	0	1
SEPN1	GRCh37	1	26126667	26144713	CCS	50.41	0	1
STMN1	GRCh37	1	26210672	26233482	CCS	55.98	0	1
EXTL1	GRCh37	1	26346375	26362955	CCS	50.43	0	1
SLC30A2	GRCh37	1	26363743	26372624	CCS	49.4	0	1
DHDDS	GRCh37	1	26758773	26797785	CCS	47.04	0	1
ARID1A	GRCh37	1	27022524	27108595	CCS	49.54	0	1
PIGV	GRCh37	1	27113963	27124889	CCS	52.91	0	1
NUDC	GRCh37	1	27226729	27273353	CCS	47.66	0	1
NR0B2	GRCh37	1	27237980	27240457	CCS	46.58	0	1
FCN3	GRCh37	1	27695603	27701315	CCS	45.21	0	1
PTAFR	GRCh37	1	28473677	28520447	CCS	49.93	0	1
SESN2	GRCh37	1	28586038	28609002	CCS	44.92	0	1
EPB41	GRCh37	1	29213603	29446553	CCS	48.15	0	1
CCDC28B	GRCh37	1	32665987	32670988	CCS	51.73	0	1
LCK	GRCh37	1	32716840	32751766	CCS	45.04	0	1
YARS	GRCh37	1	33240840	33283754	CCS	52.03	0	1
AK2	GRCh37	1	33473585	33546597	CCS	51.9	0	1
GJB4	GRCh37	1	35225342	35229325	CCS	61.13	0	1
GJB3	GRCh37	1	35246790	35251970	CCS	51.65	0	1
DLGAP3	GRCh37	1	35331037	35395186	CCS	54.73	0	1
SFPQ	GRCh37	1	35641979	35658749	CCS	49.43	0	1
AGO1	GRCh37	1	36335409	36395211	CCS	53.46	0	1
TEKT2	GRCh37	1	36549676	36553876	CCS	50.19	0	1
COL8A2	GRCh37	1	36560837	36590821	CCS	45.83	0	1
THRAP3	GRCh37	1	36690017	36770958	CCS	50.67	0	1
CSF3R	GRCh37	1	36931644	36948879	CCS	52.16	0	1
SNIP1	GRCh37	1	38000050	38019903	CCS	50.35	0	1
RSPO1	GRCh37	1	38076951	38100595	CCS	51.63	0	1
INPP5B	GRCh37	1	38326369	38412729	CCS	48.85	0	1
NDUFS5	GRCh37	1	39491990	39500308	CCS	44.36	0	1
MYCL	GRCh37	1	40361098	40367928	CCS	47.75	0	1
PPT1	GRCh37	1	40538379	40563375	CCS	57.78	0	1
ZMPSTE24	GRCh37	1	40723779	40759856	CCS	56.13	0	1
COL9A2	GRCh37	1	40766159	40783488	CCS	57.08	0	1
ZFP69	GRCh37	1	40942887	40962015	CCS	51.54	0	1
RIMS3	GRCh37	1	41086351	41131329	CCS	53.39	0	1
KCNQ4	GRCh37	1	41249684	41306124	CCS	48.42	0	1
CLDN19	GRCh37	1	43198764	43205925	CCS	45.94	0	1
LEPRE1	GRCh37	1	43212006	43232755	CCS	47.45	0	1
ERMAP	GRCh37	1	43282795	43310660	CCS	59.27	0	1
SLC2A1	GRCh37	1	43391052	43424530	CCS	46.73	0	1
MPL	GRCh37	1	43803478	43818443	CCS	51.55	0	1
ST3GAL3	GRCh37	1	44171495	44396831	CCS	50.96	0	1
B4GALT2	GRCh37	1	44444615	44456840	CCS	44.22	0	1
SLC6A9	GRCh37	1	44457172	44497139	CCS	45.12	0	1
PTCH2	GRCh37	1	45285516	45308735	CCS	45.98	0	1
EIF2B3	GRCh37	1	45316450	45452282	CCS	47.16	0	1
UROD	GRCh37	1	45477819	45481247	CCS	52.98	0	1
MUTYH	GRCh37	1	45794835	45806142	CCS	50.17	0	1
MMACHC	GRCh37	1	45965725	45976739	CCS	48.96	0	1
POMGNT1	GRCh37	1	46654354	46685977	CCS	53.85	0	1
RAD54L	GRCh37	1	46713360	46744145	CCS	51.27	0	1
FAAH	GRCh37	1	46859937	46879520	CCS	51.91	0	1
CYP4A22	GRCh37	1	47603107	47615413	CCS	56.85	0	1
TAL1	GRCh37	1	47681962	47697892	CCS	51.52	0	1
STIL	GRCh37	1	47715811	47779819	CCS	51.15	0	1
CMPK1	GRCh37	1	47799469	47844511	CCS	55.29	0	1
FOXE3	GRCh37	1	47881744	47883723	CCS	48.09	0	1
AGBL4	GRCh37	1	48998527	50489585	CCS	58.83	0	1
CDKN2C	GRCh37	1	51426417	51440305	CCS	58.22	0	1
RNF11	GRCh37	1	51701943	51739127	CCS	49.63	0	1
EPS15	GRCh37	1	51819935	51985000	CCS	55.49	0	1
ORC1	GRCh37	1	52838501	52870131	CCS	51.49	0	1
SCP2	GRCh37	1	53392901	53517375	CCS	55.17	0	1
CPT2	GRCh37	1	53662101	53679869	CCS	56.82	0	1
LRP8	GRCh37	1	53711217	53793742	CCS	54.74	0	1
DHCR24	GRCh37	1	55315306	55352891	CCS	51.76	0	1
BSND	GRCh37	1	55464606	55476556	CCS	55.09	0	1
PCSK9	GRCh37	1	55505221	55530525	CCS	44.3	0	1
C8A	GRCh37	1	57320479	57383894	CCS	61.86	0	1
C8B	GRCh37	1	57394883	57431813	CCS	58.1	0	1
TACSTD2	GRCh37	1	59041099	59043166	CCS	53.42	0	1
JUN	GRCh37	1	59246465	59249785	CCS	55.12	0	1
CYP2J2	GRCh37	1	60358980	60392462	CCS	57.48	0	1
NFIA	GRCh37	1	61330931	61928465	CCS	56.57	0	1
USP1	GRCh37	1	62901968	62917475	CCS	52.01	0	1
DOCK7	GRCh37	1	62920399	63153969	CCS	54.66	0	1
ANGPTL3	GRCh37	1	63063158	63071830	CCS	58.94	0	1
FOXD3	GRCh37	1	63788730	63790797	CCS	42.71	0	1
ALG6	GRCh37	1	63833261	63904233	CCS	53.45	0	1
PGM1	GRCh37	1	64058947	64125916	CCS	51.41	0	1
JAK1	GRCh37	1	65298912	65432187	CCS	50.68	0	1
DNAJC6	GRCh37	1	65713902	65881552	CCS	58.05	0	1
LEPR	GRCh37	1	65886248	66107242	CCS	60.41	0	1
PDE4B	GRCh37	1	66258197	66840259	CCS	63.31	0	1
SLC35D1	GRCh37	1	67465015	67519782	CCS	63.7	0	1
IL23R	GRCh37	1	67632083	67725662	CCS	56.05	0	1
IL12RB2	GRCh37	1	67773047	67862583	CCS	55.19	0	1
GADD45A	GRCh37	1	68150744	68154021	CCS	53.15	0	1
DIRAS3	GRCh37	1	68511645	68517314	CCS	56.69	0	1
RPE65	GRCh37	1	68894505	68915642	CCS	54.45	0	1
CTH	GRCh37	1	70876901	70905534	CCS	54.77	0	1
NEGR1	GRCh37	1	71861623	72748417	CCS	58.46	0	1
TNNI3K	GRCh37	1	74663947	75010112	CCS	57.84	0	1
LHX8	GRCh37	1	75594119	75627218	CCS	56.96	0	1
ACADM	GRCh37	1	76190036	76253260	CCS	57.86	0	1
ST6GALNAC3	GRCh37	1	76540404	77100286	CCS	59.8	0	1
ST6GALNAC5	GRCh37	1	77333126	77531396	CCS	56.1	0	1
NEXN	GRCh37	1	78354198	78409580	CCS	49.21	0	1
FUBP1	GRCh37	1	78409740	78444794	CCS	52.82	0	1
UOX	GRCh37	1	84831111	84863514	CCS	58.57	0	1
BCL10	GRCh37	1	85731931	85742773	CCS	51.3	0	1
CYR61	GRCh37	1	86046444	86049645	CCS	58.66	0	1
LMO4	GRCh37	1	87794151	87814606	CCS	56.85	0	1
ZNF644	GRCh37	1	91380859	91487829	CCS	54.59	0	1
TGFBR3	GRCh37	1	92145902	92371892	CCS	55	0	1
GLMN	GRCh37	1	92711959	92764544	CCS	63.05	0	1
GFI1	GRCh37	1	92940319	92952433	CCS	50.25	0	1
EVI5	GRCh37	1	92974253	93257961	CCS	54.57	0	1
RPL5	GRCh37	1	93297582	93307481	CCS	57.25	0	1
GCLM	GRCh37	1	94350761	94374966	CCS	58.36	0	1
ABCA4	GRCh37	1	94458393	94586688	CCS	56.35	0	1
ABCD3	GRCh37	1	94883933	94984222	CCS	58.08	0	1
DPYD	GRCh37	1	97543299	98386605	CCS	59.87	0	1
DPYD-AS1	GRCh37	1	97561479	97788511	CCS	57.78	0	1
AGL	GRCh37	1	100315640	100389579	CCS	61.35	0	1
SLC35A3	GRCh37	1	100435345	100492535	CCS	55.73	0	1
DBT	GRCh37	1	100652475	100715390	CCS	60.93	0	1
VCAM1	GRCh37	1	101185298	101204601	CCS	67.18	0	1
EXTL2	GRCh37	1	101337943	101361554	CCS	69.72	0	1
COL11A1	GRCh37	1	103342023	103574052	CCS	56.11	0	1
NTNG1	GRCh37	1	107682629	108026080	CCS	62.32	0	1
GPSM2	GRCh37	1	109417972	109477167	CCS	54.76	0	1
CELSR2	GRCh37	1	109792641	109818372	CCS	48.27	0	1
SORT1	GRCh37	1	109852192	109940573	CCS	57.87	0	1
GNAI3	GRCh37	1	110091233	110136975	CCS	56.33	0	1
GNAT2	GRCh37	1	110145889	110155679	CCS	55.7	0	1
GSTM1	GRCh37	1	110230436	110251661	CCS	43.17	0	1
GSTM3	GRCh37	1	110276554	110284384	CCS	52.7	0	1
CSF1	GRCh37	1	110452864	110473614	CCS	48.35	0	1
ALX3	GRCh37	1	110602616	110613322	CCS	57.23	0	1
RBM15	GRCh37	1	110881128	110889299	CCS	53.85	0	1
PROK1	GRCh37	1	110993822	110999976	CCS	54.79	0	1
KCND3	GRCh37	1	112313284	112531777	CCS	60.79	0	1
SLC16A1	GRCh37	1	113454469	113499635	CCS	56.45	0	1
LRIG2	GRCh37	1	113615831	113674882	CCS	49.89	0	1
PTPN22	GRCh37	1	114356433	114414381	CCS	51.63	0	1
AP4B1	GRCh37	1	114437370	114447823	CCS	47.28	0	1
TRIM33	GRCh37	1	114935399	115053781	CCS	57.07	0	1
AMPD1	GRCh37	1	115215719	115238239	CCS	56.02	0	1
NRAS	GRCh37	1	115247090	115259515	CCS	60.31	0	1
CSDE1	GRCh37	1	115259534	115301297	CCS	61.4	0	1
TSHB	GRCh37	1	115572415	115576941	CCS	61.71	0	1
NGF	GRCh37	1	115828539	115880857	CCS	58	0	1
VANGL1	GRCh37	1	116184574	116240845	CCS	53.37	0	1
CASQ2	GRCh37	1	116242628	116311402	CCS	55.76	0	1
ATP1A1	GRCh37	1	116915290	116952883	CCS	53.41	0	1
MAN1A2	GRCh37	1	117910071	118071494	CCS	58.07	0	1
SPAG17	GRCh37	1	118496484	118727846	CCS	62.68	0	1
TBX15	GRCh37	1	119425669	119532179	CCS	54.95	0	1
HSD3B2	GRCh37	1	119957554	119965658	CCS	57.28	0	1
HSD3B1	GRCh37	1	120049821	120057681	CCS	53.32	0	1
PHGDH	GRCh37	1	120202421	120286838	CCS	54	0	1
HMGCS2	GRCh37	1	120290619	120311528	CCS	49.43	0	1
NOTCH2	GRCh37	1	120454176	120612240	CCS	82.42	0.407141126	1
PDE4DIP	GRCh37	1	144836157	145076186	CCS	149.1	0.898764057	1
HFE2	GRCh37	1	145413095	145417545	CCS	46.89	0	1
TXNIP	GRCh37	1	145438469	145442635	CCS	50.74	0	1
RBM8A	GRCh37	1	145507598	145513536	CCS	48.29	0	1
PEX11B	GRCh37	1	145516252	145523730	CCS	49.52	0	1
FMO5	GRCh37	1	146646930	146714700	CCS	55.94	0	1
CHD1L	GRCh37	1	146714291	146767443	CCS	58.54	0	1
BCL9	GRCh37	1	147013182	147098017	CCS	59.18	0	1
GJA5	GRCh37	1	147228332	147245484	CCS	56.58	0	1
GJA8	GRCh37	1	147374946	147381393	CCS	61.75	0.079057851	1
FCGR1A	GRCh37	1	149754227	149764074	CCS	74.56	0.222159809	1
SF3B4	GRCh37	1	149895209	149900236	CCS	43.62	0	1
VPS45	GRCh37	1	150039369	150117505	CCS	57.48	0	1
PRPF3	GRCh37	1	150293925	150325671	CCS	48.59	0	1
ECM1	GRCh37	1	150480538	150486265	CCS	54.18	0	1
ADAMTSL4	GRCh37	1	150521884	150533413	CCS	40.15	0	1
CTSK	GRCh37	1	150768684	150780799	CCS	49.53	0	1
ARNT	GRCh37	1	150782181	150849244	CCS	49.74	0	1
SETDB1	GRCh37	1	150898739	150937213	CCS	50.24	0	1
MLLT11	GRCh37	1	151030234	151040970	CCS	53.89	0	1
RFX5	GRCh37	1	151313116	151319833	CCS	52.53	0	1
POGZ	GRCh37	1	151375200	151431941	CCS	48.37	0	1
FLG	GRCh37	1	152274651	152297679	CCS	64.39	0	1
LCE5A	GRCh37	1	152483320	152484653	CCS	60.2	0	1
LCE3B	GRCh37	1	152586287	152586574	CCS	44.35	0	1
LOR	GRCh37	1	153232176	153234598	CCS	64.26	0	1
S100A7	GRCh37	1	153430220	153433177	CCS	54.2	0	1
GATAD2B	GRCh37	1	153777201	153895451	CCS	49.26	0	1
TPM3	GRCh37	1	154127784	154167124	CCS	48.18	0	1
HAX1	GRCh37	1	154244987	154248351	CCS	57.12	0	1
IL6R	GRCh37	1	154377669	154441926	CCS	51.4	0	1
CHRNB2	GRCh37	1	154540257	154552502	CCS	51.14	0	1
ADAR	GRCh37	1	154554538	154600475	CCS	52.56	0	1
KCNN3	GRCh37	1	154669931	154842756	CCS	53.25	0	1
DPM3	GRCh37	1	155112367	155113071	CCS	57.51	0	1
MUC1	GRCh37	1	155158300	155162707	CCS	55.81	0	1
GON4L	GRCh37	1	155719508	155829191	CCS	53.61	0	1
LAMTOR2	GRCh37	1	156024543	156028301	CCS	42.81	0	1
RAB25	GRCh37	1	156030951	156040295	CCS	42.96	0	1
LMNA	GRCh37	1	156052364	156109880	CCS	49.6	0	1
SEMA4A	GRCh37	1	156117157	156147543	CCS	51.98	0	1
IQGAP3	GRCh37	1	156495197	156542396	CCS	53.64	0	1
BCAN	GRCh37	1	156611182	156629324	CCS	42.24	0	1
PRCC	GRCh37	1	156720402	156770607	CCS	49.82	0	1
NTRK1	GRCh37	1	156785432	156851642	CCS	52.12	0	1
FCRL4	GRCh37	1	157543539	157567870	CCS	65.51	0	1
OR10X1	GRCh37	1	158548709	158549689	CCS	67.28	0	1
SPTA1	GRCh37	1	158580496	158656488	CCS	63.4	0	1
CRP	GRCh37	1	159682079	159684379	CCS	56.45	0	1
SNORD64	GRCh37	1	159821696	159821762	CCS	51.46	0	1
PIGM	GRCh37	1	159997462	160001783	CCS	60.12	0	1
KCNJ10	GRCh37	1	160007257	160040038	CCS	56.51	0	1
ATP1A2	GRCh37	1	160085549	160113381	CCS	61.99	0	1
PEX19	GRCh37	1	160246602	160256138	CCS	56.35	0	1
NCSTN	GRCh37	1	160313062	160328742	CCS	57.94	0	1
VANGL2	GRCh37	1	160370376	160398468	CCS	52.48	0	1
CD244	GRCh37	1	160799950	160832692	CCS	54.56	0	1
USF1	GRCh37	1	161009041	161015767	CCS	44.02	0	1
PVRL4	GRCh37	1	161040785	161059389	CCS	49.37	0	1
PPOX	GRCh37	1	161136200	161147803	CCS	43.96	0	1
B4GALT3	GRCh37	1	161141100	161147287	CCS	43.23	0	1
NDUFS2	GRCh37	1	161166894	161184185	CCS	49.8	0	1
FCER1G	GRCh37	1	161185024	161190489	CCS	53.06	0	1
APOA2	GRCh37	1	161192082	161193421	CCS	54.02	0	1
NR1I3	GRCh37	1	161199456	161208092	CCS	53.07	0	1
MPZ	GRCh37	1	161274525	161279762	CCS	50.52	0	1
SDHC	GRCh37	1	161284047	161332984	CCS	47.66	0	1
FCGR2A	GRCh37	1	161475220	161493803	CCS	52.29	0	1
FCGR3A	GRCh37	1	161511549	161600917	CCS	56.46	0	1
FCGR2B	GRCh37	1	161551101	161648444	CCS	58.74	0	1
FCGR3B	GRCh37	1	161592986	161601753	CCS	59.99	0	1
ATF6	GRCh37	1	161736084	161933860	CCS	59.98	0	1
NOS1AP	GRCh37	1	162039564	162353321	CCS	60.04	0	1
DDR2	GRCh37	1	162601163	162757190	CCS	62.65	0	1
PBX1	GRCh37	1	164524821	164868533	CCS	54.79	0	1
MGST3	GRCh37	1	165600098	165631033	CCS	54.82	0	1
TMCO1	GRCh37	1	165696032	165796992	CCS	54.33	0	1
CD247	GRCh37	1	167399877	167487847	CCS	55.65	0	1
ADCY10	GRCh37	1	167778625	167883453	CCS	53.91	0	1
TBX19	GRCh37	1	168250278	168283664	CCS	57.54	0	1
ATP1B1	GRCh37	1	169074935	169101960	CCS	55.16	0	1
NME7	GRCh37	1	169101769	169337205	CCS	61.65	0	1
SLC19A2	GRCh37	1	169433147	169455241	CCS	59.94	0	1
F5	GRCh37	1	169483404	169555826	CCS	61.49	0	1
SELP	GRCh37	1	169558087	169599431	CCS	54.37	0	1
SELL	GRCh37	1	169659808	169680839	CCS	56.07	0	1
SELE	GRCh37	1	169691781	169733846	CCS	54.22	0	1
GORAB	GRCh37	1	170501270	170522587	CCS	59.62	0	1
PRRX1	GRCh37	1	170631869	170708560	CCS	58.53	0	1
FMO3	GRCh37	1	171060018	171086959	CCS	60.61	0	1
FMO1	GRCh37	1	171217638	171255117	CCS	61.25	0	1
FMO4	GRCh37	1	171283347	171311223	CCS	62.84	0	1
MYOC	GRCh37	1	171604557	171621823	CCS	52.67	0	1
SUCO	GRCh37	1	172501489	172580971	CCS	61.2	0	1
FASLG	GRCh37	1	172628154	172636014	CCS	61.43	0	1
TNFSF4	GRCh37	1	173152873	173176452	CCS	58.69	0	1
DARS2	GRCh37	1	173793641	173827684	CCS	49.36	0	1
SERPINC1	GRCh37	1	173872947	173886516	CCS	54.59	0	1
RC3H1	GRCh37	1	173900352	173991435	CCS	49.94	0	1
TNR	GRCh37	1	175284330	175712906	CCS	57.72	0	1
RFWD2	GRCh37	1	175913967	176176629	CCS	57.42	0	1
ABL2	GRCh37	1	179068462	179198819	CCS	55.12	0	1
NPHS2	GRCh37	1	179519674	179545087	CCS	57.02	0	1
LHX4	GRCh37	1	180199421	180249380	CCS	52.75	0	1
ACBD6	GRCh37	1	180244515	180472089	CCS	60.99	0	1
MR1	GRCh37	1	181003067	181031074	CCS	54.87	0	1
CACNA1E	GRCh37	1	181382238	181777219	CCS	64.1	0	1
GLUL	GRCh37	1	182350839	182361341	CCS	51.49	0	1
RNASEL	GRCh37	1	182542769	182558391	CCS	59.9	0	1
NPL	GRCh37	1	182758428	182799519	CCS	55.13	0	1
LAMC2	GRCh37	1	183155373	183214035	CCS	53.15	0	1
NCF2	GRCh37	1	183524698	183560011	CCS	51.85	0	1
HMCN1	GRCh37	1	185703683	186160085	CCS	59.94	0	1
PRG4	GRCh37	1	186265405	186283694	CCS	53.61	0	1
TPR	GRCh37	1	186280784	186344825	CCS	53.45	0	1
PTGS2	GRCh37	1	186640923	186649559	CCS	61.71	0	1
PLA2G4A	GRCh37	1	186798085	186958113	CCS	54.73	0	1
RGS2	GRCh37	1	192778169	192781403	CCS	60.16	0	1
TROVE2	GRCh37	1	193028552	193060907	CCS	64.96	0	1
CDC73	GRCh37	1	193091147	193223031	CCS	59.17	0	1
B3GALT2	GRCh37	1	193148175	193155784	CCS	58.19	0	1
CFH	GRCh37	1	196621008	196716634	CCS	57.66	0	1
CFHR3	GRCh37	1	196743925	196763203	CCS	28.53	0	0.958264449
CFHR1	GRCh37	1	196788887	196801319	CCS	34.43	0	1
CFHR4	GRCh37	1	196819371	196888102	CCS	54.34	0	1
CFHR5	GRCh37	1	196946667	196978804	CCS	63.76	0	1
F13B	GRCh37	1	197008321	197036397	CCS	64.9	0	1
ASPM	GRCh37	1	197053258	197115824	CCS	60.64	0	1
ZBTB41	GRCh37	1	197122810	197169672	CCS	54.17	0	1
CRB1	GRCh37	1	197170592	197447585	CCS	56.79	0	1
CAMSAP2	GRCh37	1	200708686	200829832	CCS	60.26	0	1
CACNA1S	GRCh37	1	201008642	201081694	CCS	47.59	0	1
PKP1	GRCh37	1	201252580	201302121	CCS	46.72	0	1
TNNT2	GRCh37	1	201328136	201346890	CCS	44.5	0	1
ELF3	GRCh37	1	201977073	201986316	CCS	51.31	0	1
SYT2	GRCh37	1	202559724	202679545	CCS	48.89	0	1
CHI3L1	GRCh37	1	203148059	203155877	CCS	56.49	0	1
CHIT1	GRCh37	1	203181955	203242769	CCS	58.75	0	1
FMOD	GRCh37	1	203309756	203320617	CCS	56.41	0	1
OPTC	GRCh37	1	203463271	203477992	CCS	62.29	0	1
ATP2B4	GRCh37	1	203595689	203713209	CCS	49.79	0	1
SNRPE	GRCh37	1	203830731	203839678	CCS	56.82	0	1
REN	GRCh37	1	204123944	204135465	CCS	46.94	0	1
KISS1	GRCh37	1	204159469	204165614	CCS	47.52	0	1
MDM4	GRCh37	1	204485511	204542871	CCS	49.37	0	1
ELK4	GRCh37	1	205577071	205601090	CCS	54.04	0	1
SLC45A3	GRCh37	1	205626979	205649587	CCS	50.4	0	1
SLC41A1	GRCh37	1	205758221	205782876	CCS	47.96	0	1
SLC26A9	GRCh37	1	205882176	205912588	CCS	49.53	0	0.859668806
SRGAP2	GRCh37	1	206516200	206637783	CCS	65.91	0.057883564	1
RASSF5	GRCh37	1	206680879	206762616	CCS	53.76	0	1
IL10	GRCh37	1	206940947	206945839	CCS	52.96	0	1
PIGR	GRCh37	1	207101863	207119811	CCS	52.19	0	1
CD55	GRCh37	1	207494853	207534311	CCS	69.04	0	0.955586599
CR2	GRCh37	1	207627575	207663240	CCS	64.1	0	1
CR1	GRCh37	1	207669492	207813992	CCS	56.88	0	0.939067751
CD46	GRCh37	1	207925402	207968858	CCS	58.44	0	1
LAMB3	GRCh37	1	209788215	209825811	CCS	57.44	0	1
HSD11B1	GRCh37	1	209859510	209908295	CCS	59.53	0	1
IRF6	GRCh37	1	209959036	209979465	CCS	57.8	0	1
SYT14	GRCh37	1	210111538	210337636	CCS	58.36	0	1
RD3	GRCh37	1	211649864	211666259	CCS	50.82	0	1
FLVCR1	GRCh37	1	213031597	213072705	CCS	58.72	0	1
PROX1	GRCh37	1	214156524	214214595	CCS	63.88	0	1
PTPN14	GRCh37	1	214522039	214725792	CCS	55.2	0	1
USH2A	GRCh37	1	215796236	216596738	CCS	58.63	0	1
TGFB2	GRCh37	1	218519577	218617961	CCS	55.24	0	1
SLC30A10	GRCh37	1	219858769	220131989	CCS	54.06	0	1
RAB3GAP2	GRCh37	1	220321635	220445796	CCS	55.29	0	1
HLX	GRCh37	1	221051699	221058401	CCS	59.79	0	1
DISP1	GRCh37	1	222988406	223179337	CCS	54.66	0	1
TLR5	GRCh37	1	223282748	223316624	CCS	58.38	0	1
LBR	GRCh37	1	225589204	225616627	CCS	61.36	0	1
EPHX1	GRCh37	1	225997794	226033260	CCS	50.5	0	1
LEFTY2	GRCh37	1	226124298	226129189	CCS	44.39	0	1
H3F3A	GRCh37	1	226249552	226259702	CCS	48.36	0	1
PARP1	GRCh37	1	226548392	226595780	CCS	50.29	0	0.980397766
